table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2021,field_2022,field_2023_all_engineering,field_2023_aerospace_aeronautical_and_astronautical_engineering,field_2023_bioengineering_and_biomedical_engineering,field_2023_chemical_engineering,field_2023_civil_engineering,field_2023_electrical_electronic_and_communications_engineering,field_2023_industrial_and_manufacturing_engineering,field_2023_mechanical_engineering,field_2023_metallurgical_and_materials_engineering,field_2023_engineering_nec_
12703,r001,All institutions,All institutions,,1,-,"['14,291,856', '']","['15,662,918', '']","['17,468,446', '']","['1,913,964', '']","['1,885,216', '']","['1,246,882', '']","['1,900,543', '']","['3,838,675', '']","['707,239', '']","['2,324,946', '']","['1,039,160', '']","['2,611,821', '']"
12703,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,237,980', 'i']","['1,324,646', 'i']","['1,493,689', 'i']","['196,236', 'i']","['90,639', 'i']","['26,307', 'i']","['20,189', 'i']","['624,367', 'i']","['117,095', 'i']","['268,430', 'i']","['46,404', 'i']","['104,022', 'i']"
12703,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['839,071', '']","['935,632', '']","['1,061,402', '']","['293,933', '']","['52,485', '']","['39,321', '']","['26,804', '']","['478,588', '']","['62,576', '']","['69,148', '']","['20,933', '']","['17,614', '']"
12703,r004,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,3,"['385,656', '']","['402,999', '']","['464,769', '']","['52,758', '']","['39,121', '']","['17,780', '']","['113,367', '']","['36,668', '']","['15,720', '']","['47,335', '']","['11,991', '']","['130,029', '']"
12703,r005,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,4,"['378,667', '']","['385,594', '']","['453,476', '']","['26,041', '']","['20,050', '']","['17,388', '']","['18,300', '']","['151,174', '']","['12,076', '']","['150,058', '']","['58,389', '']","['0', '']"
12703,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['382,569', '']","['397,946', '']","['404,440', '']","['36,381', '']","['108,026', '']","['58,369', '']","['14,034', '']","['42,244', '']","['1,521', '']","['52,284', '']","['29,447', '']","['62,134', '']"
12703,r007,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,6,"['279,730', '']","['319,719', '']","['360,947', '']","['18,046', '']","['10,980', '']","['47,864', '']","['45,300', '']","['90,376', '']","['38', '']","['82,731', '']","['26,976', '']","['38,636', '']"
12703,r008,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,7,"['285,469', '']","['312,394', '']","['360,289', '']","['51,009', '']","['23,171', '']","['28,284', '']","['35,051', '']","['65,385', '']","['9,143', '']","['63,398', '']","['17,434', '']","['67,414', '']"
12703,r009,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,8,"['157,430', '']","['226,111', '']","['336,096', '']","['327,203', '']","['178', '']","['0', '']","['0', '']","['1,840', '']","['663', '']","['914', '']","['0', '']","['5,298', '']"
12703,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['279,682', '']","['299,254', '']","['324,306', '']","['17,064', '']","['28,393', '']","['18,366', '']","['22,870', '']","['83,421', '']","['5,428', '']","['56,952', '']","['15,532', '']","['76,280', '']"
12703,r011,All institutions -> Utah State U.,All institutions,Utah State U.,2,10,"['247,332', '']","['259,482', '']","['308,386', '']","['271,805', '']","['2,021', '']","['0', '']","['13,791', '']","['16,790', '']","['0', '']","['2,927', '']","['0', '']","['1,052', '']"
12703,r012,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,11,"['462,562', '']","['411,929', '']","['282,110', '']","['0', '']","['0', '']","['0', '']","['72', '']","['8', '']","['0', '']","['27', '']","['0', '']","['282,003', '']"
12703,r013,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,12,"['216,233', '']","['228,786', '']","['272,650', '']","['17,051', '']","['19,103', '']","['25,698', '']","['35,959', '']","['53,289', '']","['0', '']","['34,031', '']","['25,514', '']","['62,005', '']"
12703,r014,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,13,"['145,574', '']","['192,681', '']","['265,026', '']","['37', '']","['18,195', '']","['7,691', '']","['46,179', '']","['59,934', '']","['21,606', '']","['10,765', '']","['5,974', '']","['94,645', '']"
12703,r015,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,14,"['246,965', '']","['260,158', '']","['261,707', '']","['23,321', '']","['33,666', '']","['6,407', '']","['36,974', '']","['61,525', '']","['35,838', '']","['25,011', '']","['11,824', '']","['27,141', '']"
