table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12713,r001,United States,United States,,,,1,"['108,681,008', '']","['59,603,993', '']","['5,437,566', '']","['27,654,829', '']","['6,221,128', '']","['6,671,012', '']","['3,092,480', '']"
12713,r002,United States -> Public,United States,Public,,,2,"['71,001,044', '']","['37,015,780', '']","['4,979,687', '']","['19,437,810', '']","['3,735,372', '']","['3,733,311', '']","['2,099,084', '']"
12713,r003,United States -> Private,United States,Private,,,2,"['37,679,964', '']","['22,588,213', '']","['457,879', '']","['8,217,019', '']","['2,485,756', '']","['2,937,701', '']","['993,396', '']"
12713,r004,United States -> Alabama,United States,Alabama,,,2,"['1,579,469', '']","['852,721', '']","['76,056', '']","['476,377', '']","['90,423', '']","['46,777', '']","['37,115', '']"
12713,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,553,844', '']","['836,698', '']","['72,491', '']","['473,838', '']","['90,423', '']","['46,777', '']","['33,617', '']"
12713,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['15,588', '']","['12,197', '']","['162', '']","['2,848', '']","['381', '']","['0', '']","['0', '']"
12713,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['3,229', '']","['2,848', '']","['0', '']","['0', '']","['296', '']","['85', '']","['0', '']"
12713,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['349,273', '']","['125,783', '']","['34,950', '']","['158,454', '']","['11,570', '']","['5,092', '']","['13,424', '']"
12713,r009,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['3,785', '']","['3,069', '']","['81', '']","['398', '']","['1', '']","['203', '']","['33', '']"
12713,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['780,479', '']","['451,880', '']","['14,884', '']","['184,658', '']","['74,171', '']","['36,533', '']","['18,353', '']"
