table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2020,field_2021,field_2022,field_2023
12731,r001,Alabama,Alabama,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r002,Alabama -> Public,Alabama,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r003,"Alabama -> Public -> Auburn U., Montgomery",Alabama,Public,"Auburn U., Montgomery",3,"['312', '']","['442', '']","['698', '']","['1,281', '']"
12731,r004,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,3,"['1,244', '']","['275', '']","['197', '']","['538', '']"
12731,r005,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,3,"['ne', '']","['539', '']","['650', '']","['442', '']"
12731,r006,Alabama -> Private,Alabama,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r007,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",3,"['303', '']","['184', '']","['236', '']","['311', '']"
12731,r008,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,3,"['538', '']","['474', '']","['340', '']","['427', '']"
12731,r009,Arizona,Arizona,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r010,Arizona -> Private,Arizona,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r011,Arizona -> Private -> Sonoran U. Health Sciences,Arizona,Private,Sonoran U. Health Sciences,3,"['ne', '']","['ne', '']","['520', '']","['600', '']"
12731,r012,Arkansas,Arkansas,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r013,Arkansas -> Public,Arkansas,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r014,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,3,"['856', '']","['751', '']","['921', '']","['668', '']"
12731,r015,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,3,"['275', '']","['611', '']","['281', '']","['427', '']"
12731,r016,Arkansas -> Private,Arkansas,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r017,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,3,"['900', '']","['672', '']","['301', '']","['277', '']"
12731,r018,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,3,"['649', '']","['651', '']","['709', '']","['587', '']"
12731,r019,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,3,"['268', 'i']","['217', '']","['309', '']","['378', '']"
12731,r020,California,California,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r021,California -> Public,California,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r022,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['3,202', '']","['2,799', '']","['526', '']","['305', '']"
12731,r023,California -> Private,California,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r024,California -> Private -> California Baptist U.,California,Private,California Baptist U.,3,"['ne', '']","['ne', '']","['ne', '']","['554', '']"
12731,r025,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,3,"['630', '']","['1,129', '']","['627', '']","['1,279', '']"
12731,r026,California -> Private -> Dominican U. California,California,Private,Dominican U. California,3,"['786', 'i']","['823', 'i']","['901', 'i']","['1,001', 'i']"
12731,r027,California -> Private -> Fuller Theological Seminary,California,Private,Fuller Theological Seminary,3,"['ne', '']","['ne', '']","['ne', '']","['271', '']"
12731,r028,California -> Private -> Life Chiropractic C.-West,California,Private,Life Chiropractic C.-West,3,"['ne', '']","['ne', '']","['350', '']","['350', '']"
12731,r029,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,3,"['417', '']","['428', '']","['426', '']","['473', 'i']"
12731,r030,California -> Private -> Pitzer C.,California,Private,Pitzer C.,3,"['313', '']","['225', '']","['287', '']","['330', '']"
12731,r031,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,3,"['237', '']","['505', '']","['565', '']","['482', '']"
12731,r032,California -> Private -> Southern California U. of Health Sciences,California,Private,Southern California U. of Health Sciences,3,"['420', 'i']","['418', '']","['246', '']","['378', '']"
12731,r033,California -> Private -> Westmont C.,California,Private,Westmont C.,3,"['211', '']","['295', '']","['340', 'i']","['388', 'i']"
12731,r034,California -> Private -> Whittier C.,California,Private,Whittier C.,3,"['248', '']","['300', '']","['260', 'i']","['220', '']"
12731,r035,Colorado,Colorado,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r036,Colorado -> Public,Colorado,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r037,Colorado -> Public -> Colorado Mesa U.,Colorado,Public,Colorado Mesa U.,3,"['452', '']","['823', '']","['802', '']","['443', '']"
12731,r038,Colorado -> Public -> Metropolitan State U. of Denver,Colorado,Public,Metropolitan State U. of Denver,3,"['496', '']","['416', '']","['666', '']","['651', '']"
12731,r039,Colorado -> Public -> Western Colorado U.,Colorado,Public,Western Colorado U.,3,"['571', '']","['559', '']","['826', '']","['1,166', '']"
12731,r040,Colorado -> Private,Colorado,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r041,Colorado -> Private -> Regis U.,Colorado,Private,Regis U.,3,"['311', '']","['476', '']","['744', '']","['779', '']"
12731,r042,Connecticut,Connecticut,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r043,Connecticut -> Public,Connecticut,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r044,Connecticut -> Public -> Western Connecticut State U.,Connecticut,Public,Western Connecticut State U.,3,"['539', '']","['353', '']","['399', '']","['424', '']"
12731,r045,Connecticut -> Private,Connecticut,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r046,Connecticut -> Private -> Quinnipiac U.,Connecticut,Private,Quinnipiac U.,3,"['930', 'i']","['926', 'i']","['1,069', 'i']","['1,218', 'i']"
12731,r047,Connecticut -> Private -> U. Bridgeport,Connecticut,Private,U. Bridgeport,3,"['164', '']","['ne', '']","['ne', '']","['542', '']"
12731,r048,Florida,Florida,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r049,Florida -> Private,Florida,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r050,Florida -> Private -> Barry U.,Florida,Private,Barry U.,3,"['237', '']","['343', '']","['367', '']","['469', '']"
12731,r051,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,3,"['636', '']","['928', '']","['707', '']","['682', '']"
12731,r052,Florida -> Private -> Eckerd C.,Florida,Private,Eckerd C.,3,"['406', '']","['367', '']","['596', '']","['1,599', '']"
