table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_institutions_with_research_space_number_a,field_institutions_with_research_space_shared_with_other_fields_number,field_institutions_with_research_space_shared_with_other_fields_percent,field_institutions_with_research_space_also_used_for_nonresearch_purposes_number,field_institutions_with_research_space_also_used_for_nonresearch_purposes_percent
12848,r001,All research space,All research space,,1,571,345,60,372,65
12848,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,220,85,39,113,51
12848,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,555,255,46,292,53
12848,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,453,145,32,256,57
12848,r005,All research space -> Engineering,All research space,Engineering,2,408,173,42,243,60
12848,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,380,111,29,200,53
12848,r007,All research space -> Health sciences,All research space,Health sciences,2,436,152,35,246,56
12848,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,369,94,25,199,54
12848,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,281,107,38,143,51
12848,r010,All research space -> Physical sciences,All research space,Physical sciences,2,492,191,39,278,57
12848,r011,All research space -> Psychology,All research space,Psychology,2,459,109,24,235,51
12848,r012,All research space -> Social sciences,All research space,Social sciences,2,423,122,29,220,52
12848,r013,All research space -> Other fields of S&E<sup>b</sup>,All research space,Other fields of S&E<sup>b</sup>,2,168,90,54,87,52
