table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_all_costs,field_included_in_institutional_plans_construct,field_included_in_institutional_plans_repair_or_renovate,field_not_included_in_institutional_plans_construct,field_not_included_in_institutional_plans_repair_or_renovate
12870,r001,All research space,All research space,,1,28290.7,12253.4,9389.5,1419.3,5228.4
12870,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,1711.5,914.0,532.6,63.8,201.1
12870,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,5638.3,2002.5,2279.4,178.5,1177.9
12870,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,714.1,509.0,89.4,50.0,65.7
12870,r005,All research space -> Engineering,All research space,Engineering,2,6662.1,2822.2,2011.8,715.4,1112.7
12870,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,971.9,220.7,366.5,81.3,303.4
12870,r007,All research space -> Health sciences,All research space,Health sciences,2,6316.7,3633.2,1716.4,30.0,937.1
12870,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,177.8,111.6,46.5,1.0,18.7
12870,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,499.9,117.2,179.5,5.0,198.2
12870,r010,All research space -> Physical sciences,All research space,Physical sciences,2,3602.1,1391.1,1328.7,209.0,673.3
12870,r011,All research space -> Psychology,All research space,Psychology,2,678.0,221.1,318.2,0.0,138.7
12870,r012,All research space -> Social sciences,All research space,Social sciences,2,798.5,112.2,422.5,51.8,211.9
12870,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,519.8,198.6,98.1,33.5,189.7
