table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1328,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2302,2206,2063,-4.2,-6.5
1328,r002,R&D and R&D plant -> Agricultural research and services (352),R&D and R&D plant,Agricultural research and services (352),,,,2,,,,,
1328,r003,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,,,3,2302,2206,2063,-4.2,-6.5
1328,r004,"R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service<sup>c,d</sup>",R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,"Agricultural Research Service<sup>c,d</sup>",,4,1298,1289,1239,-0.7,-3.9
1328,r005,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,,4,40,39,34,-2.5,-12.8
1328,r006,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Economic Research Service,,4,87,86,45,-0.7,-47.8
1328,r007,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,,4,9,9,9,0.0,0.0
1328,r008,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture<sup>e</sup>,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture<sup>e</sup>,,4,869,783,736,-9.9,-6.0
1328,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2090,1994,1762,-4.6,-11.6
1328,r010,R&D and R&D plant -> R&D -> Agricultural research and services (352),R&D and R&D plant,R&D,Agricultural research and services (352),,,3,,,,,
1328,r011,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,,4,2090,1994,1762,-4.6,-11.6
1328,r012,"R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service<sup>c,d</sup>",R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,"Agricultural Research Service<sup>c,d</sup>",5,1085,1077,938,-0.7,-12.9
1328,r013,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,5,40,39,34,-2.5,-12.8
1328,r014,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Economic Research Service,5,87,86,45,-0.7,-47.8
1328,r015,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,5,9,9,9,0.0,0.0
1328,r016,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture<sup>e</sup>,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture<sup>e</sup>,5,869,783,736,-9.9,-6.0
