table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1331,r001,R&D and R&D plant,R&D and R&D plant,,,,1,707,656,495,-7.2,-24.5
1331,r002,R&D and R&D plant -> Department of Homeland Security (751)<sup>b</sup>,R&D and R&D plant,Department of Homeland Security (751)<sup>b</sup>,,,2,674,623,457,-7.6,-26.6
1331,r003,R&D and R&D plant -> Department of Justice,R&D and R&D plant,Department of Justice,,,2,33,33,38,0.0,15.2
1331,r004,R&D and R&D plant -> Department of Justice -> Federal Prison System (753),R&D and R&D plant,Department of Justice,Federal Prison System (753),,3,11,11,16,0.0,45.5
1331,r005,R&D and R&D plant -> Department of Justice -> Office of Justice Programs (754),R&D and R&D plant,Department of Justice,Office of Justice Programs (754),,3,22,22,22,0.0,0.0
1331,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,707,656,490,-7.2,-25.3
1331,r007,R&D and R&D plant -> R&D -> Department of Homeland Security (751)<sup>b</sup>,R&D and R&D plant,R&D,Department of Homeland Security (751)<sup>b</sup>,,3,674,623,457,-7.6,-26.6
1331,r008,R&D and R&D plant -> R&D -> Department of Justice,R&D and R&D plant,R&D,Department of Justice,,3,33,33,33,0.0,0.0
1331,r009,R&D and R&D plant -> R&D -> Department of Justice -> Federal Prison System (753),R&D and R&D plant,R&D,Department of Justice,Federal Prison System (753),4,11,11,11,0.0,0.0
1331,r010,R&D and R&D plant -> R&D -> Department of Justice -> Office of Justice Programs (754),R&D and R&D plant,R&D,Department of Justice,Office of Justice Programs (754),4,22,22,22,0.0,0.0
