table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1395,r001,All business activities,All business activities,,1,21100–81000,"['374,685', '  ']","['317,731', '  ']","['56,954', '&nbsp;']"
1395,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['867', '  ']","['841', '  ']","['25', 'i']"
1395,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['58', '  ']","['57', '  ']","['2', '&nbsp;']"
1395,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,544', '  ']","['1,185', '  ']","['359', '&nbsp;']"
1395,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['349', '  ']","['323', '  ']","['26', '&nbsp;']"
1395,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['255', 'i ']","['254', 'i ']","['1', '&nbsp;']"
1395,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['4,893', '  ']","['4,700', '  ']","['193', '&nbsp;']"
1395,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['D', '&nbsp;']","['601', 'i ']","['D', '&nbsp;']"
1395,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['153', '  ']","['152', '  ']","['1', '&nbsp;']"
1395,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['1,244', 'i ']","['1,235', 'i ']","['9', '&nbsp;']"
1395,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['241', '  ']","['234', '  ']","['7', 'i']"
1395,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,168', '  ']","['1,168', '  ']","['*', '&nbsp;']"
1395,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['304', '  ']","['303', '  ']","['*', 'i']"
1395,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['441', '  ']","['437', '  ']","['4', '&nbsp;']"
1395,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['75', '  ']","['75', '  ']","['0', '&nbsp;']"
1395,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['316', '  ']","['304', '  ']","['12', '&nbsp;']"
1395,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['2,839', '  ']","['2,589', '  ']","['250', '&nbsp;']"
1395,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['932', '  ']","['909', '  ']","['23', '&nbsp;']"
1395,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['1,883', 'i ']","['1,529', 'i ']","['354', '&nbsp;']"
1395,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['45,271', '  ']","['38,589', '  ']","['6,682', '&nbsp;']"
1395,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,013', '  ']","['962', '  ']","['51', 'i']"
1395,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,2,32543,"['16,421', '  ']","['14,613', '  ']","['1,808', '&nbsp;']"
1395,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['2,551', '  ']","['2,387', '  ']","['164', '&nbsp;']"
1395,r024,"All business activities -> Paints, adhesives, and other chemical manufacturing",All business activities,"Paints, adhesives, and other chemical manufacturing",2,32592,"['D', '  ']","['1,639', '  ']","['D', '&nbsp;']"
1395,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,402', '  ']","['3,230', '  ']","['173', '&nbsp;']"
1395,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['991', '  ']","['983', '  ']","['7', '&nbsp;']"
1395,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['382', '  ']","['374', '  ']","['8', '&nbsp;']"
1395,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['601', '  ']","['596', '  ']","['4', '&nbsp;']"
1395,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,356', '  ']","['2,248', '  ']","['108', 'i']"
1395,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,194', '  ']","['1,184', '  ']","['10', '&nbsp;']"
1395,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,211', '  ']","['1,202', '  ']","['9', '&nbsp;']"
