table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field__,field_basic_research,field__,field_applied_research,field__,field_development,field__
1405,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",56954,,5501,i ,12213,,39239,
1405,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,38893,,4041,i ,6599,,28253,
1405,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,217,,8,,72,,138,
1405,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,,,11,,,,,
1405,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,9,,0.05,i ,3,i ,6,i
1405,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,7,i ,0.05,,2,i ,5,
1405,r007,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,0.05,i ,0.05,i ,0.05,i ,0.05,
1405,r008,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,9410,,2089,,1481,,5840,
1405,r009,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,8644,,1961,,1117,,5567,
1405,r010,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,766,,128,,364,,273,
1405,r011,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,169,,5,,6,,158,
1405,r012,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,14,,0.05,,4,,10,
1405,r013,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,10,,0.05,i ,0.05,i ,9,i
