table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performersb
1409,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['56,954', '  ']","['0.6', '  ']","['0.6', ' ']"
1409,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,893', '  ']","['0.7', '  ']","['0.7', ' ']"
1409,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['217', '  ']","['*', '  ']","['*', ' ']"
1409,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['D', '  ']","['D', ' ']"
1409,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['9', '  ']","['*', '  ']","['*', ' ']"
1409,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', 'i ']","['*', '  ']","['*', ' ']"
1409,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '  ']","['*', '  ']","['*', ' ']"
1409,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i ']","['*', '  ']","['*', ' ']"
1409,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '  ']","['*', '  ']","['*', ' ']"
1409,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,410', '  ']","['0.9', '  ']","['0.9', ' ']"
1409,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['261', '  ']","['0.1', '  ']","['D', ' ']"
