table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_structures,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
1422,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['560,900', '  ']","['25,248', '  ']","['3,072', '  ']","['11,839', '  ']","['6,793', '  ']","['3,543', ' ']"
1422,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['235,923', '  ']","['14,948', '  ']","['2,471', '  ']","['8,376', '  ']","['1,850', '  ']","['2,251', 'i']"
1422,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['20,370', '  ']","['313', '  ']","['103', '  ']","['188', '  ']","['7', '  ']","['16', ' ']"
1422,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['4,976', '  ']","['109', '  ']","['32', '  ']","['70', '  ']","['5', '  ']","['2', ' ']"
1422,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['2,941', 'i ']","['86', 'i ']","['17', 'i ']","['24', 'i ']","['45', 'i ']","['*', 'i']"
1422,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['1,472', '  ']","['18', '  ']","['2', '  ']","['15', '  ']","['*', '  ']","['*', ' ']"
1422,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['2,535', '  ']","['45', '  ']","['*', '  ']","['45', '  ']","['0', '  ']","['*', ' ']"
1422,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1,318', '  ']","['71', '  ']","['*', '  ']","['19', '  ']","['52', '  ']","['0', ' ']"
1422,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['7,565', '  ']","['63', '  ']","['47', '  ']","['15', '  ']","['*', '  ']","['1', ' ']"
1422,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['40,570', '  ']","['4,336', '  ']","['1,364', '  ']","['1,982', '  ']","['629', '  ']","['361', ' ']"
1422,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['12,499', '  ']","['201', '  ']","['33', '  ']","['158', '  ']","['3', '  ']","['7', ' ']"
1422,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,960', '  ']","['58', 'i ']","['10', 'i ']","['41', 'i ']","['2', 'i ']","['5', 'i']"
1422,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['1,652', 'i ']","['74', 'i ']","['13', 'i ']","['60', 'i ']","['*', 'i ']","['1', 'i']"
1422,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['16,577', '  ']","['3,511', '  ']","['1,242', '  ']","['1,410', '  ']","['545', '  ']","['314', ' ']"
1422,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['4,967', '  ']","['236', '  ']","['12', '  ']","['164', '  ']","['39', '  ']","['22', ' ']"
1422,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['2,915', '  ']","['254', '  ']","['55', '  ']","['147', '  ']","['40', '  ']","['12', ' ']"
1422,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['14,268', '  ']","['386', '  ']","['14', '  ']","['303', '  ']","['2', '  ']","['67', ' ']"
1422,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['3,291', '  ']","['247', '  ']","['7', '  ']","['144', '  ']","['*', '  ']","['95', ' ']"
1422,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['3,983', 'i ']","['80', 'i ']","['6', 'i ']","['38', 'i ']","['2', 'i ']","['33', 'i']"
1422,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4,616', 'i ']","['140', 'i ']","['12', 'i ']","['101', 'i ']","['3', 'i ']","['24', 'i']"
1422,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['11,037', '  ']","['1,096', '  ']","['85', '  ']","['825', '  ']","['101', '  ']","['85', ' ']"
1422,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['1,076', '  ']","['59', '  ']","['22', '  ']","['21', '  ']","['1', '  ']","['16', ' ']"
1422,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['789', '  ']","['328', '  ']","['*', '  ']","['270', '  ']","['36', '  ']","['22', ' ']"
1422,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['920', '  ']","['110', '  ']","['20', '  ']","['64', '  ']","['19', '  ']","['7', ' ']"
1422,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['8,252', '  ']","['599', '  ']","['43', '  ']","['470', '  ']","['45', '  ']","['41', ' ']"
1422,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['35,960', '  ']","['4,441', '  ']","['149', '  ']","['2,812', '  ']","['528', '  ']","['953', 'i']"
1422,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,711', '  ']","['427', 'i ']","['30', 'i ']","['343', 'i ']","['29', 'i ']","['26', 'i']"
1422,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['16,786', 'i ']","['1,965', 'i ']","['47', 'i ']","['1,087', 'i ']","['100', 'i ']","['731', 'i']"
1422,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,864', '  ']","['653', '  ']","['20', 'i ']","['375', 'i ']","['118', '  ']","['139', 'i']"
