table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_new_or_significantly_improved_productsa_companies_number_,field_new_or_significantly_improved_productsa_yesb,field_new_or_significantly_improved_productsa_noc,field_new_or_significantly_improved_products_new_to_company_s_market_companies_number_d_,field_new_or_significantly_improved_products_new_to_company_s_market_sales_us_millions_,field_new_or_significantly_improved_products_new_only_to_company_companies_number_d,field_new_or_significantly_improved_products_new_only_to_company_sales_us_millions_,field_sales_of_products_unchanged_or_marginally_modified_us_millions_
1439,r001,Industry (number),Industry (number),,,,,1,,,,,,,,,
1439,r002,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",1138671,108376,1030296,69538,810268,76347,791444,35476169
1439,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,113066,24937,88129,16464,526449,17871,488074,8042701
1439,r004,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,9763,1791,7972,901,38767,1470,47293,883323
1439,r005,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,2863,644,2220,435,1371,554,1029,259770
1439,r006,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,4689,942,3747,646,11000,484,6481,136099
1439,r007,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,5526,487,5039,288,856,354,2534,155538
1439,r008,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,1447,265,1182,140,9632,220,13342,121599
1439,r009,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,8604,1378,7226,982,2362,998,3350,90488
1439,r010,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,412,81,331,35,2823,71,2795,397661
1439,r011,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,5259,1881,3378,1267,148523,1327,88292,1273566
1439,r012,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,692,268,424,186,5932,198,4878,280327
1439,r013,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,633,162,471,106,9278,141,8433,56838
1439,r014,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,261,76,186,63,4654,60,11459,47534
1439,r015,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1384,460,924,331,54433,272,46524,674352
1439,r016,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,929,359,570,245,68312,272,10294,117556
1439,r017,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259",1360,557,803,336,5913,384,6704,96960
1439,r018,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,5555,1419,4136,954,26577,1110,15134,283497
1439,r019,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,4758,842,3916,598,1091,598,3130,150275
1439,r020,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,2033,280,1752,164,4484,219,11445,216386
1439,r021,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,24182,4173,20009,2657,11056,3068,15080,268250
1439,r022,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,10843,3132,7710,2087,27392,2195,56319,444939
1439,r023,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,530,196,335,151,7919,138,17394,42279
1439,r024,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,78,37,41,24,1062,,,
1439,r025,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,446,136,310,97,1520,,,
1439,r026,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,9788,2764,7025,1816,16891,,,334405
1439,r027,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,5477,2528,2949,1841,109678,1724,107979,1085715
1439,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,736,416,321,342,24252,230,24304,100959
1439,r029,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,2008,708,1299,531,30324,551,10957,390145
