table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1442,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['61,475', '&nbsp;']","['54,066', '&nbsp;']","['59,162', '&nbsp;']","['69,251', '&nbsp;']","['72,157', '&nbsp;']","['73,245', '&nbsp;']","['75,804', '&nbsp;']","['73,503', '&nbsp;']","['77,146', ' ']"
1442,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['46,572', '&nbsp;']","['40,417', '&nbsp;']","['44,464', '&nbsp;']","['51,458', '&nbsp;']","['53,120', '&nbsp;']","['53,392', '&nbsp;']","['53,955', '&nbsp;']","['51,725', '&nbsp;']","['52,689', ' ']"
1442,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['596', '&nbsp;']","['817', '&nbsp;']","['1,006', '&nbsp;']","['1,195', '&nbsp;']","['1,076', '&nbsp;']","['1,315', '&nbsp;']","['1,282', '&nbsp;']","['1,231', '&nbsp;']","['994', ' ']"
1442,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['123', '&nbsp;']","['455', '&nbsp;']","['783', 'i']","['599', '&nbsp;']","['532', '&nbsp;']","['531', '&nbsp;']","['503', '&nbsp;']","['523', '&nbsp;']","['543', ' ']"
1442,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['367', '&nbsp;']","['80', '&nbsp;']","['39', '&nbsp;']","['49', '&nbsp;']","['52', '&nbsp;']","['98', '&nbsp;']","['103', '&nbsp;']","['70', '&nbsp;']","['81', ' ']"
1442,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['5', 'i']","['3', '&nbsp;']","['15', ' ']"
1442,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['274', '&nbsp;']","['257', '&nbsp;']","['324', '&nbsp;']","['93', '&nbsp;']","['106', '&nbsp;']","['103', '&nbsp;']","['158', '&nbsp;']","['102', '&nbsp;']","['78', ' ']"
1442,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['9', '&nbsp;']","['7', '&nbsp;']","['38', '&nbsp;']","['30', '&nbsp;']","['35', '&nbsp;']","['6', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['4', ' ']"
1442,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['D', '&nbsp;']","['156', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['46', '&nbsp;']","['64', '&nbsp;']","['38', '&nbsp;']","['44', ' ']"
1442,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['13,990', '&nbsp;']","['9,689', '&nbsp;']","['14,267', '&nbsp;']","['16,215', '&nbsp;']","['13,470', '&nbsp;']","['12,464', '&nbsp;']","['13,294', '&nbsp;']","['12,929', '&nbsp;']","['12,313', ' ']"
1442,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['1,198', '&nbsp;']","['797', '&nbsp;']","['861', '&nbsp;']","['D', '&nbsp;']","['695', '&nbsp;']","['716', '&nbsp;']","['784', '&nbsp;']","['636', '&nbsp;']","['537', ' ']"
1442,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['224', '&nbsp;']","['260', '&nbsp;']","['255', '&nbsp;']","['319', '&nbsp;']","['D', '&nbsp;']","['597', '&nbsp;']","['688', '&nbsp;']","['579', '&nbsp;']","['333', ' ']"
1442,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['371', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['275', 'i']","['299', 'i']","['D', '&nbsp;']","['432', 'i']"
1442,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,862', '&nbsp;']","['7,041', '&nbsp;']","['11,068', '&nbsp;']","['12,557', '&nbsp;']","['11,069', '&nbsp;']","['9,690', '&nbsp;']","['10,249', '&nbsp;']","['D', '&nbsp;']","['9,914', ' ']"
