table_id,row_id,student_grade_and_characteristic_full_path,student_grade_and_characteristic_level_1,student_grade_and_characteristic_level_2,student_grade_and_characteristic_level_3,student_grade_and_characteristic_hierarchy_depth,field_1990,field_1992,field_1996,field_2000,field_2003,field_2005,field_2007,field_2009,field_2011,field_2013,field_2015,field_2017
1544,r001,All students in grade 4,All students in grade 4,,,1,12.7,17.9,20.8,23.8,32.5,36.3,39.4,39.1,40.5,41.8,40.0,40.2
1544,r002,All students in grade 4 -> Sex,All students in grade 4,Sex,,2,,,,,,,,,,,,
1544,r003,All students in grade 4 -> Sex -> Male,All students in grade 4,Sex,Male,3,13.2,19.5,21.5,25.9,34.9,38.4,41.5,40.9,41.8,43.0,41.7,42.2
1544,r004,All students in grade 4 -> Sex -> Female,All students in grade 4,Sex,Female,3,12.2,16.2,20.0,21.6,29.9,34.2,37.3,37.2,39.1,40.6,38.3,38.1
1544,r005,All students in grade 4 -> Race or ethnicity<sup>a</sup>,All students in grade 4,Race or ethnicity<sup>a</sup>,,2,,,,,,,,,,,,
1544,r006,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 4,Race or ethnicity<sup>a</sup>,White,3,15.9,22.4,27.0,31.3,42.9,47.2,50.9,50.7,52.1,53.7,50.8,51.4
1544,r007,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Black or African American,All students in grade 4,Race or ethnicity<sup>a</sup>,Black or African American,3,1.1,2.5,3.1,4.7,9.9,12.8,15.4,15.9,17.4,18.2,18.6,19.1
1544,r008,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All students in grade 4,Race or ethnicity<sup>a</sup>,Hispanic or Latino<sup>b</sup>,3,4.8,5.6,7.2,7.2,15.6,19.5,22.0,21.6,23.9,26.4,26.2,26.4
1544,r009,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 4,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,22.4,27.7,27.2,s,48.3,54.6,58.4,60.3,62.1,63.5,62.2,63.8
1544,r010,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 4,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,s,s,10.1,8.2,16.8,20.9,24.8,21.2,22.4,23.5,23.0,24.1
