table_id,row_id,citizenship_field_race_and_ethnicity_full_path,citizenship_field_race_and_ethnicity_level_1,citizenship_field_race_and_ethnicity_level_2,citizenship_field_race_and_ethnicity_level_3,citizenship_field_race_and_ethnicity_level_4,citizenship_field_race_and_ethnicity_level_5,citizenship_field_race_and_ethnicity_level_6,citizenship_field_race_and_ethnicity_level_7,citizenship_field_race_and_ethnicity_level_8,citizenship_field_race_and_ethnicity_level_9,citizenship_field_race_and_ethnicity_level_10,citizenship_field_race_and_ethnicity_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1567,r001,"All citizenships, races, and ethnicities","All citizenships, races, and ethnicities",,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1567,r002,"All citizenships, races, and ethnicities -> All fields","All citizenships, races, and ethnicities",All fields,,,,,,,,,2,44947,45068,44311,46177,48560,52855,56309,60887,61716,61730,57405,59847,62181,64887,67591,69115,69836,71142
1567,r003,"All citizenships, races, and ethnicities -> All fields -> S&E","All citizenships, races, and ethnicities",All fields,S&E,,,,,,,,3,27862,28096,27588,28746,30979,34468,37541,40980,41480,41111,36711,38470,39864,41563,43995,44521,44845,45729
1567,r004,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering","All citizenships, races, and ethnicities",All fields,S&E,Engineering,,,,,,,4,5384,5561,5196,5282,5931,6548,7402,8066,8110,7915,7812,8478,8873,9489,10135,10406,10358,10547
1567,r005,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Aerospace","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Aerospace,,,,,,5,203,202,193,178,190,205,209,234,232,257,228,237,275,310,336,310,332,342
1567,r006,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Chemical","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Chemical,,,,,,5,665,680,693,608,708,872,911,915,950,886,929,951,969,1001,1169,1197,1181,1169
1567,r007,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Civil","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Civil,,,,,,5,628,647,669,685,736,830,864,935,909,902,851,894,922,1036,1154,1230,1166,1246
1567,r008,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Electrical","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Electrical,,,,,,5,1515,1527,1361,1402,1634,1782,2124,2380,2279,2090,2169,2352,2475,2469,2642,2651,2620,2669
1567,r009,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Industrial","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Industrial,,,,,,5,218,262,275,258,280,286,302,364,346,333,290,319,348,389,400,354,375,380
1567,r010,"All citizenships, races, and ethnicities -> All fields -> S&E -> Engineering -> Materials","All citizenships, races, and ethnicities",All fields,S&E,Engineering,Materials,,,,,,5,454,454,381,457,494,514,611,663,665,661,653,651,715,757,734,810,842,877
