table_id,row_id,field_of_s_e_highest_degree_full_path,field_of_s_e_highest_degree_level_1,field_of_s_e_highest_degree_level_2,field_of_s_e_highest_degree_level_3,field_of_s_e_highest_degree_level_4,field_of_s_e_highest_degree_hierarchy_depth,field_total,field_female_number,field_female_percent,field_male_number,field_male_percent
1628,r001,All S&E highest degree,All S&E highest degree,,,,1,14501000,5771000,39.8,8730000,60.2
1628,r002,All S&E highest degree -> Computer and mathematical sciences,All S&E highest degree,Computer and mathematical sciences,,,2,2567000,757000,29.5,1810000,70.5
1628,r003,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,,3,2017000,529000,26.2,1487000,73.7
1628,r004,"All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer and information sciences, general",All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,"Computer and information sciences, general",4,362000,107000,29.6,256000,70.7
1628,r005,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Computer sciences,4,1065000,248000,23.3,817000,76.7
1628,r006,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer systems analysis,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Computer systems analysis,4,50000,13000,26.0,37000,74.0
1628,r007,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Information services and systems,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Information services and systems,4,418000,119000,28.5,299000,71.5
1628,r008,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Other computer and information sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Other computer and information sciences,4,122000,42000,34.4,79000,64.8
1628,r009,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,,3,550000,228000,41.5,322000,58.5
1628,r010,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Applied mathematics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Applied mathematics,4,58000,24000,41.4,34000,58.6
1628,r011,"All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Mathematics, general",All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,"Mathematics, general",4,371000,161000,43.4,211000,56.9
1628,r012,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Operations research,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Operations research,4,34000,9000,26.5,25000,73.5
1628,r013,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Statistics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Statistics,4,64000,30000,46.9,34000,53.1
1628,r014,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Other mathematics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Other mathematics,4,23000,4000,s,19000,82.6
1628,r015,"All S&E highest degree -> Biological, agricultural, and environmental life sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",,,2,2290000,1081000,47.2,1209000,52.8
1628,r016,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,3,286000,117000,40.9,169000,59.1
1628,r017,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,4,104000,56000,53.8,48000,46.2
1628,r018,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,4,33000,21000,63.6,12000,36.4
1628,r019,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,4,99000,28000,28.3,72000,72.7
1628,r020,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Other agricultural sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Other agricultural sciences,4,49000,13000,26.5,36000,73.5
1628,r021,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,,3,1763000,887000,50.3,876000,49.7
1628,r022,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Biochemistry and biophysics",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Biochemistry and biophysics,4,131000,56000,42.7,75000,57.3
1628,r023,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Biology, general",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Biology, general",4,861000,440000,51.1,421000,48.9
1628,r024,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Botany",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Botany,4,17000,5000,29.4,12000,70.6
1628,r025,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Cell and molecular biology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Cell and molecular biology,4,109000,45000,41.3,63000,57.8
1628,r026,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Ecology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Ecology,4,115000,41000,35.7,74000,64.3
1628,r027,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Genetics, animal and plant",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Genetics, animal and plant",4,26000,13000,50.0,12000,46.2
1628,r028,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Microbiological sciences and immunology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Microbiological sciences and immunology,4,125000,71000,56.8,54000,43.2
1628,r029,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Nutritional sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Nutritional sciences,4,88000,84000,95.5,4000,4.5
1628,r030,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Pharmacology, human and animal",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Pharmacology, human and animal",4,24000,11000,45.8,12000,50.0
1628,r031,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Physiology and pathology, human and animal",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Physiology and pathology, human and animal",4,62000,34000,54.8,28000,45.2
1628,r032,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Zoology, general",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Zoology, general",4,72000,30000,41.7,42000,58.3
1628,r033,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Other biological sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Other biological sciences,4,135000,56000,41.5,79000,58.5
1628,r034,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,3,241000,77000,32.0,164000,68.0
1628,r035,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences -> Environmental science or studies",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,Environmental science or studies,4,182000,68000,37.4,113000,62.1
1628,r036,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences -> Forestry sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,Forestry sciences,4,59000,8000,13.6,51000,86.4
1628,r037,All S&E highest degree -> Physical and related sciences,All S&E highest degree,Physical and related sciences,,,2,814000,257000,31.6,557000,68.4
1628,r038,"All S&E highest degree -> Physical and related sciences -> Chemistry, except biochemistry",All S&E highest degree,Physical and related sciences,"Chemistry, except biochemistry",,3,349000,144000,41.3,204000,58.5
1628,r039,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,3,234000,75000,32.1,159000,67.9
