table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminary,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1692,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,68916,70587,75421,2.4,6.8
1692,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,61766,63651,67655,3.1,6.3
1692,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup>",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,,,,3,58377,60393,65609,3.5,8.6
1692,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,,,4,18613,18799,18705,1.0,-0.5
1692,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Defense Advanced Research Projects Agency,,5,3089,3427,3556,11.0,3.8
1692,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Missile Defense Agency,,5,7749,7249,7370,-6.5,1.7
1692,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Other defense agencies,,5,7774,8123,7779,4.5,-4.2
1692,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Air Force,,,4,15635,18026,21131,15.3,17.2
1692,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Army,,,4,9803,9580,10345,-2.3,8.0
1692,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Navy,,,4,14118,13611,15207,-3.6,11.7
1692,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Operational Test and Evaluation,,,4,209,377,221,80.7,-41.3
1692,r012,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,,3,3389,3257,2046,-3.9,-37.2
1692,r013,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053)",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",,,,,2,7131,6902,7713,-3.2,11.8
1692,r014,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Defense environmental cleanup",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Defense environmental cleanup,,,,3,38,28,13,-26.3,-53.6
