table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed
1699,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
1699,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,47.7,47.7,53.0
1699,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,25.8,26.5,23.6
1699,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,8.7,8.7,7.9
1699,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,7.3,6.8,7.5
1699,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,2.9,3.0,1.3
1699,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,1.8,1.8,1.3
1699,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.6,1.6,1.6
1699,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.1,1.1,1.1
1699,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,0.9,0.9,0.9
1699,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,0.8,0.7,0.8
1699,r012,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.5,0.5,0.3
1699,r013,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.4,0.4,0.4
1699,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.2,0.2,0.1
1699,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.1,0.1,0.1
1699,r016,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.1,0.1,0.1
1699,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.05,0.05
1699,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
1699,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,48.6,48.5,53.8
1699,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,26.4,27.0,24.0
1699,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,7.6,7.5,7.0
1699,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,7.4,6.9,7.6
1699,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,3.0,3.1,1.3
1699,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,1.7,1.6,1.2
1699,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,1.5,1.5,1.5
1699,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1.1,1.1,1.1
1699,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,0.9,0.9,1.0
1699,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,0.6,0.6,0.5
1699,r029,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,0.5,0.5,0.3
1699,r030,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,0.4,0.4,0.4
