table_id,row_id,country,share_of_country_s_international_articles_with_u_s_coauthor,share_of_u_s_international_articles_with_coauthor_from_the_country_or_economy
1812,r001,World,37.4,na
1812,r002,China,43.65,25.71
1812,r003,United Kingdom,28.64,13.29
1812,r004,Germany,28.77,10.96
1812,r005,Canada,42.83,10.2
1812,r006,France,25.32,7.16
1812,r007,Italy,27.47,6.41
1812,r008,Japan,31.99,5.35
1812,r009,Australia,27.56,6.47
1812,r010,South Korea,43.53,4.53
1812,r011,Spain,24.29,4.75
1812,r012,Netherlands,29.61,4.64
1812,r013,Switzerland,31.9,4.37
1812,r014,Brazil,35.23,4.03
1812,r015,India,30.2,3.74
1812,r016,Sweden,28.43,3.27
