table_id,row_id,region_country_or_economy,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1856,r001,World,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1856,r002,China,0.3,0.47,0.21,0.31,0.13,0.41,0.37,0.35,0.39,0.45,0.35,0.39,0.46,0.52,0.52,0.54,0.65,0.64,0.68,0.82,0.78
1856,r003,United States,1.63,1.66,1.69,1.71,1.7,1.65,1.63,1.65,1.66,1.69,1.69,1.72,1.77,1.81,1.76,1.85,1.89,1.84,1.88,1.95,1.89
1856,r004,India,0.2,0.18,0.23,0.45,0.32,0.45,0.52,0.51,0.43,0.45,0.44,0.56,0.49,0.63,0.52,0.59,0.61,0.5,0.62,0.77,0.75
1856,r005,Germany,1.11,1.07,1.22,1.19,1.1,1.08,1.25,1.32,1.24,1.34,1.36,1.52,1.51,1.6,1.61,1.83,1.85,1.76,1.91,1.95,2.0
1856,r006,Japan,0.55,0.54,0.61,0.57,0.66,0.66,0.6,0.69,0.71,0.73,0.89,0.76,0.81,0.72,0.8,0.85,0.74,0.9,0.86,1.1,0.93
1856,r007,United Kingdom,1.39,1.44,1.3,1.42,1.54,1.5,1.5,1.76,1.71,1.93,1.69,1.9,2.03,1.99,2.23,2.23,2.4,2.27,2.57,2.43,2.35
1856,r008,Russia,0.13,0.12,0.13,0.18,0.19,0.18,0.24,0.12,0.26,0.43,0.28,0.19,0.4,0.24,0.43,0.44,0.35,0.51,0.58,0.67,0.66
1856,r009,Italy,0.61,0.56,0.72,0.67,0.62,0.71,0.9,0.79,0.67,1.1,0.94,1.18,1.13,1.11,1.35,1.17,1.25,1.6,1.51,1.69,1.69
1856,r010,South Korea,0.72,0.62,0.32,0.23,0.37,0.29,0.45,0.29,0.43,0.6,0.48,0.71,0.62,0.53,0.71,0.66,0.66,0.66,0.7,0.65,0.83
1856,r011,France,0.93,0.93,0.93,0.96,0.75,0.91,0.93,1.21,1.09,1.14,1.21,1.38,1.41,1.45,1.67,1.68,1.87,1.82,1.9,1.89,2.03
1856,r012,Brazil,0.46,0.22,0.46,0.6,0.63,0.51,0.46,0.32,0.38,0.57,0.5,0.65,0.53,0.62,0.42,0.47,0.62,0.75,0.67,0.72,1.15
1856,r013,Canada,1.06,1.38,1.13,1.36,1.15,0.86,0.88,1.15,1.53,1.18,1.5,1.74,1.56,1.52,2.07,2.06,1.94,1.83,2.05,1.96,1.85
1856,r014,Spain,0.43,0.7,0.7,0.51,0.62,0.63,0.84,0.74,0.73,0.78,1.06,1.22,1.26,1.57,1.41,1.28,1.56,1.63,1.59,1.62,1.6
1856,r015,Australia,1.21,1.04,1.29,1.01,1.41,0.98,1.24,1.13,1.55,1.17,1.56,1.49,1.65,1.9,1.79,2.11,2.05,2.17,2.37,2.45,2.17
1856,r016,Iran,0.0,0.0,0.0,0.85,0.0,0.0,0.28,0.92,0.31,0.16,0.41,0.49,0.18,0.39,0.28,0.26,0.3,0.65,0.4,0.54,0.73
1856,r017,EU (all members),0.88,0.92,0.96,0.93,0.93,0.94,0.98,1.07,1.06,1.11,1.09,1.18,1.19,1.23,1.32,1.33,1.37,1.41,1.42,1.43,1.45
