table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_1998_uspto_patents,field_1998_patent_families,field_1999_uspto_patents,field_1999_patent_families,field_2000_uspto_patents,field_2000_patent_families,field_2001_uspto_patents,field_2001_patent_families,field_2002_uspto_patents,field_2002_patent_families,field_2003_uspto_patents,field_2003_patent_families,field_2004_uspto_patents,field_2004_patent_families,field_2005_uspto_patents,field_2005_patent_families,field_2006_uspto_patents,field_2006_patent_families,field_2007_uspto_patents,field_2007_patent_families,field_2008_uspto_patents,field_2008_patent_families,field_2009_uspto_patents,field_2009_patent_families,field_2010_uspto_patents,field_2010_patent_families,field_2011_uspto_patents,field_2011_patent_families,field_2012_uspto_patents,field_2012_patent_families,field_2013_uspto_patents,field_2013_patent_families,field_2014_uspto_patents,field_2014_patent_families,field_2015_uspto_patents,field_2015_patent_families,field_2016_uspto_patents,field_2016_patent_families,field_2017_uspto_patents,field_2017_patent_families,field_2018_uspto_patents,field_2018_patent_families
1925,r001,World,World,,,,1,3419,5537,3664,6161,3418,4785,3567,4548,3422,4526,3367,5579,2939,6039,2163,6250,2410,7053,2236,7355,2140,6626,2347,6783,3342,7639,3471,9053,3884,12112,4391,16526,4802,16257,4546,15672,4490,16910,4599,14648,4465,14869
1925,r002,World -> North America,World,North America,,,2,1859,1284,2023,1273,1867,1089,1833,981,1743,891,1700,832,1456,693,1086,470,1229,519,1104,435,1060,362,1188,370,1694,501,1785,482,1998,498,2237,515,2464,637,2197,560,2132,499,2167,438,2086,359
1925,r003,World -> North America -> Canada,World,North America,Canada,,3,67,55,77,74,71,60,71,48,71,43,61,45,57,37,38,23,43,22,39,26,43,25,74,39,81,35,98,46,99,43,120,49,140,78,123,56,107,57,112,42,91,24
1925,r004,World -> North America -> Mexico,World,North America,Mexico,,3,3,1,5,2,4,1,2,0,4,2,3,1,2,2,1,0,0,0,4,2,1,1,2,0,4,1,5,0,5,1,7,1,13,0,10,2,9,21,17,23,18,19
1925,r005,World -> North America -> Puerto Rico,World,North America,Puerto Rico,,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0
1925,r006,World -> North America -> United States,World,North America,United States,,3,1789,1227,1939,1197,1792,1029,1760,932,1668,845,1635,786,1396,654,1046,447,1186,497,1061,407,1016,336,1111,331,1609,466,1680,436,1894,454,2110,465,2311,559,2062,502,2015,421,2037,373,1978,316
1925,r007,World -> North America -> All others,World,North America,All others,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,r008,World -> Central and South America,World,Central and South America,,,2,11,5,21,11,16,7,11,5,15,7,16,5,13,10,9,11,16,8,11,10,9,6,13,17,28,14,25,26,32,21,21,22,24,29,27,40,28,46,25,35,23,63
1925,r009,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,0,0,1,0,1,0,1,0,0,1,2,0,1,1,2,1,1,0,0,1,0,0,0,1,1,0,1,1,2,0,1,0,1,0,2,0,1,1,3,3,1,1
1925,r010,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,3,1,6,3,7,3,4,1,4,2,7,2,5,3,7,10,10,5,4,5,6,5,8,16,15,13,14,23,9,14,12,20,14,25,10,34,20,43,13,29,11,57
1925,r011,World -> Central and South America -> All others,World,Central and South America,All others,,3,7,4,15,9,8,3,6,3,10,4,7,3,8,6,0,0,5,2,7,4,3,1,5,1,12,1,10,3,22,6,8,1,9,3,15,6,6,2,9,2,12,5
1925,r012,World -> Europe,World,Europe,,,2,918,1695,976,1588,905,1301,1017,1166,968,1369,937,1633,767,1621,578,1462,617,1372,539,1227,473,1323,499,1265,752,1279,723,1285,823,1481,931,1773,1065,1485,1016,1372,950,1256,968,1492,924,1440
1925,r013,World -> Europe -> EU,World,Europe,EU,,3,849,869,909,922,843,722,942,654,894,704,878,677,709,654,537,665,571,668,499,592,439,618,451,531,690,607,670,622,760,766,852,647,978,588,929,608,850,691,869,701,831,771
1925,r014,World -> Europe -> EU -> Austria,World,Europe,EU,Austria,4,5,13,5,18,4,13,7,8,8,18,6,15,5,12,5,15,6,8,4,8,3,13,2,12,5,20,6,11,9,22,4,11,13,9,13,16,11,21,11,11,13,16
1925,r015,World -> Europe -> EU -> Belgium,World,Europe,EU,Belgium,4,79,40,88,32,70,24,65,18,85,33,72,26,45,23,39,13,38,17,28,12,20,8,33,18,39,13,35,18,43,13,54,27,63,19,42,11,39,13,41,33,42,42
1925,r016,World -> Europe -> EU -> Denmark,World,Europe,EU,Denmark,4,14,5,24,5,11,4,21,2,13,1,19,5,9,1,7,1,8,1,13,2,6,2,8,2,12,3,19,1,16,3,19,4,14,4,17,2,26,2,22,7,26,1
1925,r017,World -> Europe -> EU -> Finland,World,Europe,EU,Finland,4,8,16,13,13,7,18,11,22,9,10,8,16,6,20,4,12,3,11,8,9,5,11,7,15,4,16,11,10,15,14,10,20,14,20,17,18,13,23,14,24,25,18
1925,r018,World -> Europe -> EU -> France,World,Europe,EU,France,4,99,173,115,170,109,122,101,133,108,133,101,145,74,137,59,142,57,175,71,147,63,113,58,96,98,118,96,144,105,212,124,160,139,140,126,177,148,160,142,143,144,134
1925,r019,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,377,169,386,172,380,144,449,133,424,168,402,160,337,131,249,156,278,177,219,158,205,156,204,115,296,120,280,100,346,129,377,107,455,91,417,119,346,130,362,114,320,122
1925,r020,World -> Europe -> EU -> Hungary,World,Europe,EU,Hungary,4,1,12,1,5,1,8,3,10,1,5,1,8,1,3,2,3,1,4,0,7,1,2,0,3,1,6,1,4,1,6,3,3,2,3,1,5,3,3,1,3,0,6
1925,r021,World -> Europe -> EU -> Ireland,World,Europe,EU,Ireland,4,1,3,0,4,1,2,2,0,1,2,3,1,4,1,3,0,2,0,3,1,2,0,2,0,2,0,3,1,4,1,5,3,3,2,5,2,2,2,4,3,4,1
1925,r022,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,25,52,35,109,37,90,27,52,40,58,44,42,20,79,16,44,20,15,14,10,19,12,14,8,23,19,28,28,23,25,29,7,24,8,30,6,31,12,35,82,29,77
1925,r023,World -> Europe -> EU -> Netherlands,World,Europe,EU,Netherlands,4,36,31,48,34,56,27,52,34,48,21,51,30,43,25,32,19,41,18,32,22,15,24,31,15,49,18,39,22,41,16,59,28,65,17,67,18,66,22,63,27,57,18
1925,r024,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,9,34,7,62,6,52,10,34,6,32,7,32,7,37,7,63,3,37,3,44,5,44,4,49,7,55,9,65,11,50,11,65,12,58,16,62,15,52,20,42,12,41
1925,r025,World -> Europe -> EU -> Sweden,World,Europe,EU,Sweden,4,9,25,16,28,9,20,14,24,10,9,12,15,12,22,6,12,8,12,11,13,7,8,6,10,7,10,12,11,13,15,12,6,14,5,13,8,16,6,15,6,11,9
1925,r026,World -> Europe -> EU -> United Kingdom,World,Europe,EU,United Kingdom,4,184,58,167,45,148,49,179,30,139,34,152,49,142,38,105,24,105,23,90,19,83,26,79,22,144,34,128,25,126,39,134,35,150,31,153,34,125,32,128,36,135,40
1925,r027,World -> Europe -> EU -> All others,World,Europe,EU,All others,4,3,238,4,223,3,148,1,154,4,179,1,133,4,124,2,160,2,171,2,140,3,198,3,166,4,175,3,182,7,221,11,173,11,181,13,131,11,211,11,171,13,247
1925,r028,World -> Europe -> Other Europe,World,Europe,Other Europe,,3,69,826,67,666,63,579,75,512,74,665,59,956,58,967,41,797,46,703,40,636,35,705,48,733,62,672,53,663,63,715,79,1126,87,897,87,763,100,565,100,791,93,669
1925,r029,World -> Europe -> Other Europe -> Former Soviet Union,World,Europe,Other Europe,Former Soviet Union,4,2,35,0,22,0,14,2,34,1,58,0,97,1,240,0,90,0,84,1,113,1,89,0,95,0,87,1,81,1,56,2,70,2,64,1,51,3,55,1,45,1,52
1925,r030,World -> Europe -> Other Europe -> Norway,World,Europe,Other Europe,Norway,4,3,8,4,10,5,9,6,10,4,9,3,6,7,4,3,5,3,6,3,9,5,6,3,2,7,4,3,9,7,9,10,4,10,6,9,2,10,8,11,8,13,5
1925,r031,World -> Europe -> Other Europe -> Russia,World,Europe,Other Europe,Russia,4,6,762,5,605,6,539,5,452,7,577,6,834,6,709,4,685,6,600,8,503,4,592,6,618,11,564,5,550,5,633,10,1033,11,811,11,696,10,486,10,722,9,590
1925,r032,World -> Europe -> Other Europe -> Switzerland,World,Europe,Other Europe,Switzerland,4,58,20,56,29,52,15,63,15,62,20,50,19,42,14,33,15,36,13,28,10,24,13,37,14,43,12,42,21,49,14,57,15,64,13,65,11,74,14,73,12,64,17
1925,r033,World -> Europe -> Other Europe -> All others,World,Europe,Other Europe,All others,4,0,0,1,0,0,2,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,6,2,4,0,4,2,2,2,2,1,3,1,3,1,4,3,2,5,3,6,5
1925,r034,World -> Asia,World,Asia,,,2,591,2489,606,3187,593,2315,678,2349,660,2208,676,3062,669,3683,451,4261,522,5116,554,5634,562,4884,614,5077,810,5794,871,7209,967,10055,1112,14143,1154,14021,1186,13588,1263,15005,1301,12635,1272,12943
1925,r035,World -> Asia -> China,World,Asia,China,,3,8,200,5,239,5,455,5,607,14,438,9,932,16,1251,10,1458,14,1700,8,1626,15,1661,17,2222,27,2299,33,3277,43,5618,66,9307,80,8914,116,10121,152,11528,147,8998,178,9554
1925,r036,World -> Asia -> India,World,Asia,India,,3,6,3,10,5,10,5,13,7,20,12,17,13,18,9,16,13,16,7,9,7,10,8,15,4,21,4,11,4,23,4,34,6,45,12,55,17,68,24,77,15,79,10
1925,r037,World -> Asia -> Japan,World,Asia,Japan,,3,551,2050,548,2499,543,1596,600,1447,570,1438,584,1520,563,1759,374,1375,439,1634,471,2253,462,2172,479,2120,631,2476,684,2795,723,2924,829,3056,843,3375,802,2078,801,2068,814,1832,718,1626
1925,r038,World -> Asia -> Malaysia,World,Asia,Malaysia,,3,0,0,1,0,1,0,1,0,1,0,1,0,1,1,3,3,1,6,2,10,3,4,7,9,5,16,7,19,4,14,7,15,7,19,7,7,8,27,6,38,4,20
1925,r039,World -> Asia -> Singapore,World,Asia,Singapore,,3,1,1,2,2,2,2,2,1,3,1,3,3,2,0,1,0,2,1,4,3,2,0,3,3,2,2,3,2,5,3,6,1,5,1,14,2,7,2,14,2,14,1
