table_id,row_id,industry_vertical_or_technology_area_full_path,industry_vertical_or_technology_area_level_1,industry_vertical_or_technology_area_level_2,industry_vertical_or_technology_area_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1942,r001,China,China,,1,,,,,,
1942,r002,China -> 3D printing,China,3D printing,2,0,0,19,14,23,82
1942,r003,China -> Advanced manufacturing,China,Advanced manufacturing,2,12,27,34,25,262,181
1942,r004,China -> Advertising technology,China,Advertising technology,2,157,348,807,31,724,3128
1942,r005,China -> Agricultural technology,China,Agricultural technology,2,0,106,21,30,69,73
1942,r006,China -> Artificial intelligence and machine learning,China,Artificial intelligence and machine learning,2,76,351,1354,1728,8935,15571
1942,r007,China -> Audio technology,China,Audio technology,2,0,12,65,101,140,1286
1942,r008,China -> Augmented reality,China,Augmented reality,2,0,13,75,59,175,63
1942,r009,China -> Autonomous cars,China,Autonomous cars,2,0,0,516,659,2286,2647
1942,r010,China -> B2B payments,China,B2B payments,2,0,0,2,9,17,34
1942,r011,China -> Beauty,China,Beauty,2,2,16,63,3,88,64
1942,r012,China -> Big data,China,Big data,2,119,397,918,2308,7362,14131
1942,r013,China -> Blockchain/ cryptocurrency,China,Blockchain/ cryptocurrency,2,15,28,16,55,181,3081
1942,r014,China -> Car-sharing,China,Car-sharing,2,0,148,195,30,192,70
1942,r015,China -> Clean technology,China,Clean technology,2,47,108,302,1313,3494,7449
1942,r016,China -> Construction technology,China,Construction technology,2,3,6,1,6,36,57
1942,r017,China -> Cybersecurity,China,Cybersecurity,2,97,68,148,405,363,869
1942,r018,China -> Digital health,China,Digital health,2,2,293,141,565,149,1638
1942,r019,China -> E-commerce,China,E-commerce,2,986,2781,6671,8167,4728,20837
1942,r020,China -> Educational technology,China,Educational technology,2,89,491,1346,626,1450,4730
1942,r021,China -> Ephemeral content,China,Ephemeral content,2,0,0,0,0,15,11
1942,r022,China -> eSports,China,eSports,2,11,21,75,389,340,583
1942,r023,China -> Female technology,China,Female technology,2,5,33,24,0,0,0
1942,r024,China -> Financial technology,China,Financial technology,2,122,1189,4833,9381,5540,20248
1942,r025,China -> Food technology,China,Food technology,2,50,93,1559,445,948,4761
1942,r026,China -> Gaming,China,Gaming,2,102,297,235,481,458,658
1942,r027,China -> Health technology,China,Health technology,2,24,270,473,1027,3402,4094
1942,r028,China -> Human resources technology,China,Human resources technology,2,6,93,89,285,21,115
1942,r029,China -> Impact investing,China,Impact investing,2,0,0,0,225,212,0
1942,r030,China -> Industrials,China,Industrials,2,208,2065,7647,14007,14487,19073
1942,r031,China -> Infrastructure,China,Infrastructure,2,0,20,2,432,195,0
1942,r032,China -> InsurTech,China,InsurTech,2,21,5,134,605,2406,210
1942,r033,China -> Internet of things,China,Internet of things,2,40,1309,500,280,1970,3890
1942,r034,China -> Life sciences,China,Life sciences,2,185,144,478,1370,1887,3584
1942,r035,China -> LOHAS,China,LOHAS,2,42,141,843,125,996,2497
