table_id,row_id,wipo_technical_field_full_path,wipo_technical_field_level_1,wipo_technical_field_level_2,wipo_technical_field_hierarchy_depth,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1943,r001,All technical fields,All technical fields,,1,59221,58006,56025,53545,50589,49800,47332,39805,46149,39689,37632,39363,48734,45279,49911,51827,54759,52150,50367,49328,45755
1943,r002,All technical fields -> Analysis of biological materials,All technical fields,Analysis of biological materials,2,439,379,293,296,237,235,197,138,143,125,107,110,130,117,93,86,87,116,114,119,110
1943,r003,All technical fields -> Audio-visual technology,All technical fields,Audio-visual technology,2,2500,2349,2386,2258,2125,2288,2322,1912,2267,1877,1675,1772,1952,2026,2597,2503,2947,2631,2327,2273,1954
1943,r004,All technical fields -> Basic communication processes,All technical fields,Basic communication processes,2,1127,1092,1172,1256,1291,1307,1289,1041,1317,1254,1037,1018,1145,914,865,1009,997,833,875,788,616
1943,r005,All technical fields -> Basic materials chemistry ,All technical fields,Basic materials chemistry ,2,1227,1197,1029,932,845,786,654,447,497,407,336,331,466,436,454,465,559,502,421,373,316
1943,r006,All technical fields -> Biotechnology,All technical fields,Biotechnology,2,1306,1127,823,696,583,412,318,249,347,316,305,319,332,333,388,388,370,401,345,386,330
1943,r007,All technical fields -> Chemical engineering,All technical fields,Chemical engineering,2,1414,1434,1225,1104,997,951,847,687,745,670,635,628,802,791,763,729,719,674,638,639,545
1943,r008,All technical fields -> Civil engineering,All technical fields,Civil engineering,2,2180,2062,2058,1924,1803,1606,1490,1266,1261,1032,962,1005,1419,1142,1265,1370,1397,1470,1314,1378,1262
1943,r009,All technical fields -> Computer technology,All technical fields,Computer technology,2,6012,5983,5553,5659,5547,6015,6409,5897,8486,7268,7771,8898,11049,10421,12144,12653,13620,11913,11539,10316,9214
1943,r010,All technical fields -> Control,All technical fields,Control,2,1154,1116,1113,994,907,987,991,820,1040,879,966,908,1088,1057,1185,1157,1297,1199,1218,1464,1470
1943,r011,All technical fields -> Digital communication,All technical fields,Digital communication,2,1312,1517,1714,1610,1729,1853,2249,2037,2329,1958,2089,2240,2640,2450,3050,3335,4346,4999,5143,5078,4970
1943,r012,"All technical fields -> Electrical machinery, apparatus, energy",All technical fields,"Electrical machinery, apparatus, energy",2,3072,3110,3121,3065,2890,2718,2782,2179,2529,2183,2073,2207,2433,2223,2210,2350,2433,2474,2635,2684,2477
1943,r013,"All technical fields -> Engines, pumps, turbines",All technical fields,"Engines, pumps, turbines",2,1233,1096,1339,1493,1598,1418,1296,1148,1185,951,868,901,1091,1160,1405,1330,1345,1601,1610,1631,1676
1943,r014,All technical fields -> Environmental technology,All technical fields,Environmental technology,2,776,693,643,589,572,504,461,374,401,381,391,399,478,426,434,466,485,471,434,418,376
1943,r015,All technical fields -> Food chemistry,All technical fields,Food chemistry,2,486,588,567,473,352,316,336,264,257,249,228,252,237,301,392,420,364,425,314,367,418
1943,r016,"All technical fields -> Furniture, games",All technical fields,"Furniture, games",2,2846,2671,2504,2065,1956,1931,1716,1374,1480,1262,1081,1132,1432,1277,1296,1345,1442,1400,1288,1240,1171
1943,r017,All technical fields -> Handling,All technical fields,Handling,2,1909,1967,1760,1583,1408,1287,1033,966,1066,928,822,878,1018,1016,940,1068,995,873,834,780,812
1943,r018,All technical fields -> IT methods for management,All technical fields,IT methods for management,2,309,367,401,322,359,385,353,460,453,457,604,610,1143,1055,1302,1564,1509,1028,988,1304,1337
1943,r019,All technical fields -> Machine tools,All technical fields,Machine tools,2,1606,1695,1605,1514,1219,1265,1160,991,1161,943,666,699,939,986,1098,1169,1212,1033,822,765,623
1943,r020,"All technical fields -> Macromolecular chemistry, polymers",All technical fields,"Macromolecular chemistry, polymers",2,797,756,708,678,667,562,456,330,334,306,251,267,356,299,263,275,286,242,207,173,137
1943,r021,"All technical fields -> Materials, metallurgy",All technical fields,"Materials, metallurgy",2,662,607,539,531,504,465,421,315,321,270,230,261,333,289,286,260,277,287,245,243,236
1943,r022,All technical fields -> Measurement,All technical fields,Measurement,2,2901,2660,2626,2565,2603,2728,2528,2172,2551,2333,2299,2185,2335,2111,2143,2102,2200,2183,2189,2227,2080
1943,r023,All technical fields -> Mechanical elements,All technical fields,Mechanical elements,2,1665,1696,1683,1553,1471,1350,1247,1000,1110,864,750,789,960,916,1045,1168,1129,1271,1213,1303,1280
1943,r024,All technical fields -> Medical technology,All technical fields,Medical technology,2,3935,3558,3387,2944,2701,2876,2186,1759,1846,1632,1358,1588,2438,2359,2560,2582,2383,2262,2124,1991,1815
1943,r025,All technical fields -> Microstructural and nanotechnology,All technical fields,Microstructural and nanotechnology,2,17,24,38,51,61,96,98,74,38,20,22,19,29,42,52,81,127,135,117,92,52
1943,r026,All technical fields -> Optics,All technical fields,Optics,2,2117,2049,1925,1962,1901,2057,1977,1529,1595,1389,1263,1164,1280,1062,1026,984,980,913,876,804,745
1943,r027,All technical fields -> Organic fine chemistry,All technical fields,Organic fine chemistry,2,1210,1106,874,806,748,578,462,358,466,348,371,323,380,336,314,359,395,336,269,209,173
1943,r028,All technical fields -> Other consumer goods,All technical fields,Other consumer goods,2,1839,1947,1733,1532,1302,1139,1076,821,935,841,714,693,884,806,897,885,845,926,921,886,912
1943,r029,All technical fields -> Other special machines,All technical fields,Other special machines,2,2349,2241,2030,1928,1766,1800,1539,1195,1172,972,861,863,1219,1138,1113,1166,1233,1235,1187,1258,1184
1943,r030,All technical fields -> Pharmaceuticals,All technical fields,Pharmaceuticals,2,1286,1156,902,858,688,560,397,280,305,255,215,202,264,223,258,249,289,230,186,167,157
1943,r031,All technical fields -> Semiconductors,All technical fields,Semiconductors,2,1819,2241,2535,2759,2724,2657,2486,2059,2139,1929,1716,1782,2331,1954,1721,2034,2296,2311,2487,2314,1852
1943,r032,"All technical fields -> Surface technology, coating",All technical fields,"Surface technology, coating",2,803,833,815,829,797,767,689,578,595,601,587,602,830,761,772,781,675,570,500,449,395
