table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1982,r001,World,World,,,,1,224569,248766,275978,290983,320139,367006,414140,413663,451078,509288,528656,553930,575490,562131,575474,619593,652487
1982,r002,World -> North America,World,North America,,,2,89252,91431,94507,95245,101192,106027,117464,117624,119450,123505,125080,126329,130870,141518,145709,151072,155251
1982,r003,World -> North America -> Canada,World,North America,Canada,,3,2120,2560,2946,3370,3906,4473,4660,4471,4832,5556,5356,5553,5307,4539,3960,3798,3992
1982,r004,World -> North America -> Mexico,World,North America,Mexico,,3,1117,1252,1222,1388,1369,1477,1550,1401,1716,1757,1705,1311,1433,1335,1224,1310,1370
1982,r005,World -> North America -> United States,World,North America,United States,,3,86015,87619,90340,90487,95917,100077,111254,111752,112902,116192,118019,119465,124130,135644,140526,145964,149780
1982,r006,World -> Central and South America,World,Central and South America,,,2,7645,7520,9146,10525,12464,15509,18451,19685,22432,26742,30081,31854,30911,31160,27284,31430,30916
1982,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,1611,1803,2257,2707,3173,4019,4977,5032,5943,7133,7802,8339,7500,8786,7689,9147,7426
1982,r008,World -> Central and South America -> Bolivia,World,Central and South America,Bolivia,,3,70,68,69,68,73,82,96,111,120,132,152,168,179,196,215,231,248
1982,r009,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,316,280,375,554,790,1199,1436,1477,1725,2145,2171,1920,2091,1615,1626,2044,1871
1982,r010,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,1597,1580,2146,2176,2805,3320,3757,4061,4779,5994,6853,7431,6900,6387,6361,7044,7646
1982,r011,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,1456,1386,1707,2160,2372,3067,3536,3620,4462,4983,5625,5875,6197,4822,4537,5020,5317
1982,r012,World -> Central and South America -> Costa Rica,World,Central and South America,Costa Rica,,3,201,210,233,263,310,382,453,498,606,702,826,927,1036,1265,1334,1380,1421
1982,r013,World -> Central and South America -> Ecuador,World,Central and South America,Ecuador,,3,437,490,521,568,632,739,837,857,996,1170,1313,1519,1613,1605,1494,1565,1647
1982,r014,World -> Central and South America -> Honduras,World,Central and South America,Honduras,,3,46,51,56,59,57,61,65,82,95,83,83,87,85,76,77,82,87
1982,r015,World -> Central and South America -> Jamaica,World,Central and South America,Jamaica,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,r016,World -> Central and South America -> Panama,World,Central and South America,Panama,,3,264,282,303,320,355,366,414,476,535,591,643,732,776,830,882,959,1038
1982,r017,World -> Central and South America -> Peru,World,Central and South America,Peru,,3,473,464,503,543,610,721,918,969,1183,1356,1583,1727,1704,1620,1617,1756,1845
1982,r018,World -> Central and South America -> Uruguay,World,Central and South America,Uruguay,,3,283,216,225,286,323,388,516,589,778,935,1065,1224,1232,1168,1172,1350,1375
1982,r019,World -> Central and South America -> Venezuela,World,Central and South America,Venezuela,,3,890,690,751,821,962,1165,1447,1913,1210,1519,1963,1904,1599,2789,282,852,996
1982,r020,World -> Europe,World,Europe,,,2,72154,88152,101637,107134,116576,139045,155784,142794,151720,169357,166905,184002,184873,159055,163337,177739,190054
1982,r021,World -> Europe -> EU,World,Europe,EU,,3,62797,76748,87743,91631,97690,113827,124989,115267,117027,125782,121318,132015,138053,123638,126822,135109,147288
1982,r022,World -> Europe -> EU -> Austria,World,Europe,EU,Austria,4,323,467,524,569,470,602,921,873,820,1041,978,1312,1216,1212,1288,1439,1565
