table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_level_5,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1993,r001,Exports,Exports,,,,,1,,,,,,,,,,,,,,,,
1993,r002,Exports -> World,Exports,World,,,,2,1268387,1477389,1542953,1812750,2018112,2106540,1826576,2133621,2249934,2269028,2353796,2469996,2349035,2334901,2604145,2800423
1993,r003,Exports -> World -> North America,Exports,World,North America,,,3,231207,218725,231168,317614,333976,346145,252640,285833,290905,298060,297194,313346,311673,306651,311275,321486
1993,r004,Exports -> World -> North America -> Canada,Exports,World,North America,Canada,,4,20337,22170,25505,28745,31937,30528,27440,26498,27037,26329,25964,29207,29347,27570,25293,27744
1993,r005,Exports -> World -> North America -> Mexico,Exports,World,North America,Mexico,,4,32940,38137,40159,48736,49480,58868,51447,62979,62712,66611,66384,68653,66804,64711,69912,73211
1993,r006,Exports -> World -> North America -> United States,Exports,World,North America,United States,,4,177930,158418,165504,240133,252559,256749,173753,196355,201157,205121,204846,215487,215523,214371,216069,220531
1993,r007,Exports -> World -> Central and South America,Exports,World,Central and South America,,,3,6120,7576,9893,10903,11634,13589,11043,11338,12203,12179,11359,10364,10828,10426,10027,9124
1993,r008,Exports -> World -> Central and South America -> Brazil,Exports,World,Central and South America,Brazil,,4,4505,5808,7549,8103,8575,10156,7719,7804,7764,8218,7198,6638,6792,6835,6233,6283
1993,r009,Exports -> World -> Central and South America -> Other South America,Exports,World,Central and South America,Other South America,,4,1616,1768,2345,2800,3058,3433,3323,3534,4440,3961,4161,3727,4036,3590,3794,2841
1993,r010,Exports -> World -> Europe,Exports,World,Europe,,,3,488776,588260,640793,739452,767606,821228,732220,803190,864200,837346,866390,908232,835067,849655,914446,960986
1993,r011,Exports -> World -> Europe -> EU,Exports,World,Europe,EU,,4,456570,549704,601259,693357,714477,759261,671366,737897,788446,758517,783691,819009,749431,758428,821068,862083
1993,r012,Exports -> World -> Europe -> EU -> France,Exports,World,Europe,EU,France,5,61983,71149,75934,86679,88595,99345,90851,106076,112344,115901,119578,117675,107019,105994,107447,112677
1993,r013,Exports -> World -> Europe -> EU -> Germany,Exports,World,Europe,EU,Germany,5,98034,127932,138674,156498,172293,183643,162687,173643,189330,191112,195146,203446,192519,194286,212010,230931
1993,r014,Exports -> World -> Europe -> EU -> United Kingdom,Exports,World,Europe,EU,United Kingdom,5,57397,60644,74235,112630,60848,61499,45428,59819,61592,58446,55822,73962,76034,73618,75130,71833
1993,r015,Exports -> World -> Europe -> EU -> Other EU,Exports,World,Europe,EU,Other EU,5,239157,289978,312416,337550,392741,414774,372399,398359,425181,393059,413145,423927,373859,384529,426481,446642
1993,r016,Exports -> World -> Europe -> Other Europe,Exports,World,Europe,Other Europe,,4,32206,38557,39533,46095,53129,61967,60854,65292,75754,78828,82699,89223,85636,91227,93378,98903
1993,r017,Exports -> World -> Middle East,Exports,World,Middle East,,,3,9086,10740,13413,14350,14339,20926,23510,25403,25759,48166,58334,57475,33102,29333,49929,21871
1993,r018,Exports -> World -> Asia,Exports,World,Asia,,,3,529140,647350,642190,724610,883824,897330,800744,1000623,1048425,1064381,1112409,1172828,1151494,1131262,1310621,1478080
1993,r019,Exports -> World -> Asia -> China,Exports,World,Asia,China,,4,129496,181093,227748,277129,327571,365217,328397,421177,458396,475462,495444,535221,525420,503451,576704,647796
1993,r020,Exports -> World -> Asia -> India,Exports,World,Asia,India,,4,2952,3469,4003,4911,6438,9342,12831,12783,18529,18323,22944,22960,20270,20153,19382,21948
1993,r021,Exports -> World -> Asia -> Indonesia,Exports,World,Asia,Indonesia,,4,5759,6801,7034,6514,5732,6198,6673,8512,8662,8541,7478,7071,6330,5706,5952,6147
1993,r022,Exports -> World -> Asia -> Japan,Exports,World,Asia,Japan,,4,96957,109660,105526,107769,112405,112980,88527,102957,98389,94124,81787,77953,72776,73026,78516,79804
1993,r023,Exports -> World -> Asia -> Malaysia,Exports,World,Asia,Malaysia,,4,50156,56738,60860,68538,69630,48969,58751,68406,67787,63824,64476,67322,61005,59697,71811,87743
1993,r024,Exports -> World -> Asia -> Philippines,Exports,World,Asia,Philippines,,4,23883,24231,24169,26423,29221,25984,20465,15958,13197,19024,20795,23540,26307,26235,26168,27606
1993,r025,Exports -> World -> Asia -> Singapore,Exports,World,Asia,Singapore,,4,79089,95010,39897,45888,129953,130023,106690,138152,136503,136544,142357,140964,133603,126778,135407,141086
