table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2075,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['42,704', '  ']","['36,081', '  ']","['1,727', 'i ']","['3,444', '  ']","['88', 'i ']","['10', '  ']","['498', '  ']","['588', '  ']","['267', '  ']"
2075,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['39,185', '  ']","['33,218', '  ']","['1,704', 'i ']","['3,086', '  ']","['65', 'i ']","['3', '  ']","['422', '  ']","['465', '  ']","['220', '  ']"
2075,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['150', '  ']","['119', '  ']","['0', '  ']","['11', '  ']","['0', '  ']","['0', '  ']","['8', '  ']","['8', '  ']","['4', '  ']"
2075,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['218', '  ']","['170', '  ']","['0', '  ']","['39', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['5', '  ']","['*', 'i ']"
2075,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['22', '  ']","['21', '  ']","['0', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0 - 2', 'i ']","['0 - 2', 'i ']"
2075,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['9', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0 - 2', '  ']","['*', '  ']","['0 - 2', '  ']","['*', '  ']","['0', '  ']"
2075,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['42', '  ']","['39', '  ']","['*', 'i ']","['1', 'i ']","['0', '  ']","['0', '  ']","['1', '  ']","['0 - 3', '  ']","['0 - 3', '  ']"
2075,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4', '  ']","['4', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']"
2075,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['63', '  ']","['33', '  ']","['*', 'i ']","['2', '  ']","['*', 'i ']","['0', '  ']","['1', '  ']","['26', '  ']","['2', '  ']"
2075,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['31,294', '  ']","['27,809', '  ']","['223', '  ']","['2,606', '  ']","['4', '  ']","['*', 'i ']","['237', '  ']","['250', '  ']","['164', '  ']"
2075,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['77 - 90', '  ']","['63', '  ']","['*', 'i ']","['6', '  ']","['0', '  ']","['0', '  ']","['5', 'i ']","['0 - 10', 'i ']","['5', 'i ']"
2075,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['17', '  ']","['12', '  ']","['*', 'i ']","['1', 'i ']","['0', '  ']","['0', '  ']","['1', '  ']","['3', '  ']","['*', '  ']"
2075,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['116', '  ']","['90', 'i ']","['1', 'i ']","['12', 'i ']","['*', 'i ']","['*', 'i ']","['10', 'i ']","['0 - 6', 'i ']","['0 - 4', 'i ']"
2075,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['30,755', '  ']","['27,361', '  ']","['216', '  ']","['2,572', '  ']","['4', '  ']","['*', 'i ']","['215', '  ']","['231', '  ']","['154', '  ']"
2075,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['264', '  ']","['247', '  ']","['*', 'i ']","['5', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['8', '  ']","['3', '  ']"
2075,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals ",,4,"3255, 3259","['55 - 68', '  ']","['36', '  ']","['5', 'i ']","['10', 'i ']","['*', 'i ']","['*', '  ']","['6', 'i ']","['0 - 10', 'i ']","['0 - 4', 'i ']"
2075,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['160', '  ']","['86', '  ']","['17', 'i ']","['27', '  ']","['0 - 7', '  ']","['1', '  ']","['16', '  ']","['10', '  ']","['0 - 7', '  ']"
2075,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['19', '  ']","['14', '  ']","['*', 'i ']","['3', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', '  ']","['2', 'i ']"
2075,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['54', '  ']","['50', '  ']","['1', 'i ']","['*', 'i ']","['0 - 4', '  ']","['0', '  ']","['1', 'i ']","['0 - 4', 'i ']","['*', 'i ']"
2075,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['91', '  ']","['78', '  ']","['3', 'i ']","['3', 'i ']","['*', 'i ']","['*', 'i ']","['1', 'i ']","['3', 'i ']","['2', '  ']"
2075,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['482', '  ']","['417', '  ']","['10', 'i ']","['37', '  ']","['*', '  ']","['*', 'i ']","['7', 'i ']","['0 - 14', '  ']","['0 - 14', '  ']"
2075,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement ,All industries,Manufacturing industries,Machinery,Agricultural implement ,,4,33311,"['176 - 193', '  ']","['170', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['5', 'i ']","['0', '  ']","['0 - 14', '  ']"
2075,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['0 - 22', '  ']","['1', '  ']","['0', '  ']","['0 - 21', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']"
2075,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment ",,4,3336,"['51 - 69', '  ']","['49', 'i ']","['*', 'i ']","['3', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0 - 14', '  ']","['*', 'i ']"
2075,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['215 - 254', '  ']","['197', '  ']","['10', 'i ']","['8 - 33', '  ']","['*', '  ']","['*', 'i ']","['1', 'i ']","['0 - 14', 'i ']","['*', 'i ']"
2075,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,886', '  ']","['1,044', '  ']","['541', 'i ']","['138', '  ']","['0 - 20', '  ']","['*', 'i ']","['72', '  ']","['74', 'i ']","['0 - 20', 'i ']"
2075,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['754', 'i ']","['181', '  ']","['485 - 541', 'i ']","['32', '  ']","['*', 'i ']","['*', 'i ']","['2', 'i ']","['0 - 32', 'i ']","['0 - 20', 'i ']"
2075,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['394', '  ']","['331', '  ']","['0 - 21', 'i ']","['42', '  ']","['0 - 20', '  ']","['0', '  ']","['2', '  ']","['0 - 21', 'i ']","['0', '  ']"
2075,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['345', '  ']","['278', '  ']","['*', 'i ']","['24', '  ']","['*', 'i ']","['0', '  ']","['0 - 2', '  ']","['43', '  ']","['0 - 2', 'i ']"
