table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2097,r001,All business activities,All business activities,,1,21100–81000,"['3,180,177', '&nbsp;']","['2,773,429', '&nbsp;']","['3,373,035', '&nbsp;']","['3,814,885', '&nbsp;']","['3,715,718', '&nbsp;']","['3,615,226', '&nbsp;']","['3,624,553', '&nbsp;']","['3,116,806', '  ']","['3,095,167', '  ']","['3,265,314', '  ']"
2097,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['143,705', '&nbsp;']","['92,357', '&nbsp;']","['126,671', '&nbsp;']","['152,394', '&nbsp;']","['147,415', '&nbsp;']","['130,389', '&nbsp;']","['116,693', '&nbsp;']","['70,302', '  ']","['59,489', '  ']","['57,250', '  ']"
2097,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['5,230', '&nbsp;']","['19,552', '&nbsp;']","['19,020', '&nbsp;']","['16,261', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['10,528', '  ']","['5,376', '  ']"
2097,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['22,162', '&nbsp;']","['26,223', '&nbsp;']","['25,878', '&nbsp;']","['28,461', '&nbsp;']","['27,621', '&nbsp;']","['32,686', '&nbsp;']","['26,711', 'i ']","['18,880', '  ']","['23,277', 'i ']"
2097,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['D', '&nbsp;']","['9,155', '&nbsp;']","['10,892', '&nbsp;']","['9,320', '&nbsp;']","['8,068', '&nbsp;']","['8,229', '&nbsp;']","['10,468', '  ']","['4,473', '  ']","['6,686', '  ']"
2097,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['15,107', '&nbsp;']","['11,664', '&nbsp;']","['18,660', '&nbsp;']","['43,283', '&nbsp;']","['33,541', '&nbsp;']","['24,672', '&nbsp;']","['14,571', '  ']","['6,703', '  ']","['5,318', '  ']"
2097,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['81,184', '&nbsp;']","['127,453', '&nbsp;']","['193,432', '&nbsp;']","['196,015', '&nbsp;']","['184,889', '&nbsp;']","['247,871', '&nbsp;']","['235,909', '&nbsp;']","['202,761', '  ']","['184,474', '  ']","['173,798', '  ']"
2097,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['59,317', '&nbsp;']","['50,655', '&nbsp;']","['56,495', '&nbsp;']","['84,916', '&nbsp;']","['83,229', '&nbsp;']","['57,690', '&nbsp;']","['57,147', '&nbsp;']","['D', '  ']","['44,029', '  ']","['53,163', '  ']"
2097,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['290', '&nbsp;']","['102,541', '&nbsp;']","['102,636', '&nbsp;']","['111,353', '&nbsp;']","['103,052', '&nbsp;']","['33,327', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['30,782', '  ']","['36,458', '  ']"
2097,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['10,239', '&nbsp;']","['11,625', '&nbsp;']","['13,883', '&nbsp;']","['20,542', '&nbsp;']","['15,193', '&nbsp;']","['15,014', '&nbsp;']","['13,065', '  ']","['20,278', '  ']","['18,411', 'i ']"
