table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
2113,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['87,528', '  ']","['437', '  ']","['5,375', '  ']","['724', '  ']","['2,230', '  ']","['378', '  ']","['636', '  ']","['549', '  ']","['3,227', '  ']","['8,511', '  ']","['216', '  ']","['3,302', '  ']","['1,291', '  ']","['205', '  ']","['1,775', '  ']","['447', '  ']","['767', '  ']","['380', '  ']","['864', '  ']","['1,312', '  ']","['3,703', '  ']","['98', '  ']","['10,487', '  ']","['1,933', '  ']"
2113,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['57,270', '  ']","['418', '  ']","['2,962', '  ']","['641', '  ']","['1,915', '  ']","['158', '  ']","['484', '  ']","['341', '  ']","['2,246', '  ']","['6,948', '  ']","['81', '  ']","['1,617', '  ']","['1,013', '  ']","['190', '  ']","['1,205', '  ']","['362', '  ']","['467', '  ']","['202', '  ']","['549', '  ']","['684', '  ']","['2,494', '  ']","['58', '  ']","['5,544', '  ']","['973', '  ']"
2113,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['865', '  ']","['0', '  ']","['33', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['43', '  ']","['45', '  ']","['*', '  ']","['1', '  ']","['6', '  ']","['0', '  ']","['21', '  ']","['21', '  ']","['11', '  ']","['2', '  ']","['3', '  ']","['2', '  ']","['11', '  ']","['1', '  ']","['73', '  ']","['51', '  ']"
2113,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['14,450', '  ']","['75', '  ']","['522', '  ']","['409', '  ']","['1,588', '  ']","['35', '  ']","['104', '  ']","['41', '  ']","['558', '  ']","['958', '  ']","['27', '  ']","['829', '  ']","['214', '  ']","['164', '  ']","['511', '  ']","['38', '  ']","['84', '  ']","['73', '  ']","['213', '  ']","['170', '  ']","['1,275', '  ']","['42', '  ']","['2,059', '  ']","['440', '  ']"
2113,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,976', '  ']","['33', '  ']","['456', '  ']","['405', '  ']","['1,444', '  ']","['32', '  ']","['93', '  ']","['35', '  ']","['429', '  ']","['565', '  ']","['24', '  ']","['827', '  ']","['196', '  ']","['3', '  ']","['316', '  ']","['34', '  ']","['76', '  ']","['65', '  ']","['194', '  ']","['166', '  ']","['1,208', '  ']","['37', '  ']","['1,808', '  ']","['394', '  ']"
2113,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,474', '  ']","['41', '  ']","['67', '  ']","['4', '  ']","['144', '  ']","['3', '  ']","['11', '  ']","['6', '  ']","['129', '  ']","['394', '  ']","['3', '  ']","['2', '  ']","['18', '  ']","['161', '  ']","['194', '  ']","['3', '  ']","['9', '  ']","['7', '  ']","['19', '  ']","['4', '  ']","['67', '  ']","['5', '  ']","['251', '  ']","['46', '  ']"
2113,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['902', '  ']","['0 - 34', '  ']","['41', '  ']","['1', '  ']","['25', '  ']","['1', '  ']","['2', '  ']","['2', '  ']","['53', '  ']","['142', '  ']","['4', '  ']","['2', '  ']","['30', '  ']","['2', '  ']","['38', '  ']","['0', '  ']","['4', '  ']","['2', '  ']","['23', '  ']","['2', '  ']","['49', '  ']","['0', '  ']","['27', '  ']","['6', '  ']"
2113,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['181', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['2', '  ']","['*', '  ']","['1', 'i ']","['0', '  ']","['12', 'i ']","['22', 'i ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', 'i ']","['3', 'i ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['2', '  ']"
2113,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['166', '  ']","['0', '  ']","['7', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['23', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['10', '  ']","['0', '  ']","['43', '  ']","['*', '  ']"
2113,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,266', '  ']","['0', '  ']","['100', '  ']","['53', '  ']","['33', '  ']","['8', '  ']","['24', '  ']","['73', 'i ']","['208', '  ']","['630', '  ']","['1', '  ']","['12', '  ']","['77', '  ']","['0', '  ']","['68', '  ']","['109', 'i ']","['15', '  ']","['2', '  ']","['22', '  ']","['91', '  ']","['112', '  ']","['*', '  ']","['286', '  ']","['40', '  ']"
2113,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['22,648', '  ']","['263 - 344', '  ']","['1,546', '  ']","['102', '  ']","['115', '  ']","['81', '  ']","['259', '  ']","['183', '  ']","['600', '  ']","['1,969', '  ']","['14', '  ']","['571', '  ']","['213', '  ']","['15', '  ']","['209', '  ']","['162', '  ']","['208', '  ']","['72', '  ']","['166', '  ']","['234', '  ']","['392', '  ']","['1', '  ']","['1,497', '  ']","['237', '  ']"
2113,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,867', '  ']","['0', '  ']","['262', 'i ']","['30', 'i ']","['11', '  ']","['1', '  ']","['0', '  ']","['4', 'i ']","['55', '  ']","['263', '  ']","['3', 'i ']","['0', '  ']","['106', '  ']","['0', '  ']","['23', 'i ']","['11', '  ']","['26', '  ']","['5', '  ']","['5', '  ']","['*', '  ']","['68', '  ']","['3', '  ']","['126', 'i ']","['62', 'i ']"
