table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_alabama,field_alaska,field_arizona,field_arkansas,field_california,field_colorado,field_connecticut,field_delaware,field_district_of_columbia,field_florida,field_georgia,field_hawaii,field_idaho,field_illinois,field_indiana,field_iowa,field_kansas,field_kentucky,field_louisiana,field_maine,field_maryland,field_massachusetts,field_michigan,field_minnesota,field_mississippi,field_missouri,field_montana
2114,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['19,514', '  ']","['339,036', '  ']","['968', '  ']","['905', '  ']","['4,476', '  ']","['442', '  ']","['120,111', '  ']","['3,828', '  ']","['6,423', '  ']","['1,445', 'i ']","['279', '  ']","['4,496', '  ']","['5,085', '  ']","['105', '  ']","['1,527', '  ']","['12,743', '  ']","['5,394', '  ']","['2,195', '  ']","['1,486', '  ']","['758', '  ']","['243', '  ']","['257', '  ']","['3,106', '  ']","['18,912', '  ']","['19,101', '  ']","['6,633', '  ']","['221', '  ']","['3,433', '  ']","['114', '  ']"
2114,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['11,581', '  ']","['216,155', '  ']","['533', '  ']","['4', 'e ']","['3,249', '  ']","['276', '  ']","['63,215', '  ']","['2,499', '  ']","['5,891', '  ']","['1,336', 'i ']","['53', '  ']","['2,426', '  ']","['2,864', '  ']","['74', 'i ']","['1,483', '  ']","['9,999', '  ']","['5,104', '  ']","['1,982', '  ']","['1,096', '  ']","['642', '  ']","['146', '  ']","['204', '  ']","['2,195', '  ']","['14,249', '  ']","['18,237', '  ']","['5,730', '  ']","['176', '  ']","['2,593', '  ']","['58', '  ']"
2114,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['554', '  ']","['4,453', 'i ']","['6', '  ']","['1', 'e ']","['4', '  ']","['55', '  ']","['180', '  ']","['33', '  ']","['29', '  ']","['757', 'i ']","['*', 'e ']","['17', '  ']","['31', '  ']","['1', 'e ']","['60', '  ']","['773', 'i ']","['82', '  ']","['778', 'i ']","['22', '  ']","['26', '  ']","['4', '  ']","['3', '  ']","['58', '  ']","['14', '  ']","['157', '  ']","['356', '  ']","['2', 'e ']","['22', '  ']","['1', '  ']"
2114,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['70', '  ']","['968', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['58', '  ']","['12', '  ']","['3', '  ']","['*', 'e ']","['*', 'e ']","['15', '  ']","['127', '  ']","['*', 'e ']","['*', 'e ']","['109', '  ']","['*', 'e ']","['*', 'e ']","['5', '  ']","['13', '  ']","['*', 'e ']","['*', 'e ']","['3', '  ']","['2', '  ']","['3', '  ']","['*', 'e ']","['*', 'e ']","['1', 'i ']","['*', 'e ']"
2114,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['219', '  ']","['919', '  ']","['6', '  ']","['*', 'e ']","['*', 'e ']","['4', '  ']","['283', '  ']","['10', '  ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['15', '  ']","['95', '  ']","['*', 'e ']","['1', 'i ']","['8', '  ']","['*', 'e ']","['*', 'e ']","['*', 'i ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['*', 'e ']","['77', '  ']","['12', '  ']","['14', '  ']","['*', 'e ']","['2', 'i ']","['1', '  ']"
2114,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['75', '  ']","['170', '  ']","['1', '  ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['18', '  ']","['1', '  ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['*', '  ']","['7', '  ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['1', 'i ']","['11', '  ']","['*', '  ']","['*', 'e ']","['1', '  ']","['*', 'e ']","['*', 'e ']","['4', '  ']","['*', 'e ']","['45', '  ']","['1', '  ']","['*', 'e ']","['*', 'e ']"
2114,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['89', '  ']","['1,292', '  ']","['1', '  ']","['0', '  ']","['2', '  ']","['82', '  ']","['40', '  ']","['*', '  ']","['3', '  ']","['9', '  ']","['0', '  ']","['2', '  ']","['226', '  ']","['0', '  ']","['*', 'e ']","['97', '  ']","['1', 'i ']","['2', '  ']","['10', '  ']","['21', '  ']","['1', '  ']","['11', '  ']","['7', '  ']","['24', '  ']","['89', '  ']","['9', '  ']","['*', '  ']","['1', '  ']","['*', 'e ']"
2114,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['156', '  ']","['218', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', '  ']","['46', 'i ']","['7', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['2', '  ']","['*', 'e ']","['*', 'e ']","['5', 'i ']","['1', '  ']","['2', 'i ']","['*', 'e ']","['6', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['3', 'i ']","['4', '  ']","['9', 'i ']","['*', 'e ']","['8', '  ']","['*', 'e ']"
2114,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['64', '  ']","['301', '  ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['*', 'e ']","['25', '  ']","['2', '  ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['*', 'e ']","['38', '  ']","['33', '  ']","['0', '  ']","['4', '  ']","['17', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'i ']","['3', '  ']","['1', '  ']","['3', '  ']","['0', '  ']"
2114,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,730', '  ']","['63,285', '  ']","['114', '  ']","['*', 'e ']","['143', '  ']","['42', '  ']","['13,634', '  ']","['181', '  ']","['4,011', '  ']","['448', '  ']","['30', '  ']","['583', '  ']","['272', '  ']","['42', 'i ']","['20', '  ']","['4,477', 'i ']","['2,436', '  ']","['188', '  ']","['156', '  ']","['287', '  ']","['26', '  ']","['12', '  ']","['1,071', '  ']","['8,435', '  ']","['664', '  ']","['367', '  ']","['31', '  ']","['1,580', '  ']","['8', '  ']"
2114,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['253', '  ']","['2,393', '  ']","['2', 'e ']","['0', '  ']","['3', 'e ']","['7', '  ']","['105', '  ']","['9', '  ']","['79', '  ']","['136', '  ']","['0', '  ']","['36', '  ']","['26', '  ']","['0', '  ']","['*', 'e ']","['68', '  ']","['13', '  ']","['65', '  ']","['3', 'e ']","['17', '  ']","['11', 'e ']","['*', 'e ']","['51', '  ']","['95', '  ']","['37', '  ']","['2', '  ']","['6', '  ']","['16', '  ']","['*', 'e ']"
2114,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['125', '  ']","['612', '  ']","['1', 'e ']","['0', '  ']","['*', 'e ']","['*', '  ']","['14', '  ']","['*', 'e ']","['*', 'e ']","['0 - 27', '  ']","['0', '  ']","['1', '  ']","['23', '  ']","['0', '  ']","['*', 'e ']","['12', '  ']","['4', '  ']","['4', '  ']","['*', '  ']","['19', '  ']","['9', '  ']","['4', '  ']","['*', '  ']","['7', '  ']","['6', '  ']","['7', '  ']","['1', '  ']","['*', '  ']","['0', '  ']"
2114,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['60', '  ']","['1,092', '  ']","['1', '  ']","['*', 'e ']","['5', 'i ']","['2', 'i ']","['51', '  ']","['9', 'i ']","['*', 'e ']","['19', '  ']","['1', 'i ']","['4', '  ']","['6', '  ']","['0 - 43', 'i ']","['3', '  ']","['49', 'i ']","['8', 'i ']","['48', 'i ']","['5', 'i ']","['*', '  ']","['1', 'e ']","['*', 'e ']","['2', 'i ']","['7', 'i ']","['2', '  ']","['44', '  ']","['14', 'i ']","['471 - 648', 'i ']","['2', 'i ']"
2114,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['755', '  ']","['55,229', '  ']","['106', '  ']","['*', '  ']","['119', '  ']","['30', '  ']","['13,202', '  ']","['159', '  ']","['3,867', '  ']","['263 - 295', '  ']","['29', '  ']","['519', '  ']","['200', '  ']","['0 - 43', 'e ']","['12', '  ']","['4,126', 'i ']","['2,300 - 2,413', '  ']","['56', '  ']","['72', '  ']","['43', '  ']","['5', '  ']","['7', '  ']","['1,016', 'i ']","['8,211', '  ']","['493', '  ']","['182', '  ']","['9', '  ']","['912', '  ']","['4', '  ']"
2114,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['223', '  ']","['2,488', '  ']","['*', 'e ']","['0', '  ']","['1', 'e ']","['2', '  ']","['172', '  ']","['1', 'e ']","['2', 'e ']","['*', 'e ']","['0', '  ']","['14', '  ']","['11', '  ']","['*', 'e ']","['4', '  ']","['95', '  ']","['1', 'e ']","['1', 'e ']","['0 - 78', 'i ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['1', '  ']","['77', '  ']","['66', '  ']","['101', '  ']","['*', 'e ']","['6', '  ']","['*', 'e ']"
2114,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['315', '  ']","['1,471', '  ']","['5', '  ']","['*', 'e ']","['16', '  ']","['1', 'e ']","['91', '  ']","['2', '  ']","['62', '  ']","['*', 'e ']","['0', '  ']","['10', '  ']","['6', 'i ']","['0', '  ']","['*', 'e ']","['127', '  ']","['0 - 112', '  ']","['15', '  ']","['0 - 78', '  ']","['208', '  ']","['1', '  ']","['*', 'e ']","['1', 'e ']","['37', '  ']","['61', '  ']","['30', '  ']","['*', '  ']","['0 - 177', 'i ']","['1', '  ']"
2114,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['624', '  ']","['3,637', '  ']","['13', '  ']","['*', 'e ']","['224', '  ']","['7', '  ']","['127', '  ']","['61', '  ']","['41', '  ']","['34', '  ']","['0', '  ']","['41', '  ']","['17', '  ']","['13', '  ']","['2', 'i ']","['83', '  ']","['363', '  ']","['23', '  ']","['10', '  ']","['47', '  ']","['36', 'i ']","['1', 'e ']","['102', '  ']","['101', '  ']","['549', '  ']","['81', '  ']","['5', 'e ']","['16', '  ']","['1', 'i ']"
2114,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['175', '  ']","['1,303', '  ']","['4', '  ']","['*', 'e ']","['3', 'i ']","['*', 'e ']","['30', '  ']","['38', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['4', '  ']","['10', '  ']","['*', 'e ']","['*', 'e ']","['37', '  ']","['14', '  ']","['1', 'e ']","['1', '  ']","['1', '  ']","['1', 'e ']","['1', 'i ']","['*', 'e ']","['9', '  ']","['9', '  ']","['5', '  ']","['2', '  ']","['3', '  ']","['*', 'e ']"
