table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_othera
2469,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,2426882959,136395698,323154258,452269973,1082056223,260024511,172982296
2469,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,19763230,0,255807,9403795,1080000,3601526,5422102
2469,r003,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,2500000,0,0,0,1000000,0,1500000
2469,r004,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of: Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of: Wildlife and Freshwater Fisheries Division",3,2908673,0,0,2908673,0,0,0
2469,r005,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,610000,0,0,0,80000,0,530000
2469,r006,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,238454,0,0,0,0,0,238454
2469,r007,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,2321007,0,255807,2065200,0,0,0
2469,r008,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,4373500,0,0,4373500,0,0,0
2469,r009,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,3153648,0,0,0,0,0,3153648
2469,r010,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,3657948,0,0,56422,0,3601526,0
2469,r011,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,12502109,0,1102206,8392100,320476,2687327,0
2469,r012,United States<sup>b</sup> -> Alaska -> Energy Authority,United States<sup>b</sup>,Alaska,Energy Authority,3,102206,0,102206,0,0,0,0
2469,r013,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,320476,0,0,0,320476,0,0
2469,r014,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,1000000,0,1000000,0,0,0,0
2469,r015,"United States<sup>b</sup> -> Alaska -> Natural Resources, Division of Geological and Geophysical Surveys, Department of",United States<sup>b</sup>,Alaska,"Natural Resources, Division of Geological and Geophysical Surveys, Department of",3,8392100,0,0,8392100,0,0,0
2469,r016,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,1330621,0,0,0,0,1330621,0
2469,r017,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,1356706,0,0,0,0,1356706,0
2469,r018,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,17332044,1054913,0,1077891,13843058,1356182,0
2469,r019,"United States<sup>b</sup> -> Arizona -> Agriculture, Department of",United States<sup>b</sup>,Arizona,"Agriculture, Department of",3,1176374,1054913,0,121461,0,0,0
2469,r020,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,811096,0,0,811096,0,0,0
2469,r021,"United States<sup>b</sup> -> Arizona -> Health Services, Department of",United States<sup>b</sup>,Arizona,"Health Services, Department of",3,13843058,0,0,0,13843058,0,0
2469,r022,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,1501516,0,0,145334,0,1356182,0
2469,r023,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,21098863,12519460,852718,2426103,3477448,855437,967697
