table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
2474,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,676171326,283610819,339735283,18352623,8559607,22107674,3805320
2474,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,7412961,2697147,2359216,2328636,27962,0,0
2474,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,8920501,2475004,5703797,741700,0,0,0
2474,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,761096,760636,460,0,0,0,0
2474,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,66099,51999,14100,0,0,0,0
2474,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,73081146,6019861,67042255,0,0,0,19030
2474,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,11900858,4674314,7052168,0,99315,75061,0
2474,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,24679641,10689947,13989694,0,0,0,0
2474,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,2558634,575433,1958945,0,24256,0,0
2474,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,1888642,757291,1131351,0,0,0,0
2474,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,50604692,12525320,31635688,7724,207106,6113213,115641
2474,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,3539835,3228702,311133,0,0,0,0
2474,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,257625,257625,0,0,0,0,0
2474,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,6709727,5580116,1117876,0,0,11735,0
2474,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,1171225,0,1171225,0,0,0,0
2474,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,167703,134162,33541,0,0,0,0
2474,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3279267,1718515,1552564,1688,6500,0,0
2474,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,998463,798177,200286,0,0,0,0
2474,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,2038186,1144522,776664,50000,67000,0,0
2474,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10974134,7990075,2984059,0,0,0,0
2474,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,3051263,2226630,824633,0,0,0,0
2474,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,989368,548991,332377,0,10000,0,98000
2474,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,8798238,5365481,3432757,0,0,0,0
2474,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,336227,0,336227,0,0,0,0
2474,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2027757,1982257,45500,0,0,0,0
2474,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,1755759,1238192,456634,57865,3068,0,0
2474,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,8242424,2234924,6007500,0,0,0,0
2474,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,2993604,2030976,731646,0,215982,0,15000
2474,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,770104,559157,210947,0,0,0,0
2474,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,184774,124774,60000,0,0,0,0
2474,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,131672,105338,26334,0,0,0,0
2474,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,2796233,529728,2056979,0,0,91245,118281
2474,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,900212,556570,326642,0,17000,0,0
2474,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,276773893,133841304,103928744,12173840,7767253,15711133,3351619
2474,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,18400435,1305723,17094712,0,0,0,0
2474,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,421989,62006,359983,0,0,0,0
2474,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,18343328,340452,18002876,0,0,0,0
2474,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,1685458,1232184,439274,14000,0,0,0
2474,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,24761784,15053295,9426605,281884,0,0,0
2474,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,8579205,5523525,2926816,85000,39068,3056,1740
2474,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,2767111,1611698,1155413,0,0,0,0
