table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_hierarchy_depth,field_all_federal_r_d_expenditures
2516,r001,All FFRDCs,All FFRDCs,,1,22338855
2516,r002,All FFRDCs -> Agency for International Development,All FFRDCs,Agency for International Development,2,5854
2516,r003,All FFRDCs -> Central Intelligence Agency,All FFRDCs,Central Intelligence Agency,2,1401
2516,r004,All FFRDCs -> Consumer Financial Protection Bureau,All FFRDCs,Consumer Financial Protection Bureau,2,197
2516,r005,All FFRDCs -> Department of Agriculture,All FFRDCs,Department of Agriculture,2,4454
2516,r006,All FFRDCs -> Department of Commerce,All FFRDCs,Department of Commerce,2,91371
2516,r007,All FFRDCs -> Department of Defense,All FFRDCs,Department of Defense,2,5039345
2516,r008,All FFRDCs -> Department of Energy,All FFRDCs,Department of Energy,2,11417801
2516,r009,All FFRDCs -> Department of Health and Human Services,All FFRDCs,Department of Health and Human Services,2,1041189
2516,r010,All FFRDCs -> Department of Homeland Security,All FFRDCs,Department of Homeland Security,2,511475
2516,r011,All FFRDCs -> Department of Justice,All FFRDCs,Department of Justice,2,25380
2516,r012,All FFRDCs -> Department of State,All FFRDCs,Department of State,2,68158
2516,r013,All FFRDCs -> Department of the Interior,All FFRDCs,Department of the Interior,2,9301
2516,r014,All FFRDCs -> Department of the Treasury,All FFRDCs,Department of the Treasury,2,99091
2516,r015,All FFRDCs -> Department of Transportation,All FFRDCs,Department of Transportation,2,200993
2516,r016,All FFRDCs -> Department of Veterans Affairs,All FFRDCs,Department of Veterans Affairs,2,88437
2516,r017,All FFRDCs -> Environmental Protection Agency,All FFRDCs,Environmental Protection Agency,2,4848
2516,r018,All FFRDCs -> Federal Deposit Insurance Corporation,All FFRDCs,Federal Deposit Insurance Corporation,2,99
2516,r019,All FFRDCs -> General Services Administration,All FFRDCs,General Services Administration,2,1896
2516,r020,All FFRDCs -> Library of Congress,All FFRDCs,Library of Congress,2,117
2516,r021,All FFRDCs -> National Aeronautics and Space Administration,All FFRDCs,National Aeronautics and Space Administration,2,2889883
2516,r022,All FFRDCs -> National Credit Union Administration,All FFRDCs,National Credit Union Administration,2,464
2516,r023,All FFRDCs -> National Science Foundation,All FFRDCs,National Science Foundation,2,288256
2516,r024,All FFRDCs -> National Transportation Safety Board,All FFRDCs,National Transportation Safety Board,2,2
2516,r025,All FFRDCs -> Nuclear Regulatory Commission,All FFRDCs,Nuclear Regulatory Commission,2,44044
2516,r026,All FFRDCs -> Office of the Director of National Intelligence,All FFRDCs,Office of the Director of National Intelligence,2,18353
2516,r027,All FFRDCs -> Smithsonian Institution,All FFRDCs,Smithsonian Institution,2,29
2516,r028,All FFRDCs -> U.S. Postal Service,All FFRDCs,U.S. Postal Service,2,2152
2516,r029,All FFRDCs -> United States Courts,All FFRDCs,United States Courts,2,7331
2516,r030,All FFRDCs -> Other agencies not listed,All FFRDCs,Other agencies not listed,2,476934
