table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
2564,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    3,129,946 ', '&#160;']","['    2,539,152 ', '&#160;']","['    100,877 ', '&#160;']","['    72,625 ', '&#160;']","['    26,530 ', '&#160;']","['    6,649 ', '&#160;']","['    5,533 ', '&#160;']","['    355,263 ', '&#160;']","['    7,915 ', '&#160;']","['    15,403 ', '&#160;']"
2564,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    280,177 ', '&#160;']","['    244,626 ', '&#160;']","['    6,570 ', 'r']","['    5,619 ', 'r']","['S', '&#160;']","['    351 ', 'r']","['    0 ', '&#160;']","['    22,344 ', '&#160;']","['    522 ', 'r']","['S', '&#160;']"
2564,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    2,735 ', 'r']","['    2,735 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['S', '&#160;']","['S', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['S', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['S', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    39,030 ', '&#160;']","['    31,302 ', '&#160;']","['    1,793 ', 'r']","['    5,212 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    723 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    13,717 ', '&#160;']","['    12,815 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['S', '&#160;']","['S', '&#160;']","['    0 ', '&#160;']","['    827 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
