table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
2565,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    6,655,717 ', '&nbsp;']","['    921,124 ', '&nbsp;']","['    2,230,773 ', '&nbsp;']","['    3,503,820 ', '&nbsp;']"
2565,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    751,892 ', '&nbsp;']","['    73,593 ', '&nbsp;']","['    267,708 ', '&nbsp;']","['    410,590 ', '&nbsp;']"
2565,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    10,136 ', '&nbsp;']","['    1,794 ', 'r']","['    5,297 ', '&nbsp;']","['    3,045 ', 'r']"
2565,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    2,225 ', 'r']","['    0 ', '&nbsp;']","['    1,779 ', 'r']","['    447 ', 'r']"
2565,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2565,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2565,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2565,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2565,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    103,345 ', '&nbsp;']","['    6,883 ', '&nbsp;']","['    34,723 ', '&nbsp;']","['    61,740 ', 'r']"
2565,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    89,130 ', '&nbsp;']","['    9,823 ', '&nbsp;']","['    49,709 ', '&nbsp;']","['    29,598 ', '&nbsp;']"
2565,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    9,654 ', 'r']","['    765 ', '&nbsp;']","['    6,118 ', 'r']","['    2,771 ', '&nbsp;']"
2565,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    1,836 ', 'r']","['    122 ', '&nbsp;']","['    490 ', 'r']","['    1,224 ', 'r']"
2565,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    1,080 ', 'r']","['    0 ', '&nbsp;']","['    216 ', 'r']","['    864 ', 'r']"
2565,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    4,414 ', '&nbsp;']","['    423 ', 'r']","['    1,553 ', 'r']","['    2,439 ', 'r']"
2565,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    49,607 ', '&nbsp;']","['    9,640 ', '&nbsp;']","['    16,822 ', '&nbsp;']","['    23,145 ', '&nbsp;']"
2565,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    344,800 ', '&nbsp;']","['    31,870 ', '&nbsp;']","['    103,539 ', '&nbsp;']","['    209,391 ', '&nbsp;']"
2565,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    40,142 ', '&nbsp;']","['    3,131 ', '&nbsp;']","['    20,152 ', '&nbsp;']","['    16,859 ', '&nbsp;']"
2565,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    14,281 ', '&nbsp;']","['    2,097 ', '&nbsp;']","['    3,792 ', '&nbsp;']","['    8,392 ', '&nbsp;']"
2565,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2565,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    80,481 ', '&nbsp;']","['    6,932 ', '&nbsp;']","['    23,442 ', '&nbsp;']","['    50,107 ', '&nbsp;']"
2565,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    5,903,825 ', '&nbsp;']","['    847,531 ', '&nbsp;']","['    1,963,064 ', '&nbsp;']","['    3,093,230 ', '&nbsp;']"
