table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_expensed_machinery_and_equipment,field_materials_and_supplies,field_payments_to_business_partners_for_collaborative_r_d,field_purchased_r_d_service,field_depreciation_on_r_d_property_and_equipment,field_other
2570,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    3,129,946 ', '&nbsp;']","['    1,761,625 ', '&nbsp;']","['    103,952 ', '&nbsp;']","['    263,224 ', '&nbsp;']","['    132,516 ', '&nbsp;']","['    318,632 ', '&nbsp;']","['    40,253 ', '&nbsp;']","['    509,745 ', '&nbsp;']"
2570,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    280,177 ', '&nbsp;']","['    145,786 ', '&nbsp;']","['    14,641 ', '&nbsp;']","['    41,387 ', '&nbsp;']","['    9,629 ', '&nbsp;']","['    29,719 ', '&nbsp;']","['    2,941 ', '&nbsp;']","['    36,075 ', '&nbsp;']"
2570,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    2,735 ', 'r']","['    1,237 ', 'r']","['    0 ', '&nbsp;']","['    71 ', 'r']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']"
2570,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['S', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2570,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2570,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2570,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2570,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']"
2570,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    39,030 ', '&nbsp;']","['    13,623 ', '&nbsp;']","['    413 ', '&nbsp;']","['    7,449 ', 'r']","['    106 ', '&nbsp;']","['    12,207 ', '&nbsp;']","['    117 ', '&nbsp;']","['    5,116 ', 'r']"
2570,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    13,717 ', '&nbsp;']","['    7,735 ', '&nbsp;']","['    1,071 ', 'r']","['    2,543 ', '&nbsp;']","['    533 ', '&nbsp;']","['    676 ', '&nbsp;']","['    373 ', 'r']","['    786 ', '&nbsp;']"
2570,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    8,632 ', 'r']","['    3,094 ', '&nbsp;']","['    625 ', 'r']","['    624 ', '&nbsp;']","['    278 ', 'r']","['    465 ', 'r']","['    0 ', '&nbsp;']","['    3,545 ', 'r']"
2570,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    1,836 ', 'r']","['    708 ', '&nbsp;']","['    276 ', 'r']","['    535 ', 'r']","['S', '&nbsp;']","['S', '&nbsp;']","['    62 ', 'r']","['    80 ', 'r']"
2570,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
