table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_percentage_of_total_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_percentage_of_total_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_percentage_of_total_sales
2574,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    18,204,887 ', '&nbsp;']","['    37 ', '&nbsp;']","['    9,042,681 ', '&nbsp;']","['    39 ', '&nbsp;']","['    9,162,205 ', '&nbsp;']","['    34 ', '&nbsp;']"
2574,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    4,192,283 ', '&nbsp;']","['    18 ', '&nbsp;']","['    2,267,847 ', '&nbsp;']","['    21 ', '&nbsp;']","['    1,924,435 ', '&nbsp;']","['    15 ', '&nbsp;']"
2574,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    108,793 ', '&nbsp;']","['    9 ', '&nbsp;']","['    99,262 ', '&nbsp;']","['    8 ', '&nbsp;']","['    9,531 ', 'r']","['    29 ', 'r']"
2574,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    15,954 ', 'r']","['    14 ', 'r']","['    13,231 ', 'r']","['    4 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2574,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    270,946 ', '&nbsp;']","['    38 ', '&nbsp;']","['    122,492 ', '&nbsp;']","['    52 ', 'r']","['    148,454 ', '&nbsp;']","['    26 ', '&nbsp;']"
2574,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    1,024,710 ', '&nbsp;']","['    9 ', '&nbsp;']","['    533,174 ', '&nbsp;']","['    14 ', '&nbsp;']","['    491,536 ', '&nbsp;']","['    3 ', 'r']"
2574,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    66,610 ', '&nbsp;']","['    14 ', 'r']","['    18,762 ', '&nbsp;']","['    5 ', '&nbsp;']","['    47,848 ', 'r']","['    18 ', '&nbsp;']"
2574,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    9,487 ', 'r']","['    19 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    9,487 ', 'r']","['    19 ', 'r']"
2574,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    2,306 ', 'r']","['    47 ', 'r']","['    2,306 ', 'r']","['    47 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    13,107 ', '&nbsp;']","['    34 ', '&nbsp;']","['    12,901 ', '&nbsp;']","['    33 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
