table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_marketing_or_organizational_innovation_number_yes,field_marketing_or_organizational_innovation_number_no,field_marketing_or_organizational_innovation_percent_yes,field_marketing_or_organizational_innovation_percent_no
2608,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    4,603,606 ', '&nbsp;']","['    1,505,546 ', '&nbsp;']","['    3,098,060 ', '&nbsp;']","['    32.7 ', '&nbsp;']","['    67.3 ', '&nbsp;']"
2608,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    220,930 ', '&nbsp;']","['    92,692 ', '&nbsp;']","['    128,237 ', '&nbsp;']","['    42.0 ', '&nbsp;']","['    58.0 ', '&nbsp;']"
2608,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    18,180 ', '&nbsp;']","['    8,697 ', '&nbsp;']","['    9,483 ', '&nbsp;']","['    47.8 ', '&nbsp;']","['    52.2 ', '&nbsp;']"
2608,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    6,724 ', '&nbsp;']","['    4,193 ', '&nbsp;']","['    2,532 ', '&nbsp;']","['    62.3 ', '&nbsp;']","['    37.7 ', '&nbsp;']"
2608,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    10,569 ', '&nbsp;']","['    4,072 ', '&nbsp;']","['    6,498 ', '&nbsp;']","['    38.5 ', '&nbsp;']","['    61.5 ', '&nbsp;']"
2608,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    10,850 ', '&nbsp;']","['    3,758 ', '&nbsp;']","['    7,092 ', '&nbsp;']","['    34.6 ', '&nbsp;']","['    65.4 ', '&nbsp;']"
2608,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    2,276 ', '&nbsp;']","['    1,077 ', '&nbsp;']","['    1,199 ', '&nbsp;']","['    47.3 ', '&nbsp;']","['    52.7 ', '&nbsp;']"
2608,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    21,903 ', '&nbsp;']","['    8,455 ', '&nbsp;']","['    13,449 ', '&nbsp;']","['    38.6 ', '&nbsp;']","['    61.4 ', '&nbsp;']"
2608,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    624 ', '&nbsp;']","['    272 ', '&nbsp;']","['    352 ', '&nbsp;']","['    43.6 ', '&nbsp;']","['    56.4 ', '&nbsp;']"
2608,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    7,910 ', '&nbsp;']","['    4,011 ', '&nbsp;']","['    3,899 ', '&nbsp;']","['    50.7 ', '&nbsp;']","['    49.3 ', '&nbsp;']"
2608,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['    542 ', '&nbsp;']","['    250 ', '&nbsp;']","['    292 ', '&nbsp;']","['    46.1 ', '&nbsp;']","['    53.9 ', '&nbsp;']"
