table_id,row_id,type_and_location_of_cooperation_partner_full_path,type_and_location_of_cooperation_partner_level_1,type_and_location_of_cooperation_partner_level_2,type_and_location_of_cooperation_partner_level_3,type_and_location_of_cooperation_partner_hierarchy_depth,field_all_companies,field_micro_companies_1_9_employees_,field_small_companies_10_49_employees_,field_medium_companies_50_249_employees_,field_large_companies_250_employees_
2632,r001,All companies with innovation activities (number of companies),All companies with innovation activities (number of companies),,,1,"['    1,989,523 ', '&nbsp;']","['    1,418,216 ', '&nbsp;']","['    464,339 ', '&nbsp;']","['    88,947 ', '&nbsp;']","['    18,021 ', '&nbsp;']"
2632,r002,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global",All companies with innovation activities (number of companies),"Type of cooperation partner, global",,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2632,r003,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Any cooperation partner",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Any cooperation partner,3,"['    41.6 ', '&nbsp;']","['    41.0 ', '&nbsp;']","['    41.9 ', '&nbsp;']","['    47.4 ', '&nbsp;']","['    53.4 ', '&nbsp;']"
2632,r004,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Other affiliated companies",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Other affiliated companies,3,"['    13.9 ', '&nbsp;']","['    13.2 ', '&nbsp;']","['    14.6 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    28.8 ', '&nbsp;']"
2632,r005,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Suppliers of equipment, materials, components, or software ",All companies with innovation activities (number of companies),"Type of cooperation partner, global","Suppliers of equipment, materials, components, or software ",3,"['    29.1 ', '&nbsp;']","['    27.9 ', '&nbsp;']","['    31.2 ', '&nbsp;']","['    35.2 ', '&nbsp;']","['    38.2 ', '&nbsp;']"
2632,r006,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Clients or customers from the private sector ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Clients or customers from the private sector ,3,"['    27.7 ', '&nbsp;']","['    27.8 ', '&nbsp;']","['    26.9 ', '&nbsp;']","['    29.7 ', '&nbsp;']","['    31.6 ', '&nbsp;']"
2632,r007,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Clients or customers from the public sector ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Clients or customers from the public sector ,3,"['    20.3 ', '&nbsp;']","['    20.3 ', '&nbsp;']","['    20.6 ', '&nbsp;']","['    20.3 ', '&nbsp;']","['    19.8 ', '&nbsp;']"
2632,r008,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Competitors or other companies in your sector ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Competitors or other companies in your sector ,3,"['    17.8 ', '&nbsp;']","['    18.0 ', '&nbsp;']","['    17.5 ', '&nbsp;']","['    17.2 ', '&nbsp;']","['    16.2 ', '&nbsp;']"
2632,r009,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Companies not in your sector ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Companies not in your sector ,3,"['    10.2 ', '&nbsp;']","['    10.0 ', '&nbsp;']","['    10.5 ', '&nbsp;']","['    11.1 ', '&nbsp;']","['    12.3 ', '&nbsp;']"
2632,r010,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Consultants or commercial laboratories",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Consultants or commercial laboratories,3,"['    12.4 ', '&nbsp;']","['    11.6 ', '&nbsp;']","['    13.6 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    24.0 ', '&nbsp;']"
2632,r011,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Universities or other higher education institutions",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Universities or other higher education institutions,3,"['    8.1 ', '&nbsp;']","['    7.8 ', '&nbsp;']","['    8.7 ', '&nbsp;']","['    9.6 ', '&nbsp;']","['    12.7 ', '&nbsp;']"
2632,r012,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Government or public research institutes ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Government or public research institutes ,3,"['    5.2 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    5.5 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    7.2 ', '&nbsp;']"
2632,r013,"All companies with innovation activities (number of companies) -> Type of cooperation partner, global -> Private research institutes ",All companies with innovation activities (number of companies),"Type of cooperation partner, global",Private research institutes ,3,"['    4.7 ', '&nbsp;']","['    4.5 ', '&nbsp;']","['    4.9 ', '&nbsp;']","['    4.9 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
2632,r014,"All companies with innovation activities (number of companies) -> Type of cooperation partner, located in United States",All companies with innovation activities (number of companies),"Type of cooperation partner, located in United States",,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2632,r015,"All companies with innovation activities (number of companies) -> Type of cooperation partner, located in United States -> Any cooperation partner",All companies with innovation activities (number of companies),"Type of cooperation partner, located in United States",Any cooperation partner,3,"['    40.9 ', '&nbsp;']","['    40.2 ', '&nbsp;']","['    41.3 ', '&nbsp;']","['    46.7 ', '&nbsp;']","['    51.8 ', '&nbsp;']"
