table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_patenting_companies,field_patents_pending,field_patents_owned
2657,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    4,603,606 ', '&nbsp;']","['    73,149 ', '&nbsp;']","['    342,312 ', '&nbsp;']","['    1,056,487 ', '&nbsp;']"
2657,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    220,930 ', '&nbsp;']","['    20,636 ', '&nbsp;']","['    100,940 ', '&nbsp;']","['    446,884 ', '&nbsp;']"
2657,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    18,180 ', '&nbsp;']","['    661 ', '&nbsp;']","['    2,063 ', '&nbsp;']","['    6,816 ', '&nbsp;']"
2657,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    6,724 ', '&nbsp;']","['    180 ', '&nbsp;']","['    252 ', '&nbsp;']","['    1,976 ', '&nbsp;']"
2657,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    10,569 ', '&nbsp;']","['    687 ', '&nbsp;']","['    1,843 ', '&nbsp;']","['    4,000 ', '&nbsp;']"
2657,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    10,850 ', '&nbsp;']","['    333 ', '&nbsp;']","['    416 ', '&nbsp;']","['    2,331 ', '&nbsp;']"
2657,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    2,276 ', '&nbsp;']","['    215 ', '&nbsp;']","['    2,608 ', '&nbsp;']","['    8,717 ', '&nbsp;']"
2657,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    21,903 ', '&nbsp;']","['    257 ', '&nbsp;']","['    340 ', '&nbsp;']","['    6,380 ', '&nbsp;']"
2657,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    624 ', '&nbsp;']","['    83 ', '&nbsp;']","['    389 ', '&nbsp;']","['    1,578 ', '&nbsp;']"
2657,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    7,910 ', '&nbsp;']","['    1,583 ', '&nbsp;']","['    8,340 ', '&nbsp;']","['    45,032 ', '&nbsp;']"
2657,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['    542 ', '&nbsp;']","['    118 ', '&nbsp;']","['    706 ', 'r']","['    1,841 ', 'i']"
2657,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    1,412 ', '&nbsp;']","['    391 ', '&nbsp;']","['    1,791 ', '&nbsp;']","['    6,814 ', '&nbsp;']"
2657,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['    1,615 ', '&nbsp;']","['    235 ', '&nbsp;']","['    1,045 ', '&nbsp;']","['    3,072 ', '&nbsp;']"
2657,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    4,341 ', '&nbsp;']","['    839 ', '&nbsp;']","['    4,799 ', '&nbsp;']","['    33,304 ', '&nbsp;']"
2657,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    8,412 ', '&nbsp;']","['    1,365 ', '&nbsp;']","['    4,234 ', '&nbsp;']","['    20,121 ', '&nbsp;']"
2657,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    8,021 ', '&nbsp;']","['    431 ', '&nbsp;']","['    1,805 ', '&nbsp;']","['    9,972 ', '&nbsp;']"
2657,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    2,679 ', '&nbsp;']","['    345 ', '&nbsp;']","['    763 ', '&nbsp;']","['    2,319 ', '&nbsp;']"
2657,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    47,340 ', '&nbsp;']","['    3,013 ', '&nbsp;']","['    6,038 ', '&nbsp;']","['    24,261 ', '&nbsp;']"
2657,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    18,792 ', '&nbsp;']","['    3,912 ', '&nbsp;']","['    22,184 ', '&nbsp;']","['    92,976 ', '&nbsp;']"
2657,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    9,566 ', '&nbsp;']","['    2,575 ', '&nbsp;']","['    25,044 ', '&nbsp;']","['    110,528 ', '&nbsp;']"
2657,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    916 ', '&nbsp;']","['    243 ', '&nbsp;']","['    658 ', '&nbsp;']","['    2,425 ', '&nbsp;']"
2657,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    3,214 ', '&nbsp;']","['    576 ', '&nbsp;']","['    13,836 ', '&nbsp;']","['    61,526 ', '&nbsp;']"
2657,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    3,958 ', '&nbsp;']","['    1,444 ', '&nbsp;']","['    8,245 ', '&nbsp;']","['    33,277 ', '&nbsp;']"
2657,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    1,478 ', '&nbsp;']","['    312 ', '&nbsp;']","['    2,305 ', '&nbsp;']","['    13,301 ', '&nbsp;']"
2657,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    4,223 ', '&nbsp;']","['    908 ', '&nbsp;']","['    5,327 ', '&nbsp;']","['    21,494 ', '&nbsp;']"
2657,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    8,039 ', '&nbsp;']","['    1,166 ', '&nbsp;']","['    11,115 ', '&nbsp;']","['    36,119 ', '&nbsp;']"
2657,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    5,018 ', '&nbsp;']","['    685 ', '&nbsp;']","['    8,011 ', '&nbsp;']","['    28,300 ', '&nbsp;']"
2657,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    1,109 ', '&nbsp;']","['    171 ', '&nbsp;']","['    1,599 ', '&nbsp;']","['    3,706 ', '&nbsp;']"
