table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_very_important,field_somewhat_important,field_not_at_all_important
2674,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    7.0 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    84.1 ', '&nbsp;']"
2674,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2674,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,615,093 ', '&nbsp;']","['    5.5 ', '&nbsp;']","['    7.7 ', '&nbsp;']","['    86.8 ', '&nbsp;']"
2674,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    885,880 ', '&nbsp;']","['    6.9 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    84.1 ', '&nbsp;']"
2674,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2674,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    562,922 ', '&nbsp;']","['    8.7 ', '&nbsp;']","['    10.2 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
2674,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    353,037 ', '&nbsp;']","['    11.2 ', '&nbsp;']","['    12.1 ', '&nbsp;']","['    76.7 ', '&nbsp;']"
2674,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2674,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    104,561 ', '&nbsp;']","['    14.2 ', '&nbsp;']","['    13.6 ', '&nbsp;']","['    72.3 ', '&nbsp;']"
2674,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    52,429 ', '&nbsp;']","['    17.7 ', '&nbsp;']","['    15.5 ', '&nbsp;']","['    66.8 ', '&nbsp;']"
2674,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2674,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    15,665 ', '&nbsp;']","['    19.4 ', '&nbsp;']","['    18.5 ', '&nbsp;']","['    62.1 ', '&nbsp;']"
2674,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,026 ', '&nbsp;']","['    23.3 ', '&nbsp;']","['    18.8 ', '&nbsp;']","['    57.9 ', '&nbsp;']"
2674,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    5,514 ', '&nbsp;']","['    28.3 ', 'r']","['    21.8 ', '&nbsp;']","['    49.8 ', '&nbsp;']"
2674,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    744 ', '&nbsp;']","['    43.0 ', '&nbsp;']","['    23.7 ', '&nbsp;']","['    33.3 ', '&nbsp;']"
2674,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    447 ', '&nbsp;']","['    47.0 ', '&nbsp;']","['    17.9 ', '&nbsp;']","['    35.1 ', '&nbsp;']"
2674,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    288 ', '&nbsp;']","['    56.0 ', '&nbsp;']","['    19.5 ', '&nbsp;']","['    24.6 ', '&nbsp;']"
