table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2720,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['24,698', '  ']","['377,806', '  ']","['3,439', 'i ']","['23,275', 'i ']","['2,541', 'i ']","['7,994', 'i ']"
2720,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['14,727', '  ']","['234,682', '  ']","['2,567', 'i ']","['19,367', 'i ']","['1,953', 'i ']","['7,076', 'i ']"
2720,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['802', '  ']","['4,412', '  ']","['47', 'i ']","['51', 'i ']","['84', 'i ']","['82', 'i ']"
2720,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,631', '  ']","['73,584', '  ']","['284', 'i ']","['481', '  ']","['364', 'i ']","['440', '  ']"
2720,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['321', '  ']","['2,251', '  ']","['145', 'i ']","['299', '  ']","['147', 'i ']","['176', '  ']"
2720,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,285', '  ']","['64,800', '  ']","['5', '  ']","['3', '  ']","['9', '  ']","['16', '  ']"
2720,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['1,026', '  ']","['6,533', '  ']","['133', 'i ']","['179', '  ']","['208', 'i ']","['248', '  ']"
2720,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['899', '  ']","['2,667', '  ']","['179', 'i ']","['161', '  ']","['181', 'i ']","['162', '  ']"
2720,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['227', '  ']","['1,361', '  ']","['90', 'i ']","['397', 'i ']","['60', 'i ']","['53', 'i ']"
2720,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1,427', '  ']","['2,222', '  ']","['161', 'i ']","['323', '  ']","['96', 'i ']","['44', '  ']"
2720,r011,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,020', '  ']","['13,765', '  ']","['566', 'i ']","['2,695', '  ']","['369', 'i ']","['1,165', 'i ']"
2720,r012,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['237', '  ']","['1,862', '  ']","['45', 'i ']","['63', '  ']","['32', 'i ']","['136', '  ']"
