table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
2777,r001,All FFRDCs,All FFRDCs,,,1,"['22,737,500', ' ']","['22,338,855', ' ']","['51,167', ' ']","['180,583', ' ']","['48,238', ' ']","['118,657', ' ']"
2777,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,946,262', ' ']","['6,796,696', ' ']","['17,975', ' ']","['53,304', ' ']","['22,556', ' ']","['55,731', ' ']"
2777,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['33,612', '']","['33,211', '']","['204', '']","['197', '']","['0', '']","['0', '']"
2777,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['810,693', '']","['787,513', '']","['0', '']","['17,093', '']","['522', '']","['5,565', '']"
2777,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['334,258', '']","['333,460', '']","['0', '']","['238', '']","['36', '']","['524', '']"
2777,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,709,063', '']","['2,709,063', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['872,237', '']","['807,967', '']","['12,919', '']","['25,574', '']","['8,666', '']","['17,111', '']"
2777,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,103,870', '']","['1,084,953', '']","['0', '']","['2,055', '']","['0', '']","['16,862', '']"
2777,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['199,476', '']","['187,615', '']","['1,108', '']","['3,575', '']","['7,178', '']","['0', '']"
2777,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['101,901', '']","['99,881', '']","['0', '']","['229', '']","['330', '']","['1,461', '']"
2777,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['15,931', '']","['15,892', '']","['0', '']","['0', '']","['0', '']","['39', '']"
2777,r012,All FFRDCs -> University-administered FFRDCs -> NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),All FFRDCs,University-administered FFRDCs,NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),3,"['38,262', '']","['28,760', '']","['0', '']","['0', '']","['0', '']","['9,502', '']"
2777,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['91,271', '']","['91,119', '']","['0', '']","['151', '']","['0', '']","['1', '']"
2777,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['368,938', '']","['352,527', '']","['2,329', '']","['3,617', '']","['5,824', '']","['4,641', '']"
2777,r015,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['140,954', '']","['140,940', '']","['0', '']","['14', '']","['0', '']","['0', '']"
2777,r016,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['125,796', '']","['123,795', '']","['1,415', '']","['561', '']","['0', '']","['25', '']"
2777,r017,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['7,033,162', ' ']","['6,891,730', ' ']","['31,738', ' ']","['54,010', ' ']","['25,107', ' ']","['30,577', ' ']"
2777,r018,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,065,989', '']","['1,062,804', '']","['0', '']","['2,974', '']","['0', '']","['211', '']"
2777,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['37,956', '']","['37,956', '']","['0', '']","['0', '']","['0', '']","['0', '']"
