table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_hierarchy_depth,field_2010,field_2011a,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2780,r001,All FFRDCs,All FFRDCs,,1,"['18,880,609', '']","['18,671,245', '']","['18,280,943', '']","['17,667,184', '']","['17,718,556', '']","['18,458,257', '']","['19,219,702', '']","['20,038,307', '']","['21,171,529', '']","['22,737,500', '']"
2780,r002,All FFRDCs -> Aerospace Federally Funded Research and Development Center<sup>b</sup>,All FFRDCs,Aerospace Federally Funded Research and Development Center<sup>b</sup>,2,"['880,653', '']","['908,458', '']","['874,653', '']","['835,068', '']","['838,708', '']","['888,119', '']","['909,868', '']","['942,704', '']","['1,020,827', '']","['1,065,989', '']"
2780,r003,All FFRDCs -> Ames Laboratory,All FFRDCs,Ames Laboratory,2,"['30,836', '']","['32,442', '']","['33,853', '']","['34,234', '']","['41,824', '']","['45,845', '']","['46,886', '']","['53,527', '']","['36,858', '']","['33,612', '']"
2780,r004,All FFRDCs -> Argonne National Laboratory,All FFRDCs,Argonne National Laboratory,2,"['650,504', '']","['710,435', '']","['679,387', '']","['708,501', '']","['719,459', '']","['719,521', '']","['733,377', '']","['723,824', '']","['777,246', '']","['810,693', '']"
2780,r005,All FFRDCs -> Arroyo Center,All FFRDCs,Arroyo Center,2,"['28,647', '']","['32,180', '']","['31,278', '']","['32,789', '']","['33,391', '']","['40,594', '']","['44,616', '']","['42,723', '']","['39,738', '']","['37,956', '']"
2780,r006,All FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Brookhaven National Laboratory,2,"['535,546', '']","['526,571', '']","['516,921', '']","['529,634', '']","['573,364', '']","['587,194', '']","['579,087', '']","['556,875', '']","['552,640', '']","['590,470', '']"
2780,r007,All FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Center for Advanced Aviation System Development,2,"['149,686', '']","['165,645', '']","['159,311', '']","['146,860', '']","['149,054', '']","['155,696', '']","['156,644', '']","['168,169', '']","['177,530', '']","['174,123', '']"
2780,r008,All FFRDCs -> Center for Communications and Computing,All FFRDCs,Center for Communications and Computing,2,"['71,927', '']","['72,600', '']","['62,600', '']","['51,477', '']","['63,199', '']","['56,478', '']","['61,625', '']","['66,692', '']","['68,237', '']","['68,371', '']"
2780,r009,All FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Center for Enterprise Modernization,2,"['170,460', '']","['187,785', '']","['226,539', '']","['202,319', '']","['158,069', '']","['145,442', '']","['146,436', '']","['154,933', '']","['162,690', '']","['174,712', '']"
2780,r010,All FFRDCs -> Center for Naval Analyses,All FFRDCs,Center for Naval Analyses,2,"['109,068', '']","['85,165', '']","['91,628', '']","['86,132', '']","['80,283', '']","['80,358', '']","['84,232', '']","['90,401', '']","['95,198', '']","['96,697', '']"
2780,r011,All FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Center for Nuclear Waste Regulatory Analyses,2,"['15,346', '']","['16,377', '']","['13,147', '']","['12,331', '']","['12,314', '']","['12,636', '']","['8,600', '']","['6,312', '']","['5,054', '']","['6,987', '']"
2780,r012,All FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,CMS Alliance to Modernize Healthcare,2,"['na', '']","['na', '']","['na', '']","['17,521', '']","['70,458', '']","['168,142', '']","['141,860', '']","['169,013', '']","['175,030', '']","['213,369', '']"
2780,r013,All FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,Fermi National Accelerator Laboratory,2,"['402,658', '']","['420,119', '']","['412,438', '']","['376,472', '']","['334,522', '']","['319,700', '']","['323,507', '']","['320,516', '']","['328,419', '']","['334,258', '']"
2780,r014,All FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Frederick National Laboratory for Cancer Research,2,"['643,935', '']","['431,600', '']","['430,100', '']","['433,900', '']","['448,500', '']","['495,300', '']","['642,165', '']","['704,223', '']","['748,500', '']","['751,452', '']"
2780,r015,All FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Homeland Security Operational Analysis Center,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['8,622', '']","['46,321', '']","['54,751', '']"
2780,r016,All FFRDCs -> Homeland Security Studies and Analysis Institute,All FFRDCs,Homeland Security Studies and Analysis Institute,2,"['33,402', '']","['36,870', '']","['30,213', '']","['22,452', '']","['20,866', '']","['16,965', '']","['22,038', '']","['na', '']","['na', '']","['na', '']"
2780,r017,All FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Homeland Security Systems Engineering and Development Institute,2,"['58,715', '']","['85,154', '']","['77,159', '']","['75,530', '']","['94,353', '']","['77,176', '']","['101,628', '']","['104,414', '']","['104,689', '']","['115,813', '']"
2780,r018,All FFRDCs -> Idaho National Laboratory,All FFRDCs,Idaho National Laboratory,2,"['478,356', '']","['425,072', '']","['536,399', '']","['496,818', '']","['479,801', '']","['476,376', '']","['521,618', '']","['482,840', '']","['395,112', '']","['478,324', '']"
2780,r019,All FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,Jet Propulsion Laboratory,2,"['1,640,341', '']","['1,543,969', '']","['1,493,613', '']","['1,519,258', '']","['1,664,539', '']","['1,749,689', '']","['1,852,369', '']","['2,324,826', '']","['2,733,908', '']","['2,709,063', '']"
2780,r020,All FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Judiciary Engineering and Modernization Center,2,"['na', '']","['4,650', '']","['5,309', '']","['6,399', '']","['2,299', '']","['4,318', '']","['9,289', '']","['8,030', '']","['6,697', '']","['7,331', '']"
2780,r021,All FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,Lawrence Berkeley National Laboratory,2,"['759,381', '']","['788,386', '']","['767,554', '']","['768,563', '']","['762,601', '']","['792,457', '']","['797,831', '']","['813,267', '']","['832,457', '']","['872,237', '']"
2780,r022,All FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Lawrence Livermore National Laboratory,2,"['1,370,747', '']","['1,424,993', '']","['1,353,454', '']","['1,313,293', '']","['1,170,571', '']","['1,273,066', '']","['1,363,525', '']","['1,290,134', '']","['1,386,687', '']","['1,517,429', '']"
2780,r023,All FFRDCs -> Lincoln Laboratory,All FFRDCs,Lincoln Laboratory,2,"['789,502', '']","['822,358', '']","['873,104', '']","['872,298', '']","['830,076', '']","['914,071', '']","['949,138', '']","['969,090', '']","['1,013,320', '']","['1,103,870', '']"
2780,r024,All FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Los Alamos National Laboratory,2,"['2,505,913', '']","['2,307,197', '']","['2,056,878', '']","['1,708,000', '']","['1,767,000', '']","['1,865,000', '']","['1,987,000', '']","['1,972,769', '']","['2,145,232', '']","['2,461,275', '']"
2780,r025,All FFRDCs -> National Astronomy and Ionosphere Ctr.,All FFRDCs,National Astronomy and Ionosphere Ctr.,2,"['13,203', '']","['14,317', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']"
2780,r026,All FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,National Biodefense Analysis and Countermeasures Center,2,"['50,058', '']","['41,786', '']","['31,201', '']","['29,849', '']","['30,310', '']","['30,716', '']","['32,902', '']","['34,991', '']","['37,598', '']","['39,003', '']"
2780,r027,All FFRDCs -> National Center for Atmospheric Research,All FFRDCs,National Center for Atmospheric Research,2,"['220,328', '']","['198,231', '']","['169,743', '']","['172,527', '']","['162,259', '']","['166,385', '']","['177,422', '']","['171,551', '']","['158,260', '']","['199,476', '']"
2780,r028,All FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,National Cybersecurity Center of Excellence,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['7,843', '']","['13,076', '']","['13,436', '']","['19,556', '']","['22,205', '']"
2780,r029,All FFRDCs -> National Defense Research Institute,All FFRDCs,National Defense Research Institute,2,"['51,652', '']","['46,330', '']","['53,832', '']","['59,460', '']","['62,073', '']","['56,736', '']","['62,848', '']","['69,013', '']","['57,743', '']","['67,647', '']"
2780,r030,All FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,National Radio Astronomy Observatory,2,"['137,607', '']","['81,305', '']","['79,168', '']","['93,253', '']","['85,327', '']","['89,689', '']","['90,411', '']","['91,720', '']","['100,691', '']","['101,901', '']"
2780,r031,All FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,National Renewable Energy Laboratory,2,"['326,652', '']","['386,539', '']","['398,873', '']","['347,368', '']","['359,998', '']","['378,436', '']","['362,087', '']","['357,916', '']","['388,500', '']","['455,016', '']"
2780,r032,All FFRDCs -> National Security Engineering Center,All FFRDCs,National Security Engineering Center,2,"['925,027', '']","['941,187', '']","['946,737', '']","['928,614', '']","['885,382', '']","['919,441', '']","['966,542', '']","['1,012,155', '']","['1,078,610', '']","['1,124,861', '']"
2780,r033,All FFRDCs -> National Solar Observatory,All FFRDCs,National Solar Observatory,2,"['11,549', '']","['11,724', '']","['10,236', '']","['10,648', '']","['10,039', '']","['11,752', '']","['12,783', '']","['11,841', '']","['14,733', '']","['15,931', '']"
2780,r034,All FFRDCs -> NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),All FFRDCs,NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),2,"['45,596', '']","['36,165', '']","['36,321', '']","['30,021', '']","['25,161', '']","['23,660', '']","['24,917', '']","['25,906', '']","['33,874', '']","['38,262', '']"
2780,r035,All FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Oak Ridge National Laboratory,2,"['1,538,412', '']","['1,558,073', '']","['1,553,460', '']","['1,451,684', '']","['1,293,722', '']","['1,333,332', '']","['1,283,729', '']","['1,403,204', '']","['1,399,445', '']","['1,470,372', '']"
2780,r036,All FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Pacific Northwest National Laboratory,2,"['1,116,648', '']","['1,095,923', '']","['1,033,768', '']","['934,491', '']","['1,021,912', '']","['951,099', '']","['914,747', '']","['983,962', '']","['956,193', '']","['1,012,136', '']"
2780,r037,All FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,Princeton Plasma Physics Laboratory,2,"['83,932', '']","['84,863', '']","['81,389', '']","['85,088', '']","['97,768', '']","['81,348', '']","['82,246', '']","['81,444', '']","['82,435', '']","['91,271', '']"
2780,r038,All FFRDCs -> Project Air Force,All FFRDCs,Project Air Force,2,"['43,957', '']","['44,171', '']","['41,031', '']","['36,003', '']","['39,351', '']","['44,393', '']","['49,165', '']","['48,521', '']","['48,858', '']","['48,325', '']"
2780,r039,All FFRDCs -> Sandia National Laboratories,All FFRDCs,Sandia National Laboratories,2,"['2,157,022', '']","['2,277,166', '']","['2,293,307', '']","['2,412,476', '']","['2,507,099', '']","['2,621,891', '']","['2,781,547', '']","['2,878,000', '']","['3,009,105', '']","['3,373,217', '']"
2780,r040,All FFRDCs -> Savannah River National Laboratory,All FFRDCs,Savannah River National Laboratory,2,"['127,160', '']","['134,530', '']","['132,357', '']","['115,857', '']","['121,013', '']","['121,675', '']","['125,881', '']","['141,477', '']","['154,281', '']","['176,379', '']"
