table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_rank,field_doctorate_recipients
2805,r001,Hispanic or Latino (375 institutions),Hispanic or Latino (375 institutions),,,1,-,12952
2805,r002,Hispanic or Latino (375 institutions) -> From top 20 institutions,Hispanic or Latino (375 institutions),From top 20 institutions,,2,-,3816
2805,r003,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. California, Los Angeles",Hispanic or Latino (375 institutions),From top 20 institutions,"U. California, Los Angeles",3,1,291
2805,r004,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. California, Berkeley",Hispanic or Latino (375 institutions),From top 20 institutions,"U. California, Berkeley",3,2,289
2805,r005,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. Texas, Austin",Hispanic or Latino (375 institutions),From top 20 institutions,"U. Texas, Austin",3,3,239
2805,r006,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Hispanic or Latino (375 institutions),From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,4,232
2805,r007,Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. Wisconsin-Madison,Hispanic or Latino (375 institutions),From top 20 institutions,U. Wisconsin-Madison,3,5,205
2805,r008,Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. Florida,Hispanic or Latino (375 institutions),From top 20 institutions,U. Florida,3,6,200
2805,r009,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. Michigan, Ann Arbor",Hispanic or Latino (375 institutions),From top 20 institutions,"U. Michigan, Ann Arbor",3,7,194
2805,r010,Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. Arizona,Hispanic or Latino (375 institutions),From top 20 institutions,U. Arizona,3,8,188
2805,r011,Hispanic or Latino (375 institutions) -> From top 20 institutions -> Walden U.,Hispanic or Latino (375 institutions),From top 20 institutions,Walden U.,3,9,185
2805,r012,"Hispanic or Latino (375 institutions) -> From top 20 institutions -> U. California, Riverside",Hispanic or Latino (375 institutions),From top 20 institutions,"U. California, Riverside",3,10,183
