table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_totala,field_male,field_female,field__female
2814,r001,All fields,All fields,,,,,1,55703,30151,25542,45.9
2814,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12781,5819,6961,54.5
2814,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1491,761,730,49.0
2814,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,917,477,440,48.0
2814,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,117,79,38,32.5
2814,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,362,212,150,41.4
2814,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,81,39,42,51.9
2814,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,120,45,75,62.5
2814,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,156,61,95,60.9
2814,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,81,41,40,49.4
