table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_fields_master_s,field_all_fields_related_master_s,field_life_sciencesa_master_s,field_life_sciencesa_related_master_s,field_physical_sciences_and_earth_sciences_master_s,field_physical_sciences_and_earth_sciences_related_master_s,field_mathematics_and_computer_sciences_master_s,field_mathematics_and_computer_sciences_related_master_s,field_psychology_and_social_sciences_master_s,field_psychology_and_social_sciences_related_master_s,field_engineering_master_s,field_engineering_related_master_s,field_education_master_s,field_education_related_master_s,field_humanities_and_arts_master_s,field_humanities_and_arts_related_master_s,field_otherb_master_s,field_otherb_related_master_s
2827,r001,All doctorate recipients,All doctorate recipients,,,,1,69.9,54.9,52.1,35.4,53.1,44.1,71.6,59.4,82.9,65.7,72.0,65.8,88.8,57.8,84.1,67.5,80.4,58.9
2827,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,,,,,,
2827,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,68.5,55.6,49.4,33.0,54.4,45.7,70.5,58.7,82.4,65.8,73.1,67.3,88.0,54.6,83.6,70.1,79.1,57.2
2827,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,71.5,54.0,54.4,37.4,50.5,41.1,74.8,61.7,83.2,65.7,68.5,61.0,89.1,59.1,84.5,65.1,81.4,60.4
2827,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
2827,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,70.4,54.7,48.0,33.5,49.1,41.4,72.5,62.5,86.4,69.0,68.5,63.1,92.5,59.5,87.8,71.2,86.2,62.6
2827,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,75.8,60.6,67.3,43.4,62.6,51.2,74.6,60.2,86.9,67.3,78.5,71.4,87.2,60.8,87.9,67.8,85.1,63.0
2827,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
2827,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,70.1,54.1,44.3,32.1,51.3,43.9,72.8,68.9,83.1,64.7,72.5,65.4,95.6,61.0,86.9,69.4,88.3,60.4
2827,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
2827,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,71.7,50.0,48.3,24.1,,,0.0,0.0,86.7,56.7,66.7,66.7,,,80.0,60.0,85.7,85.7
2827,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,67.7,53.6,47.4,32.1,55.5,46.2,77.0,63.5,88.0,72.9,68.8,63.1,93.7,66.5,89.7,72.5,86.3,57.9
2827,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,82.6,56.1,65.9,42.4,51.1,42.0,82.6,65.2,91.6,61.9,73.6,66.9,91.8,57.0,89.9,60.9,87.4,61.4
2827,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,71.1,56.1,48.0,34.0,49.0,41.5,73.2,63.5,88.5,72.3,69.3,64.1,93.7,60.4,90.1,73.8,88.1,65.5
2827,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,67.4,52.8,42.2,29.4,44.3,35.7,67.6,61.8,87.7,68.7,60.5,55.6,96.3,61.5,91.4,79.0,94.4,75.0
2827,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,60.4,44.4,42.2,25.6,,,55.6,40.7,70.9,58.2,54.0,48.0,,,77.3,56.8,75.0,54.2
2827,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,19.1,14.3,18.0,9.0,16.4,12.7,12.5,9.4,18.3,15.0,26.5,25.0,25.0,17.3,18.3,15.4,16.2,8.1
