table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2016,field_2017,field_2018,field_2019_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2019_atmospheric_science_and_meteorology,field_2019_geological_and_earth_sciences,field_2019_ocean_sciences_and_marine_sciences,field_2019_geosciences_atmospheric_sciences_and_ocean_sciences_nec
3157,r001,All institutions,All institutions,,1,-,"['1,991,824', '']","['2,042,331', '']","['2,048,328', '']","['2,067,292', '']","['460,463', '']","['676,742', '']","['698,401', '']","['231,686', '']"
3157,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['94,236', '']","['107,931', '']","['88,060', '']","['120,294', '']","['16,036', '']","['13,224', '']","['91,034', '']","['0', '']"
3157,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['135,477', '']","['126,077', '']","['132,846', '']","['119,659', '']","['38,768', '']","['10,811', '']","['1,526', '']","['68,554', '']"
3157,r004,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,3,"['111,160', '']","['96,228', '']","['110,718', '']","['112,979', '']","['0', '']","['0', '']","['112,979', '']","['0', '']"
3157,r005,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,4,"['100,006', '']","['96,441', '']","['96,422', '']","['100,000', '']","['46,809', '']","['10,550', '']","['41,328', '']","['1,313', '']"
3157,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['84,670', '']","['85,959', '']","['88,535', '']","['86,781', '']","['3,270', '']","['7,173', '']","['71,543', '']","['4,795', '']"
3157,r007,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,6,"['34,160', '']","['103,710', '']","['100,566', '']","['70,266', '']","['37,934', '']","['29,060', '']","['0', '']","['3,272', '']"
3157,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['72,326', '']","['70,875', '']","['65,302', '']","['61,544', '']","['7,067', '']","['20,777', '']","['33,700', '']","['0', '']"
3157,r009,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,8,"['30,385', '']","['36,248', '']","['52,476', '']","['59,778', '']","['0', '']","['59,778', '']","['0', '']","['0', '']"
3157,r010,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,9,"['60,650', '']","['60,762', '']","['55,156', '']","['58,526', '']","['2,463', '']","['11,446', '']","['39,627', '']","['4,990', '']"
3157,r011,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,10,"['26,632', '']","['26,948', '']","['43,991', '']","['54,007', '']","['51,727', '']","['2,280', '']","['0', '']","['0', '']"
3157,r012,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,11,"['47,328', '']","['51,687', '']","['50,997', '']","['50,566', '']","['6,801', '']","['21,354', '']","['21,397', '']","['1,014', '']"
3157,r013,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,12,"['na', '']","['na', '']","['na', '']","['46,763', '']","['34,987', '']","['10,357', '']","['1,013', '']","['406', '']"
3157,r014,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,13,"['30,987', '']","['32,162', '']","['29,412', '']","['37,235', '']","['5,813', '']","['11,875', '']","['8,208', '']","['11,339', '']"
3157,r015,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,14,"['45,381', '']","['40,472', '']","['38,709', '']","['36,870', '']","['17,711', '']","['5,166', '']","['13,993', '']","['0', '']"
3157,r016,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,15,"['40,990', '']","['38,139', '']","['36,826', '']","['36,615', '']","['26,687', '']","['6,721', '']","['0', '']","['3,207', '']"
3157,r017,All institutions -> U. Miami,All institutions,U. Miami,2,16,"['42,242', '']","['39,797', '']","['36,182', '']","['36,297', '']","['25,386', '']","['0', '']","['9,719', '']","['1,192', '']"
3157,r018,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,17,"['40,711', '']","['38,438', '']","['41,429', '']","['34,363', '']","['1,736', '']","['6,214', '']","['16,524', '']","['9,889', '']"
3157,r019,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,18,"['25,531', '']","['29,316', '']","['28,307', '']","['32,874', '']","['47', '']","['4,989', '']","['22,407', '']","['5,431', '']"
3157,r020,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,19,"['27,911', '']","['27,849', '']","['31,354', '']","['28,218', '']","['11,435', '']","['13,296', '']","['3,487', '']","['0', '']"
3157,r021,All institutions -> Harvard U.,All institutions,Harvard U.,2,20,"['24,391', '']","['23,670', '']","['26,892', '']","['27,835', '']","['2,036', '']","['4,174', '']","['0', '']","['21,625', '']"
3157,r022,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,21,"['23,918', '']","['22,811', '']","['22,753', '']","['25,436', '']","['3,932', '']","['18,852', '']","['0', '']","['2,652', '']"
3157,r023,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,22,"['19,859', '']","['22,572', '']","['26,061', '']","['24,970', '']","['6,003', '']","['17,913', '']","['0', '']","['1,054', '']"
3157,r024,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,23,"['37,527', '']","['32,656', '']","['27,772', '']","['22,382', '']","['6,930', '']","['8,264', '']","['5,660', '']","['1,528', '']"
