table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r001,All institutions,All institutions,,1,-,"['1,773,360', '']","['1,791,590', '']","['1,866,450', '']","['1,965,627', '']","['1,097,382', '']","['1,097,782', '']","['1,129,877', '']","['1,182,806', '']"
3166,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['56,160', '']","['62,673', '']","['62,661', '']","['65,572', '']","['32,089', '']","['36,290', '']","['35,467', '']","['38,487', '']"
3166,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['49,285', '']","['51,531', '']","['46,180', '']","['42,498', '']","['32,317', '']","['34,064', '']","['30,824', '']","['28,469', '']"
3166,r004,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,3,"['39,855', '']","['38,954', '']","['39,150', '']","['40,651', '']","['25,244', '']","['24,200', '']","['23,691', '']","['25,466', '']"
3166,r005,All institutions -> U. Utah,All institutions,U. Utah,2,4,"['14,447', '']","['15,140', '']","['15,935', 'i']","['40,326', 'i']","['10,292', '']","['12,048', '']","['10,084', '']","['24,189', '']"
3166,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['33,655', '']","['28,988', '']","['31,819', '']","['35,411', '']","['21,087', '']","['18,268', '']","['19,818', '']","['21,926', '']"
3166,r007,All institutions -> U. Houston,All institutions,U. Houston,2,6,"['21,419', '']","['21,216', '']","['25,126', '']","['34,730', '']","['2,840', '']","['2,457', '']","['2,511', '']","['2,298', '']"
3166,r008,All institutions -> Harvard U.,All institutions,Harvard U.,2,7,"['30,835', '']","['31,204', '']","['29,444', '']","['34,683', '']","['21,562', '']","['20,957', '']","['20,642', '']","['20,722', '']"
3166,r009,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,8,"['30,337', '']","['28,237', '']","['22,362', '']","['32,067', '']","['23,320', '']","['22,566', '']","['19,106', '']","['21,472', '']"
3166,r010,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,9,"['26,701', '']","['26,165', '']","['31,921', '']","['31,179', '']","['16,343', '']","['15,292', '']","['20,339', '']","['18,377', '']"
3166,r011,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,10,"['31,346', '']","['31,246', '']","['32,164', '']","['30,743', '']","['16,604', '']","['15,755', '']","['16,256', '']","['15,560', '']"
3166,r012,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,11,"['25,176', '']","['27,654', '']","['29,285', '']","['29,977', '']","['15,712', '']","['18,091', '']","['17,947', '']","['19,168', '']"
3166,r013,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,12,"['25,089', '']","['26,177', '']","['26,254', '']","['28,342', '']","['14,767', '']","['16,340', '']","['16,038', '']","['17,970', '']"
3166,r014,All institutions -> Cornell U.,All institutions,Cornell U.,2,13,"['24,456', '']","['25,643', '']","['25,958', '']","['26,542', '']","['17,258', '']","['19,658', '']","['15,966', '']","['19,679', '']"
3166,r015,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,14,"['25,147', '']","['23,685', '']","['24,620', '']","['26,369', '']","['15,073', '']","['14,400', '']","['15,032', '']","['17,502', '']"
3166,r016,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,15,"['25,127', '']","['24,609', '']","['26,409', '']","['25,802', '']","['16,097', '']","['15,267', '']","['16,774', '']","['17,973', '']"
3166,r017,All institutions -> Stanford U.,All institutions,Stanford U.,2,16,"['26,757', '']","['26,834', '']","['22,807', '']","['25,306', '']","['21,963', '']","['23,436', '']","['19,329', '']","['22,382', '']"
