table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019_all_non_s_e_fields,field_2019_business_management_and_business_administration,field_2019_communication_and_communications_technologies,field_2019_education,field_2019_humanities,field_2019_law,field_2019_social_work,field_2019_visual_and_performing_arts,field_2019_other
3172,r001,All institutions,All institutions,,1,-,"['1,207,166', '']","['1,240,092', '']","['1,236,233', '']","['73,296', '']","['35,467', '']","['662,423', '']","['49,747', '']","['31,585', '']","['133,080', '']","['9,091', '']","['241,544', '']"
3172,r002,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,1,"['39,882', '']","['33,703', '']","['34,540', '']","['154', '']","['3,945', '']","['17,892', '']","['646', '']","['122', '']","['10,079', '']","['50', '']","['1,652', '']"
3172,r003,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,2,"['37,157', '']","['35,400', '']","['32,570', '']","['523', '']","['349', '']","['11,346', '']","['1,225', '']","['49', '']","['1,679', '']","['248', '']","['17,151', '']"
3172,r004,All institutions -> U. Kansas,All institutions,U. Kansas,2,3,"['22,069', '']","['25,111', '']","['28,015', '']","['47', '']","['0', '']","['18,357', '']","['263', '']","['0', '']","['7,060', '']","['68', '']","['2,220', '']"
3172,r005,All institutions -> Stanford U.,All institutions,Stanford U.,2,4,"['25,770', '']","['25,572', '']","['25,269', '']","['78', '']","['463', '']","['24,499', '']","['207', '']","['0', '']","['0', '']","['0', '']","['22', '']"
3172,r006,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,5,"['10,216', '']","['15,026', '']","['22,034', '']","['11', '']","['0', '']","['21,911', '']","['79', '']","['0', '']","['0', '']","['0', '']","['33', '']"
3172,r007,All institutions -> Washington State U.,All institutions,Washington State U.,2,6,"['19,535', '']","['19,904', '']","['21,558', '']","['2,938', '']","['1,147', '']","['13,220', '']","['256', '']","['298', '']","['148', '']","['0', '']","['3,551', '']"
3172,r008,All institutions -> New York U.,All institutions,New York U.,2,7,"['21,197', '']","['20,698', '']","['20,713', '']","['257', '']","['0', '']","['15,531', '']","['10', '']","['100', '']","['2,625', '']","['250', '']","['1,940', '']"
3172,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['19,058', '']","['18,177', '']","['20,430', '']","['1,123', '']","['857', '']","['14,176', '']","['70', '']","['0', '']","['2,941', '']","['18', '']","['1,245', '']"
3172,r010,All institutions -> U. Utah,All institutions,U. Utah,2,9,"['30,503', '']","['5,258', '']","['20,428', '']","['3', '']","['1,208', '']","['528', '']","['186', '']","['0', '']","['4,186', '']","['0', '']","['14,317', '']"
3172,r011,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,10,"['13,717', '']","['19,007', '']","['19,322', '']","['0', '']","['0', '']","['15,939', '']","['1,816', '']","['518', '']","['0', '']","['7', '']","['1,042', '']"
3172,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['18,403', '']","['19,588', '']","['18,990', '']","['435', '']","['398', '']","['5,221', '']","['233', '']","['0', '']","['10,599', '']","['39', '']","['2,065', '']"
3172,r013,All institutions -> U. Florida,All institutions,U. Florida,2,12,"['13,101', '']","['14,792', '']","['18,905', '']","['2,780', '']","['645', '']","['11,352', '']","['45', '']","['69', '']","['0', '']","['94', '']","['3,920', '']"
3172,r014,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,13,"['na', '']","['na', '']","['18,754', '']","['562', '']","['1', '']","['1,909', '']","['1,435', '']","['69', '']","['10,609', '']","['237', '']","['3,932', '']"
3172,r015,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,14,"['20,145', '']","['21,309', '']","['18,643', '']","['1,065', '']","['0', '']","['4,550', '']","['0', '']","['0', '']","['0', '']","['0', '']","['13,028', '']"
3172,r016,All institutions -> Florida State U.,All institutions,Florida State U.,2,15,"['15,919', '']","['17,749', '']","['18,312', '']","['174', '']","['1,565', '']","['16,055', '']","['8', '']","['54', '']","['381', '']","['17', '']","['58', '']"
3172,r017,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,16,"['15,513', '']","['16,011', '']","['17,220', '']","['1,148', '']","['168', '']","['14,711', '']","['56', '']","['0', '']","['514', '']","['54', '']","['569', '']"
3172,r018,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,17,"['13,054', '']","['16,997', '']","['17,219', '']","['694', '']","['0', '']","['14,442', '']","['203', '']","['250', '']","['0', '']","['3', '']","['1,627', '']"
3172,r019,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,18,"['20,244', '']","['17,592', '']","['16,900', '']","['0', '']","['6', '']","['16,234', '']","['60', '']","['0', '']","['332', '']","['1', '']","['267', '']"
3172,r020,All institutions -> U. Oregon,All institutions,U. Oregon,2,19,"['12,506', '']","['15,165', '']","['16,171', '']","['90', '']","['121', '']","['13,901', '']","['1,212', '']","['70', '']","['0', '']","['0', '']","['777', '']"
3172,r021,All institutions -> Texas State U.,All institutions,Texas State U.,2,20,"['14,393', '']","['18,016', '']","['16,111', '']","['18', '']","['0', '']","['5,919', '']","['10', '']","['10,097', '']","['0', '']","['0', '']","['67', '']"
