table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hbcus_number_all_s_e_graduate_students,field_hbcus_number_female,field_hbcus_number_male,field_hbcus_all_s_e_graduate_students,field_hbcus_female,field_hbcus_male
3239,r001,All S&E graduate students,All S&E graduate students,,,,1,28879,16253,12626,3311,2016,1295,11.47,12.4,10.26
3239,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,2,24844,15052,9792,2917,1886,1031,11.74,12.53,10.53
3239,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,3,354,213,141,152,102,50,42.94,47.89,35.46
3239,r004,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,3,4923,3294,1629,657,444,213,13.35,13.48,13.08
3239,r005,All S&E graduate students -> Science -> Computer and information sciences,All S&E graduate students,Science,Computer and information sciences,,3,4946,1793,3153,396,153,243,8.01,8.53,7.71
3239,r006,"All S&E graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,240,120,120,34,18,16,14.17,15.0,13.33
3239,r007,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,3,676,271,405,97,49,48,14.35,18.08,11.85
3239,r008,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,709,430,279,10,4,6,1.41,0.93,2.15
3239,r009,All S&E graduate students -> Science -> Natural resources and conservation,All S&E graduate students,Science,Natural resources and conservation,,3,364,212,152,104,58,46,28.57,27.36,30.26
3239,r010,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,3,1007,468,539,156,91,65,15.49,19.44,12.06
3239,r011,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,3,5431,4309,1122,609,478,131,11.21,11.09,11.68
3239,r012,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,3,6194,3942,2252,702,489,213,11.33,12.4,9.46
3239,r013,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,2,4035,1201,2834,394,130,264,9.76,10.82,9.32
3239,r014,"All S&E graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,96,22,74,0,0,0,0.0,0.0,0.0
3239,r015,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,3,25,14,11,0,0,0,0.0,0.0,0.0
3239,r016,All S&E graduate students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Engineering,Bioengineering and biomedical engineering,,3,375,178,197,18,10,8,4.8,5.62,4.06
3239,r017,All S&E graduate students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Engineering,Biological and biosystems engineering,,3,3,3,0,0,0,0,0.0,0.0,0.0
3239,r018,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,3,203,79,124,13,6,7,6.4,7.59,5.65
3239,r019,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,3,470,151,319,16,9,7,3.4,5.96,2.19
3239,r020,"All S&E graduate students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Engineering,"Electrical, electronics, and communications engineering",,3,880,154,726,125,29,96,14.2,18.83,13.22
3239,r021,"All S&E graduate students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Engineering,"Engineering mechanics, physics, and science",,3,49,13,36,0,0,0,0.0,0.0,0.0
