table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3278,r001,"Science, all institutions","Science, all institutions",,,1,10754,-
3278,r002,"Science, all institutions -> Foreign or unknown institutions","Science, all institutions",Foreign or unknown institutions,,2,3502,-
3278,r003,"Science, all institutions -> Top 50 U.S. institutions","Science, all institutions",Top 50 U.S. institutions,,2,3492,-
3278,r004,"Science, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Rio Piedras","Science, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Rio Piedras",3,284,Yes
3278,r005,"Science, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Mayaguez","Science, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Mayaguez",3,200,Yes
3278,r006,"Science, all institutions -> Top 50 U.S. institutions -> U. California, Los Angeles","Science, all institutions",Top 50 U.S. institutions,"U. California, Los Angeles",3,138,No
3278,r007,"Science, all institutions -> Top 50 U.S. institutions -> Florida International U.","Science, all institutions",Top 50 U.S. institutions,Florida International U.,3,136,Yes
3278,r008,"Science, all institutions -> Top 50 U.S. institutions -> U. Texas, El Paso","Science, all institutions",Top 50 U.S. institutions,"U. Texas, El Paso",3,129,Yes
3278,r009,"Science, all institutions -> Top 50 U.S. institutions -> U. Florida","Science, all institutions",Top 50 U.S. institutions,U. Florida,3,124,No
3278,r010,"Science, all institutions -> Top 50 U.S. institutions -> U. California, Berkeley","Science, all institutions",Top 50 U.S. institutions,"U. California, Berkeley",3,116,No
3278,r011,"Science, all institutions -> Top 50 U.S. institutions -> U. California, Davis","Science, all institutions",Top 50 U.S. institutions,"U. California, Davis",3,110,No
3278,r012,"Science, all institutions -> Top 50 U.S. institutions -> U. Texas, Austin","Science, all institutions",Top 50 U.S. institutions,"U. Texas, Austin",3,108,No
3278,r013,"Science, all institutions -> Top 50 U.S. institutions -> U. California, Irvine","Science, all institutions",Top 50 U.S. institutions,"U. California, Irvine",3,99,Yes
3278,r014,"Science, all institutions -> Top 50 U.S. institutions -> U. California, San Diego","Science, all institutions",Top 50 U.S. institutions,"U. California, San Diego",3,93,No
3278,r015,"Science, all institutions -> Top 50 U.S. institutions -> U. Arizona","Science, all institutions",Top 50 U.S. institutions,U. Arizona,3,91,Yes
