table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients
3295,r001,All institutions,All institutions,,,1,62705
3295,r002,All institutions -> Foreign or unknown institutions,All institutions,Foreign or unknown institutions,,2,50019
3295,r003,All institutions -> Top 50 U.S. institutions,All institutions,Top 50 U.S. institutions,,2,7617
3295,r004,"All institutions -> Top 50 U.S. institutions -> U. California, Berkeley",All institutions,Top 50 U.S. institutions,"U. California, Berkeley",3,783
3295,r005,"All institutions -> Top 50 U.S. institutions -> U. California, Los Angeles",All institutions,Top 50 U.S. institutions,"U. California, Los Angeles",3,391
3295,r006,All institutions -> Top 50 U.S. institutions -> Cornell U.,All institutions,Top 50 U.S. institutions,Cornell U.,3,340
3295,r007,"All institutions -> Top 50 U.S. institutions -> U. California, San Diego",All institutions,Top 50 U.S. institutions,"U. California, San Diego",3,325
3295,r008,"All institutions -> Top 50 U.S. institutions -> U. Michigan, Ann Arbor",All institutions,Top 50 U.S. institutions,"U. Michigan, Ann Arbor",3,298
3295,r009,All institutions -> Top 50 U.S. institutions -> Massachusetts Institute of Technology,All institutions,Top 50 U.S. institutions,Massachusetts Institute of Technology,3,294
3295,r010,"All institutions -> Top 50 U.S. institutions -> U. Illinois, Urbana-Champaign",All institutions,Top 50 U.S. institutions,"U. Illinois, Urbana-Champaign",3,259
3295,r011,"All institutions -> Top 50 U.S. institutions -> U. California, Davis",All institutions,Top 50 U.S. institutions,"U. California, Davis",3,218
3295,r012,All institutions -> Top 50 U.S. institutions -> Harvard U.,All institutions,Top 50 U.S. institutions,Harvard U.,3,195
3295,r013,All institutions -> Top 50 U.S. institutions -> Johns Hopkins U.,All institutions,Top 50 U.S. institutions,Johns Hopkins U.,3,189
3295,r014,"All institutions -> Top 50 U.S. institutions -> U. Texas, Austin",All institutions,Top 50 U.S. institutions,"U. Texas, Austin",3,185
3295,r015,All institutions -> Top 50 U.S. institutions -> Stanford U.,All institutions,Top 50 U.S. institutions,Stanford U.,3,177
3295,r016,"All institutions -> Top 50 U.S. institutions -> Purdue U., West Lafayette",All institutions,Top 50 U.S. institutions,"Purdue U., West Lafayette",3,174
3295,r017,"All institutions -> Top 50 U.S. institutions -> U. Washington, Seattle",All institutions,Top 50 U.S. institutions,"U. Washington, Seattle",3,174
3295,r018,All institutions -> Top 50 U.S. institutions -> California Institute of Technology,All institutions,Top 50 U.S. institutions,California Institute of Technology,3,171
3295,r019,"All institutions -> Top 50 U.S. institutions -> U. California, Irvine",All institutions,Top 50 U.S. institutions,"U. California, Irvine",3,170
3295,r020,All institutions -> Top 50 U.S. institutions -> U. Wisconsin-Madison,All institutions,Top 50 U.S. institutions,U. Wisconsin-Madison,3,160
3295,r021,All institutions -> Top 50 U.S. institutions -> Duke U.,All institutions,Top 50 U.S. institutions,Duke U.,3,147
3295,r022,"All institutions -> Top 50 U.S. institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,Top 50 U.S. institutions,"Rutgers, State U. New Jersey, New Brunswick",3,142
3295,r023,All institutions -> Top 50 U.S. institutions -> Princeton U.,All institutions,Top 50 U.S. institutions,Princeton U.,3,141
3295,r024,All institutions -> Top 50 U.S. institutions -> U. Chicago,All institutions,Top 50 U.S. institutions,U. Chicago,3,140
3295,r025,All institutions -> Top 50 U.S. institutions -> Columbia U. in the City of New York,All institutions,Top 50 U.S. institutions,Columbia U. in the City of New York,3,136
3295,r026,All institutions -> Top 50 U.S. institutions -> Georgia Institute of Technology,All institutions,Top 50 U.S. institutions,Georgia Institute of Technology,3,136
3295,r027,All institutions -> Top 50 U.S. institutions -> U. Pennsylvania,All institutions,Top 50 U.S. institutions,U. Pennsylvania,3,135
3295,r028,All institutions -> Top 50 U.S. institutions -> Carnegie Mellon U.,All institutions,Top 50 U.S. institutions,Carnegie Mellon U.,3,122
3295,r029,"All institutions -> Top 50 U.S. institutions -> U. Maryland, College Park",All institutions,Top 50 U.S. institutions,"U. Maryland, College Park",3,122
3295,r030,"All institutions -> Top 50 U.S. institutions -> U. Minnesota, Twin Cities",All institutions,Top 50 U.S. institutions,"U. Minnesota, Twin Cities",3,114
3295,r031,All institutions -> Top 50 U.S. institutions -> Northwestern U.,All institutions,Top 50 U.S. institutions,Northwestern U.,3,99
3295,r032,"All institutions -> Top 50 U.S. institutions -> U. Virginia, Charlottesville",All institutions,Top 50 U.S. institutions,"U. Virginia, Charlottesville",3,99
3295,r033,All institutions -> Top 50 U.S. institutions -> Brown U.,All institutions,Top 50 U.S. institutions,Brown U.,3,97
3295,r034,"All institutions -> Top 50 U.S. institutions -> SUNY, Stony Brook U.",All institutions,Top 50 U.S. institutions,"SUNY, Stony Brook U.",3,90
3295,r035,All institutions -> Top 50 U.S. institutions -> New York U.,All institutions,Top 50 U.S. institutions,New York U.,3,89
3295,r036,All institutions -> Top 50 U.S. institutions -> Yale U.,All institutions,Top 50 U.S. institutions,Yale U.,3,86
3295,r037,"All institutions -> Top 50 U.S. institutions -> Washington U., Saint Louis",All institutions,Top 50 U.S. institutions,"Washington U., Saint Louis",3,85
3295,r038,"All institutions -> Top 50 U.S. institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,Top 50 U.S. institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,84
3295,r039,All institutions -> Top 50 U.S. institutions -> Rice U.,All institutions,Top 50 U.S. institutions,Rice U.,3,84
