table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_level_5,occupation_hierarchy_depth,field_all_degreesa_total,field_all_degreesa_without_disability,field_all_degreesa_with_disability,field_bachelor_s_total,field_bachelor_s_without_disability,field_bachelor_s_with_disability,field_master_s_total,field_master_s_without_disability,field_master_s_with_disability,field_doctorate_total,field_doctorate_without_disability,field_doctorate_with_disability
3315,r001,All occupations,All occupations,,,,,1,28627000,25699000,2928000,16042000,14245000,1797000,8624000,7787000,837000,1761000,1614000,147000
3315,r002,All occupations -> S&E occupations,All occupations,S&E occupations,,,,2,7466000,6795000,671000,4176000,3742000,433000,2286000,2121000,165000,938000,869000,69000
3315,r003,All occupations -> S&E occupations -> Science occupations,All occupations,S&E occupations,Science occupations,,,3,5545000,5050000,495000,3017000,2695000,323000,1667000,1556000,110000,799000,741000,58000
3315,r004,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",,4,698000,642000,56000,277000,253000,24000,152000,143000,9000,254000,233000,22000
3315,r005,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Agricultural/ food scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Agricultural/ food scientist,5,58000,51000,S,29000,26000,S,15000,15000,0.05,13000,10000,S
3315,r006,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Biological and medical scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Biological and medical scientist,5,500000,468000,32000,206000,192000,14000,111000,103000,7000,174000,164000,10000
3315,r007,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Environmental life scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Environmental life scientist,5,39000,37000,2000,28000,26000,1000,8000,7000,1000,3000,3000,
3315,r008,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Postsecondary teacher",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Postsecondary teacher,5,101000,86000,16000,15000,9000,S,19000,18000,S,64000,56000,8000
3315,r009,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist,All occupations,S&E occupations,Science occupations,Computer and information scientist,,4,3409000,3106000,303000,2277000,2033000,244000,1014000,959000,55000,107000,102000,5000
3315,r010,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist -> Computer/ information scientist,All occupations,S&E occupations,Science occupations,Computer and information scientist,Computer/ information scientist,5,3379000,3078000,301000,2271000,2028000,243000,1001000,948000,53000,95000,91000,4000
3315,r011,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist -> Postsecondary teacher,All occupations,S&E occupations,Science occupations,Computer and information scientist,Postsecondary teacher,5,30000,28000,3000,6000,5000,,13000,11000,S,11000,11000,
3315,r012,All occupations -> S&E occupations -> Science occupations -> Mathematical scientist,All occupations,S&E occupations,Science occupations,Mathematical scientist,,4,365000,339000,26000,126000,114000,12000,154000,143000,11000,82000,79000,3000
3315,r013,All occupations -> S&E occupations -> Science occupations -> Mathematical scientist -> Mathematical scientist,All occupations,S&E occupations,Science occupations,Mathematical scientist,Mathematical scientist,5,284000,263000,21000,115000,104000,11000,115000,106000,9000,51000,50000,1000
3315,r014,All occupations -> S&E occupations -> Science occupations -> Mathematical scientist -> Postsecondary teacher,All occupations,S&E occupations,Science occupations,Mathematical scientist,Postsecondary teacher,5,81000,76000,5000,11000,10000,,39000,37000,2000,31000,29000,2000
3315,r015,All occupations -> S&E occupations -> Science occupations -> Physical scientist,All occupations,S&E occupations,Science occupations,Physical scientist,,4,409000,364000,46000,189000,160000,29000,97000,89000,8000,121000,113000,9000
3315,r016,"All occupations -> S&E occupations -> Science occupations -> Physical scientist -> Chemist, except biochemist",All occupations,S&E occupations,Science occupations,Physical scientist,"Chemist, except biochemist",5,132000,113000,20000,71000,54000,S,32000,31000,1000,29000,28000,S
3315,r017,"All occupations -> S&E occupations -> Science occupations -> Physical scientist -> Earth, atmospheric, and ocean scientist",All occupations,S&E occupations,Science occupations,Physical scientist,"Earth, atmospheric, and ocean scientist",5,85000,77000,7000,45000,42000,3000,25000,22000,3000,13000,13000,
3315,r018,All occupations -> S&E occupations -> Science occupations -> Physical scientist -> Physicist,All occupations,S&E occupations,Science occupations,Physical scientist,Physicist,5,45000,40000,5000,10000,8000,S,11000,10000,,24000,22000,1000
3315,r019,"All occupations -> S&E occupations -> Science occupations -> Physical scientist -> Other physical and related scientist, including astronomer",All occupations,S&E occupations,Science occupations,Physical scientist,"Other physical and related scientist, including astronomer",5,67000,59000,8000,41000,37000,4000,17000,15000,2000,9000,7000,S
