table_id,row_id,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_tenured,field_not_tenured_on_tenure_track,field_not_tenured_not_on_tenure_track,field_tenure_not_applicable
3318,r001,All occupations,All occupations,,,,,,1,344350,160500,50850,52200,80800
3318,r002,All occupations -> Female,All occupations,Female,,,,,2,132500,50350,21600,22500,38050
3318,r003,All occupations -> Female -> Less than 10,All occupations,Female,Less than 10,,,,3,49550,4250,16100,10600,18600
3318,r004,All occupations -> Female -> 10&#8211;19,All occupations,Female,10&#8211;19,,,,3,43050,20700,4650,6800,10900
3318,r005,All occupations -> Female -> 20&#8211;29,All occupations,Female,20&#8211;29,,,,3,26200,16200,600,3750,5650
3318,r006,All occupations -> Female -> 30 or more,All occupations,Female,30 or more,,,,3,13700,9250,200,1400,2900
3318,r007,All occupations -> Male,All occupations,Male,,,,,2,211850,110100,29300,29650,42800
3318,r008,All occupations -> Male -> Less than 10,All occupations,Male,Less than 10,,,,3,58550,6050,21600,12950,17900
3318,r009,All occupations -> Male -> 10&#8211;19,All occupations,Male,10&#8211;19,,,,3,57650,34600,6850,7000,9200
3318,r010,All occupations -> Male -> 20&#8211;29,All occupations,Male,20&#8211;29,,,,3,47450,34900,600,4550,7350
3318,r011,All occupations -> Male -> 30 or more,All occupations,Male,30 or more,,,,3,48250,34550,200,5150,8300
3318,r012,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,,2,266300,127450,41550,39450,57850
3318,r013,All occupations -> S&E occupations<sup>a</sup> -> Female,All occupations,S&E occupations<sup>a</sup>,Female,,,,3,94050,36750,16200,15550,25550
3318,r014,All occupations -> S&E occupations<sup>a</sup> -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Female,Less than 10,,,4,36550,2950,12400,7650,13500
3318,r015,All occupations -> S&E occupations<sup>a</sup> -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Female,10&#8211;19,,,4,30300,15500,3300,4600,6900
3318,r016,All occupations -> S&E occupations<sup>a</sup> -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Female,20&#8211;29,,,4,17750,11750,400,2300,3300
3318,r017,All occupations -> S&E occupations<sup>a</sup> -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Female,30 or more,,,4,9450,6500,100,1000,1850
3318,r018,All occupations -> S&E occupations<sup>a</sup> -> Male,All occupations,S&E occupations<sup>a</sup>,Male,,,,3,172250,90700,25350,23850,32350
3318,r019,All occupations -> S&E occupations<sup>a</sup> -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Male,Less than 10,,,4,50050,5200,19100,11050,14700
3318,r020,All occupations -> S&E occupations<sup>a</sup> -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Male,10&#8211;19,,,4,47050,29250,5600,5600,6600
3318,r021,All occupations -> S&E occupations<sup>a</sup> -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Male,20&#8211;29,,,4,37300,28300,450,3550,5000
3318,r022,All occupations -> S&E occupations<sup>a</sup> -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Male,30 or more,,,4,37850,28000,150,3650,6050
3318,r023,All occupations -> S&E occupations<sup>a</sup> -> Science occupations,All occupations,S&E occupations<sup>a</sup>,Science occupations,,,,3,230400,108400,34900,34900,52200
3318,r024,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Female,All occupations,S&E occupations<sup>a</sup>,Science occupations,Female,,,4,88050,34300,14700,14800,24300
3318,r025,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Science occupations,Female,Less than 10,,5,33800,2750,11100,7200,12750
3318,r026,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Science occupations,Female,10&#8211;19,,5,28550,14400,3150,4400,6600
3318,r027,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Science occupations,Female,20&#8211;29,,5,16550,10900,400,2200,3100
3318,r028,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Science occupations,Female,30 or more,,5,9150,6250,100,1000,1800
3318,r029,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Male,All occupations,S&E occupations<sup>a</sup>,Science occupations,Male,,,4,142300,74100,20150,20100,27900
3318,r030,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Science occupations,Male,Less than 10,,5,40750,4050,14800,9200,12700
3318,r031,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Science occupations,Male,10&#8211;19,,5,39500,24050,4900,4850,5650
3318,r032,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Science occupations,Male,20&#8211;29,,5,30300,22500,350,3150,4300
3318,r033,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Science occupations,Male,30 or more,,5,31800,23500,100,2950,5250
3318,r034,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,,,4,76650,27400,10450,15000,23800
3318,r035,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,,5,31550,8200,4500,6450,12350
3318,r036,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,Less than 10,6,13050,300,2450,3150,7150
3318,r037,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,10&#8211;19,6,9950,3150,1800,1900,3100
3318,r038,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,20&#8211;29,6,5550,2800,200,1050,1450
3318,r039,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,30 or more,6,3000,1950,,350,700
3318,r040,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,,5,45100,19200,5950,8550,11450
