table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_tenured,field_on_tenure_track,field_not_on_tenure_track,field_tenure_not_applicable
3320,r001,All occupations,All occupations,,,,,,1,344350,160500,50850,52200,80800
3320,r002,All occupations -> Female,All occupations,Female,,,,,2,132500,50350,21600,22500,38050
3320,r003,All occupations -> Female -> White,All occupations,Female,White,,,,3,92800,37950,14250,15450,25200
3320,r004,All occupations -> Female -> Asian,All occupations,Female,Asian,,,,3,23300,7100,3850,4000,8350
3320,r005,All occupations -> Female -> Black or African American,All occupations,Female,Black or African American,,,,3,6550,2250,1250,1200,1850
3320,r006,All occupations -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,Female,Hispanic or Latino<sup>a</sup>,,,,3,7200,2350,1550,1400,1950
3320,r007,All occupations -> Female -> American Indian or Alaska Native,All occupations,Female,American Indian or Alaska Native,,,,3,250,100,50,S,50
3320,r008,All occupations -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,Female,Native Hawaiian or Other Pacific Islander,,,,3,200,50,50,S,50
3320,r009,All occupations -> Female -> More than one race<sup>b</sup>,All occupations,Female,More than one race<sup>b</sup>,,,,3,2200,600,550,400,600
3320,r010,All occupations -> Male,All occupations,Male,,,,,2,211850,110100,29300,29650,42800
3320,r011,All occupations -> Male -> White,All occupations,Male,White,,,,3,147300,80550,17550,20100,29050
3320,r012,All occupations -> Male -> Asian,All occupations,Male,Asian,,,,3,45650,20300,8650,6850,9900
3320,r013,All occupations -> Male -> Black or African American,All occupations,Male,Black or African American,,,,3,7150,3550,1200,1050,1400
3320,r014,All occupations -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,Male,Hispanic or Latino<sup>a</sup>,,,,3,9150,4550,1500,1250,1900
3320,r015,All occupations -> Male -> American Indian or Alaska Native,All occupations,Male,American Indian or Alaska Native,,,,3,350,200,50,50,50
3320,r016,All occupations -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,Male,Native Hawaiian or Other Pacific Islander,,,,3,150,50,,S,50
3320,r017,All occupations -> Male -> More than one race<sup>b</sup>,All occupations,Male,More than one race<sup>b</sup>,,,,3,2100,900,400,350,450
3320,r018,All occupations -> S&E occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,,,,,2,266300,127450,41550,39450,57850
3320,r019,All occupations -> S&E occupations<sup>c</sup> -> Female,All occupations,S&E occupations<sup>c</sup>,Female,,,,3,94050,36750,16200,15550,25550
3320,r020,All occupations -> S&E occupations<sup>c</sup> -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Female,White,,,4,65050,27600,10900,10650,15950
3320,r021,All occupations -> S&E occupations<sup>c</sup> -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Female,Asian,,,4,17850,5400,2900,3000,6550
3320,r022,All occupations -> S&E occupations<sup>c</sup> -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Female,Black or African American,,,4,3800,1400,650,700,1050
3320,r023,All occupations -> S&E occupations<sup>c</sup> -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Female,Hispanic or Latino<sup>a</sup>,,,4,5400,1850,1100,950,1450
3320,r024,All occupations -> S&E occupations<sup>c</sup> -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Female,American Indian or Alaska Native,,,4,150,50,50,,50
3320,r025,All occupations -> S&E occupations<sup>c</sup> -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Female,Native Hawaiian or Other Pacific Islander,,,4,150,50,S,,
3320,r026,All occupations -> S&E occupations<sup>c</sup> -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Female,More than one race<sup>b</sup>,,,4,1650,400,500,250,500
3320,r027,All occupations -> S&E occupations<sup>c</sup> -> Male,All occupations,S&E occupations<sup>c</sup>,Male,,,,3,172250,90700,25350,23850,32350
3320,r028,All occupations -> S&E occupations<sup>c</sup> -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Male,White,,,4,118500,66000,15200,15800,21550
3320,r029,All occupations -> S&E occupations<sup>c</sup> -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Male,Asian,,,4,38650,17100,7600,5850,8100
3320,r030,All occupations -> S&E occupations<sup>c</sup> -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Male,Black or African American,,,4,5550,2900,950,850,850
3320,r031,All occupations -> S&E occupations<sup>c</sup> -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Male,Hispanic or Latino<sup>a</sup>,,,4,7600,3800,1300,1050,1500
3320,r032,All occupations -> S&E occupations<sup>c</sup> -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Male,American Indian or Alaska Native,,,4,200,150,,S,
3320,r033,All occupations -> S&E occupations<sup>c</sup> -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Male,Native Hawaiian or Other Pacific Islander,,,4,100,S,,,0.05
3320,r034,All occupations -> S&E occupations<sup>c</sup> -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Male,More than one race<sup>b</sup>,,,4,1700,800,350,250,300
3320,r035,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,,,,3,230400,108400,34900,34900,52200
3320,r036,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,,,4,88050,34300,14700,14800,24300
3320,r037,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,White,,5,61550,26200,9950,10150,15200
3320,r038,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,Asian,,5,16050,4600,2450,2800,6150
3320,r039,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,Black or African American,,5,3550,1300,650,600,1000
3320,r040,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,Hispanic or Latino<sup>a</sup>,,5,5100,1750,1050,900,1400
3320,r041,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,American Indian or Alaska Native,,5,150,50,50,,50
3320,r042,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,Native Hawaiian or Other Pacific Islander,,5,150,50,S,,
3320,r043,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Female,More than one race<sup>b</sup>,,5,1600,400,500,250,450
3320,r044,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,,,4,142300,74100,20150,20100,27900
3320,r045,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,White,,5,101900,56500,12750,13900,18800
3320,r046,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,Asian,,5,27800,11200,5300,4450,6800
3320,r047,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,Black or African American,,5,4650,2450,750,750,700
3320,r048,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,Hispanic or Latino<sup>a</sup>,,5,6300,3100,1100,800,1300
3320,r049,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,American Indian or Alaska Native,,5,150,100,,,
3320,r050,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,Native Hawaiian or Other Pacific Islander,,5,50,,,,
3320,r051,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Male,More than one race<sup>b</sup>,,5,1400,700,250,200,250
3320,r052,All occupations -> S&E occupations<sup>c</sup> -> Science occupations<sup>c</sup> -> Biological/ agricultural/ other life scientist,All occupations,S&E occupations<sup>c</sup>,Science occupations<sup>c</sup>,Biological/ agricultural/ other life scientist,,,4,76650,27400,10450,15000,23800
