table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3365,r001,R&D and R&D plant,R&D and R&D plant,,,,1,165,175,169,6.1,-3.4
3365,r002,R&D and R&D plant -> Department of Housing and Urban Development (451),R&D and R&D plant,Department of Housing and Urban Development (451),,,2,64,68,68,6.3,0.0
3365,r003,R&D and R&D plant -> Department of the Interior (452),R&D and R&D plant,Department of the Interior (452),,,2,5,5,5,0.0,0.0
3365,r004,R&D and R&D plant -> Department of the Interior (452) -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,Department of the Interior (452),Bureau of Indian Affairs and Bureau of Indian Education,,3,5,5,5,0.0,0.0
3365,r005,R&D and R&D plant -> Appalachian Regional Commission,R&D and R&D plant,Appalachian Regional Commission,,,2,96,102,96,6.3,-5.9
3365,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,165,175,169,6.1,-3.4
3365,r007,R&D and R&D plant -> R&D -> Department of Housing and Urban Development (451),R&D and R&D plant,R&D,Department of Housing and Urban Development (451),,3,64,68,68,6.3,0.0
3365,r008,R&D and R&D plant -> R&D -> Department of the Interior (452),R&D and R&D plant,R&D,Department of the Interior (452),,3,5,5,5,0.0,0.0
3365,r009,R&D and R&D plant -> R&D -> Department of the Interior (452) -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,R&D,Department of the Interior (452),Bureau of Indian Affairs and Bureau of Indian Education,4,5,5,5,0.0,0.0
3365,r010,R&D and R&D plant -> R&D -> Appalachian Regional Commission,R&D and R&D plant,R&D,Appalachian Regional Commission,,3,96,102,96,6.3,-5.9
