table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3377,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,920,1003,854,9.0,-14.8
3377,r002,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,,,,,
3377,r003,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,893,976,827,9.3,-15.2
3377,r004,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau,,,4,122,155,163,27.0,5.2
3377,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,,4,763,805,652,5.5,-19.0
3377,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,,5,106,118,60,11.3,-48.9
3377,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,,5,11,13,5,17.4,-61.5
3377,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,,5,646,674,587,4.3,-12.9
3377,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,0,8,0,--,-100.0
3377,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,0,8,0,--,-100.0
3377,r011,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,,4,8,8,12,0.0,50.0
3377,r012,R&D and R&D plant -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,Other advancement of commerce (376),Postal Service,,,,3,27,27,27,0.0,0.0
3377,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,783,853,762,9.0,-10.7
3377,r014,R&D and R&D plant -> R&D -> Other advancement of commerce (376),R&D and R&D plant,R&D,Other advancement of commerce (376),,,,3,,,,,
