table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_total_both_sexes,field_total_female,field_total_male,field_without_disability_both_sexes,field_without_disability_female,field_without_disability_male,field_with_disability_both_sexes,field_with_disability_female,field_with_disability_male
3402,r001,Employed scientists and engineers (number),Employed scientists and engineers (number),,,,1,28627000,13720000,14907000,25699000,12446000,13253000,2928000,1275000,1654000
3402,r002,Employed scientists and engineers (number) -> Age (years),Employed scientists and engineers (number),Age (years),,,2,,,,,,,,,
3402,r003,Employed scientists and engineers (number) -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Age (years),29 and younger,,3,15.7,18.1,13.6,16.2,18.4,14.2,11.7,14.9,9.2
3402,r004,Employed scientists and engineers (number) -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Age (years),30&#8211;39,,3,27.4,28.5,26.4,28.7,29.7,27.8,15.7,16.5,15.1
3402,r005,Employed scientists and engineers (number) -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Age (years),40&#8211;49,,3,23.1,23.2,23.0,23.4,23.3,23.5,20.5,21.8,19.6
3402,r006,Employed scientists and engineers (number) -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Age (years),50&#8211;75,,3,33.7,30.3,36.9,31.7,28.6,34.6,52.1,46.8,56.1
3402,r007,Employed scientists and engineers (number) -> Ethnicity and race,Employed scientists and engineers (number),Ethnicity and race,,,2,,,,,,,,,
3402,r008,Employed scientists and engineers (number) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employed scientists and engineers (number),Ethnicity and race,Hispanic or Latino<sup>a</sup>,,3,9.2,10.0,8.5,8.9,9.4,8.4,12.1,15.7,9.3
3402,r009,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,
3402,r010,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native,4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
