table_id,row_id,sex_ethnicity_race_and_disability_status_full_path,sex_ethnicity_race_and_disability_status_level_1,sex_ethnicity_race_and_disability_status_level_2,sex_ethnicity_race_and_disability_status_level_3,sex_ethnicity_race_and_disability_status_hierarchy_depth,field_all_not_working,field_chronic_illness_or_permanent_disability,field_did_not_need_or_want_to_work,field_family_responsibilities,field_laid_off,field_retireda,field_student,field_suitable_job_not_available,field_other
3403,r001,All groups,All groups,,,1,6913000,682000,1462000,1221000,302000,4125000,508000,544000,434000
3403,r002,All groups -> Female,All groups,Female,,2,3782000,392000,938000,1030000,104000,1862000,279000,282000,288000
3403,r003,All groups -> Male,All groups,Male,,2,3131000,291000,525000,191000,198000,2264000,229000,262000,146000
3403,r004,All groups -> Hispanic or Latino<sup>b</sup>,All groups,Hispanic or Latino<sup>b</sup>,,2,468000,66000,76000,113000,29000,173000,64000,72000,57000
3403,r005,All groups -> Not Hispanic or Latino,All groups,Not Hispanic or Latino,,2,,,,,,,,,
3403,r006,All groups -> Not Hispanic or Latino -> American Indian or Alaska Native,All groups,Not Hispanic or Latino,American Indian or Alaska Native,3,26000,7000,S,S,,8000,S,3000,
3403,r007,All groups -> Not Hispanic or Latino -> Asian,All groups,Not Hispanic or Latino,Asian,3,800000,29000,138000,236000,52000,266000,124000,93000,118000
3403,r008,All groups -> Not Hispanic or Latino -> Black or African American,All groups,Not Hispanic or Latino,Black or African American,3,387000,74000,61000,63000,48000,180000,45000,55000,37000
3403,r009,All groups -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All groups,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,20000,,S,S,,S,,,
3403,r010,All groups -> Not Hispanic or Latino -> White,All groups,Not Hispanic or Latino,White,3,5102000,486000,1153000,773000,171000,3442000,243000,308000,211000
3403,r011,All groups -> Not Hispanic or Latino -> More than one race,All groups,Not Hispanic or Latino,More than one race,3,109000,17000,26000,27000,S,42000,24000,13000,8000
3403,r012,All groups -> Without disability,All groups,Without disability,,2,5296000,183000,1204000,1027000,239000,3092000,453000,388000,353000
3403,r013,All groups -> With disability,All groups,With disability,,2,1617000,500000,258000,194000,63000,1033000,55000,156000,80000
