table_id,row_id,group_and_institution_full_path,group_and_institution_level_1,group_and_institution_level_2,group_and_institution_hierarchy_depth,field_doctorate_recipients,field_historically_black_college_or_university,field_high_hispanic_enrollment_institution
3415,r001,Women,Women,,1,,,
3415,r002,"Women -> U. California, Berkeley",Women,"U. California, Berkeley",2,971,No,No
3415,r003,Women -> Cornell U.,Women,Cornell U.,2,654,No,No
3415,r004,"Women -> U. Michigan, Ann Arbor",Women,"U. Michigan, Ann Arbor",2,618,No,No
3415,r005,Black or African American,Black or African American,,1,,,
3415,r006,Black or African American -> Howard U.,Black or African American,Howard U.,2,132,Yes,No
3415,r007,Black or African American -> Spelman C.,Black or African American,Spelman C.,2,116,Yes,No
3415,r008,"Black or African American -> U. Maryland, Baltimore County",Black or African American,"U. Maryland, Baltimore County",2,105,No,No
3415,r009,Hispanic or Latino,Hispanic or Latino,,1,,,
3415,r010,"Hispanic or Latino -> U. Puerto Rico, Mayaguez",Hispanic or Latino,"U. Puerto Rico, Mayaguez",2,342,No,Yes
3415,r011,"Hispanic or Latino -> U. Puerto Rico, Rio Piedras",Hispanic or Latino,"U. Puerto Rico, Rio Piedras",2,288,No,Yes
3415,r012,"Hispanic or Latino -> U. Texas, El Paso",Hispanic or Latino,"U. Texas, El Paso",2,190,No,Yes
3415,r013,American Indian or Alaska Native,American Indian or Alaska Native,,1,,,
3415,r014,"American Indian or Alaska Native -> U. New Mexico, Albuquerque",American Indian or Alaska Native,"U. New Mexico, Albuquerque",2,15,No,No
3415,r015,"American Indian or Alaska Native -> U. Oklahoma, Norman",American Indian or Alaska Native,"U. Oklahoma, Norman",2,14,No,No
3415,r016,"American Indian or Alaska Native -> Oklahoma State U., Stillwater",American Indian or Alaska Native,"Oklahoma State U., Stillwater",2,10,No,No
3415,r017,Asian,Asian,,1,,,
3415,r018,"Asian -> U. California, Berkeley",Asian,"U. California, Berkeley",2,783,No,No
3415,r019,"Asian -> U. California, Los Angeles",Asian,"U. California, Los Angeles",2,391,No,No
3415,r020,Asian -> Cornell U.,Asian,Cornell U.,2,340,No,No
3415,r021,Persons with disabilities,Persons with disabilities,,1,,,
3415,r022,"Persons with disabilities -> U. California, Los Angeles",Persons with disabilities,"U. California, Los Angeles",2,29,No,No
3415,r023,"Persons with disabilities -> U. California, Berkeley",Persons with disabilities,"U. California, Berkeley",2,28,No,No
3415,r024,"Persons with disabilities -> U. California, San Diego",Persons with disabilities,"U. California, San Diego",2,25,No,No
