table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_units,field_graduate_students_all_graduate_students_institutions,field_graduate_students_master_s_units,field_graduate_students_master_s_institutions,field_graduate_students_doctoral_units,field_graduate_students_doctoral_institutions,field_postdoctoral_appointees_units,field_postdoctoral_appointees_institutions,field_doctorate_holding_nonfaculty_researchers_units,field_doctorate_holding_nonfaculty_researchers_institutions
3524,r001,All detailed fields,All detailed fields,,,,1,13149,707,10281,695,7135,410,7533,338,5460,267
3524,r002,All detailed fields -> Science,All detailed fields,Science,,,2,9451,685,7119,668,5148,378,4287,331,3109,255
3524,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,291,88,268,88,185,54,183,54,169,46
3524,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,2638,508,1581,483,1848,289,1745,278,1195,200
3524,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,190,154,93,87,158,131,132,114,103,84
3524,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,386,348,338,320,166,150,201,175,126,102
3524,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,175,123,112,88,106,84,61,45,37,32
3524,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,44,38,6,6,44,38,18,14,7,7
3524,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,185,113,135,94,119,79,79,49,57,42
3524,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,76,65,71,60,8,8,19,18,12,10
3524,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,67,50,55,45,57,43,49,36,31,23
3524,r012,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,187,124,79,65,154,109,119,89,88,66
3524,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,107,87,67,58,79,64,52,44,35,30
3524,r014,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,85,70,58,53,65,59,41,38,20,20
3524,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,98,75,48,39,73,61,93,57,74,44
3524,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,174,126,79,66,146,110,156,106,115,77
3524,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,53,47,20,20,40,34,41,37,29,25
3524,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,178,131,44,41,160,123,146,95,96,67
3524,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,101,82,92,75,53,49,44,32,24,21
3524,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,44,44,14,14,39,39,82,55,51,42
3524,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,130,99,63,58,114,89,98,83,75,59
3524,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,179,129,97,85,132,97,167,91,107,67
3524,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,75,52,62,47,65,45,46,36,35,27
3524,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,104,69,48,38,70,50,101,51,73,39
3524,r025,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,905,424,833,420,266,176,179,131,149,88
3524,r026,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,264,226,248,217,111,102,75,71,56,47
3524,r027,"All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences, general",All detailed fields,Science,Computer and information sciences,"Computer and information sciences, general",4,350,240,311,236,108,79,72,61,55,39
3524,r028,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec,4,291,192,274,187,47,38,32,27,38,28
3524,r029,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,390,226,335,212,265,155,266,143,226,115
3524,r030,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,49,47,39,39,43,41,43,31,41,27
3524,r031,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,264,198,228,184,169,134,142,113,126,88
3524,r032,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,77,58,68,55,53,44,54,40,42,31
3524,r033,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,ne,ne,ne,ne,ne,ne,27,11,17,10
3524,r034,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,3,659,351,571,342,326,194,182,129,76,52
3524,r035,All detailed fields -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics and applied mathematics,4,476,341,406,323,237,189,140,119,53,48
3524,r036,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,4,183,152,165,147,89,81,42,41,23,20
3524,r037,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,,3,300,189,232,162,113,87,177,82,177,70
3524,r038,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,3,356,208,312,198,148,100,148,92,133,73
3524,r039,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,4,199,152,171,136,66,57,62,56,48,40
3524,r040,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,157,90,141,88,82,54,86,49,85,43
3524,r041,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,3,786,330,575,307,554,228,556,225,391,165
3524,r042,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,4,63,52,17,17,57,47,62,45,50,33
3524,r043,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,4,357,309,284,261,229,204,222,196,154,135
3524,r044,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,51,42,36,34,40,34,31,26,21,16
3524,r045,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,288,241,219,200,216,190,222,182,145,111
3524,r046,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,27,24,19,18,12,11,19,18,21,15
3524,r047,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,1029,467,735,405,465,240,214,145,129,92
3524,r048,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,128,119,63,60,76,72,18,15,5,5
3524,r049,All detailed fields -> Science -> Psychology -> Counseling and applied psychology,All detailed fields,Science,Psychology,Counseling and applied psychology,4,491,318,397,278,179,136,50,41,32,22
3524,r050,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,287,265,215,208,125,111,110,102,73,67
3524,r051,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,4,123,99,60,51,85,72,36,31,19,16
3524,r052,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,3,2097,415,1677,403,978,210,637,151,464,134
3524,r053,All detailed fields -> Science -> Social sciences -> Agricultural economics,All detailed fields,Science,Social sciences,Agricultural economics,4,46,41,38,38,25,23,22,19,19,17
3524,r054,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,4,175,160,127,123,106,101,59,57,35,30
3524,r055,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,4,110,105,107,103,22,22,8,7,7,7
