table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_early_career_doctorates,field_importance_of_postdoc_for_career_development_extremely_or_very_important,field_importance_of_postdoc_for_career_development_moderately_or_slightly_important,field_importance_of_postdoc_for_career_development_not_important,field_undecided_on_career_track
3655,r001,All early career doctorates,All early career doctorates,,,,,1,186700,75600,55200,49600,6400
3655,r002,All early career doctorates -> Origin of doctoral degree,All early career doctorates,Origin of doctoral degree,,,,2,,,,,
3655,r003,All early career doctorates -> Origin of doctoral degree -> U.S. doctorate,All early career doctorates,Origin of doctoral degree,U.S. doctorate,,,3,161800,57300,51200,48000,5400
3655,r004,All early career doctorates -> Origin of doctoral degree -> Non-U.S. doctorate,All early career doctorates,Origin of doctoral degree,Non-U.S. doctorate,,,3,24900,18300,4000,1600,1000
3655,r005,All early career doctorates -> Postdoc status,All early career doctorates,Postdoc status,,,,2,,,,,
3655,r006,All early career doctorates -> Postdoc status -> Did not report a postdoc,All early career doctorates,Postdoc status,Did not report a postdoc,,,3,104600,15400,38000,47500,3700
3655,r007,All early career doctorates -> Postdoc status -> Ever held a postdoc,All early career doctorates,Postdoc status,Ever held a postdoc,,,3,82200,60200,17100,2100,2700
3655,r008,All early career doctorates -> Postdoc status -> Ever held a postdoc -> Sample position is a postdoc,All early career doctorates,Postdoc status,Ever held a postdoc,Sample position is a postdoc,,4,36400,28300,5600,700,1900
3655,r009,All early career doctorates -> Postdoc status -> Ever held a postdoc -> Sample position is not a postdoc,All early career doctorates,Postdoc status,Ever held a postdoc,Sample position is not a postdoc,,4,45700,31800,11600,1500,900
3655,r010,All early career doctorates -> Field of doctoral degree,All early career doctorates,Field of doctoral degree,,,,2,,,,,
3655,r011,All early career doctorates -> Field of doctoral degree -> Science and engineering,All early career doctorates,Field of doctoral degree,Science and engineering,,,3,112600,61400,30900,16500,3800
3655,r012,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,28900,20900,5200,1500,1300
3655,r013,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,3900,2300,1200,200,300
3655,r014,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,24900,18700,4000,1300,1000
3655,r015,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Engineering,All early career doctorates,Field of doctoral degree,Science and engineering,Engineering,,4,17200,8500,5800,2400,600
3655,r016,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,12100,5500,3800,2400,400
3655,r017,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,5900,2100,2000,1600,200
3655,r018,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,6200,3400,1900,800,S
3655,r019,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,All early career doctorates,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,2600,1600,500,500,
3655,r020,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,20600,15400,3300,1300,600
3655,r021,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,31200,9500,12300,8400,1000
3655,r022,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,8700,4400,2700,1400,200
3655,r023,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,22400,5100,9600,7000,700
3655,r024,All early career doctorates -> Field of doctoral degree -> Health,All early career doctorates,Field of doctoral degree,Health,,,3,13400,4500,4200,4300,500
3655,r025,All early career doctorates -> Field of doctoral degree -> Non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,,,3,60700,9700,20100,28900,2100
3655,r026,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Education,All early career doctorates,Field of doctoral degree,Non-science and engineering,Education,,4,21100,3200,5900,11100,900
3655,r027,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Humanities,All early career doctorates,Field of doctoral degree,Non-science and engineering,Humanities,,4,15700,3000,6700,5300,700
3655,r028,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,23900,3500,7500,12500,500
