table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3699,r001,All occupations,All occupations,,,,1,1008750,1475,41350,550,1600,150,235000,1325,35050,350,682350,1425,13400,400
3699,r002,All occupations -> Full time,All occupations,Full time,,,2,763350,2000,33250,575,1100,125,201300,1375,27650,425,489300,1775,10700,350
3699,r003,All occupations -> Part time,All occupations,Part time,,,2,93900,1525,3950,250,150,50,12050,625,3400,275,73050,1275,1250,150
3699,r004,All occupations -> Unemployed<sup>d</sup>,All occupations,Unemployed<sup>d</sup>,,,2,14100,650,850,125,50,50,3950,350,1050,175,8000,475,150,50
3699,r005,All occupations -> Retired,All occupations,Retired,,,2,120000,1400,2250,200,150,50,13500,700,2300,200,100800,1400,1000,150
3699,r006,All occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,Not employed or not seeking work<sup>e</sup>,,,2,17450,625,1000,175,50,50,4150,350,650,125,11200,500,350,75
3699,r007,All occupations -> Science occupations&#160;,All occupations,Science occupations&#160;,,,2,578050,2425,25100,475,800,125,124200,1600,18400,400,401750,2100,7750,325
3699,r008,All occupations -> Science occupations&#160; -> Full time,All occupations,Science occupations&#160;,Full time,,3,438250,2325,20200,450,500,100,107700,1475,14300,425,289400,1950,6150,300
3699,r009,All occupations -> Science occupations&#160; -> Part time,All occupations,Science occupations&#160;,Part time,,3,54500,1225,2550,200,100,50,5850,425,2050,200,43200,1075,750,125
3699,r010,All occupations -> Science occupations&#160; -> Unemployed<sup>d</sup>,All occupations,Science occupations&#160;,Unemployed<sup>d</sup>,,3,7250,425,550,100,50,50,2050,250,650,150,3900,300,100,50
