table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_male_number,field_male_se,field_female_number,field_female_se
3717,r001,All sectors,All sectors,,,,1,857200,1975,546050,1750,311200,1200
3717,r002,All sectors -> Science occupations&#160;,All sectors,Science occupations&#160;,,,2,492750,2500,304050,1950,188700,1400
3717,r003,"All sectors -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Science occupations&#160;,"Biological, agricultural, and other life scientist",,3,156650,1525,90050,1175,66650,925
3717,r004,All sectors -> Science occupations&#160; -> Computer and information scientist,All sectors,Science occupations&#160;,Computer and information scientist,,3,63000,1100,52650,1000,10350,475
3717,r005,All sectors -> Science occupations&#160; -> Mathematical scientist,All sectors,Science occupations&#160;,Mathematical scientist,,3,41400,750,28950,725,12450,425
3717,r006,All sectors -> Science occupations&#160; -> Physical scientist,All sectors,Science occupations&#160;,Physical scientist,,3,84550,1275,63850,1125,20650,500
3717,r007,All sectors -> Science occupations&#160; -> Psychologist,All sectors,Science occupations&#160;,Psychologist,,3,77600,950,29800,700,47850,850
3717,r008,All sectors -> Science occupations&#160; -> Social scientist,All sectors,Science occupations&#160;,Social scientist,,3,69500,1025,38750,800,30750,625
3717,r009,All sectors -> Engineering occupations&#160;,All sectors,Engineering occupations&#160;,,,2,120650,1375,101600,1400,19000,625
3717,r010,All sectors -> S&E-related occupations&#160;,All sectors,S&E-related occupations&#160;,,,2,92350,1475,51600,1200,40750,850
3717,r011,All sectors -> Non-S&E occupations&#160;,All sectors,Non-S&E occupations&#160;,,,2,151500,1650,88750,1450,62750,1100
3717,r012,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,,,2,344350,2325,211850,2075,132500,1450
3717,r013,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,,3,230400,1950,142300,1725,88050,1150
3717,r014,"All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,76650,1200,45100,1000,31550,650
3717,r015,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,14050,600,11350,575,2700,225
3717,r016,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,21600,600,15450,500,6100,325
3717,r017,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,42000,925,31100,875,10900,400
3717,r018,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,25900,700,10600,450,15300,600
3717,r019,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,50200,950,28650,775,21500,575
3717,r020,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Engineering occupations&#160;,,3,35900,850,29950,875,5950,325
3717,r021,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,S&E-related occupations&#160;,,3,35800,925,17100,725,18700,575
3717,r022,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,42300,850,22500,675,19750,550
3717,r023,All sectors -> Other educational institution<sup>b</sup>&#160;&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,,,2,30900,900,14300,675,16600,575
3717,r024,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,,3,18100,700,8600,525,9500,425
3717,r025,"All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,4600,375,1900,250,2650,250
3717,r026,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,550,100,400,125,100,50
3717,r027,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,1350,175,850,150,500,100
3717,r028,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,4350,325,2600,275,1750,175
3717,r029,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,4700,300,1550,200,3150,250
3717,r030,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,2550,275,1250,225,1350,175
3717,r031,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Engineering occupations&#160;,,3,450,150,300,125,100,75
3717,r032,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,S&E-related occupations&#160;,,3,5950,400,3150,325,2850,225
